TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--August 2011

Estimates adjusted for seasonal variations and holiday and trading-day differences, but not for price changes.
(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey, Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2011     2011     2011     2010     2010
   NAICS(1)                    Kind of Business                      Aug(3)   Jul      Jun      Aug      Jul
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   389,502  389,338  388,284  363,481  359,446

                 Total (excl. motor vehicle &  parts)............   323,119  322,773  321,826  301,078  297,640

                   Retail .......................................   348,828  348,556  347,349  324,349  320,747

                GAFO(4)..........................................       (*)   97,828   97,657   94,237   93,885

   441          Motor vehicle & parts dealers....................    66,383   66,565   66,458   62,403   61,806
   4411,4412     Auto & other motor veh. dealers.................    59,675   59,848   59,687   55,826   55,464

   442          Furniture & home furnishings stores..............     7,388    7,400    7,367    7,375    7,328

   443          Electronics & appliance stores....................    8,449    8,404    8,302    8,323    8,400
   44311,13      Appl., T.V. &  camera...........................       (*)    6,634    6,533    6,420    6,542
   44312         Computer & software stores......................       (*)    1,770    1,769    1,903    1,858

   444          Building material & garden eq. & supplies dealers    25,019   24,966   25,102   23,444   23,293
   4441          Building mat. & supplies dealers................       (*)   20,301   20,238   19,119   19,214

   445          Food & beverage stores...........................    51,811   51,638   51,402   48,710   47,925
   4451          Grocery stores..................................    46,548   46,335   46,090   43,564   42,887
   4453          Beer, wine & liquor stores......................       (*)    3,669    3,666    3,534    3,435

   446          Health & personal care stores....................    22,965   22,930   22,826   22,190   21,958
   44611         Pharmacies & drug stores........................       (*)   19,079   19,093   18,703   18,557

   447          Gasoline stations................................    44,859   44,704   44,327   37,150   36,511

   448          Clothing & clothing accessories stores...........    18,790   18,919   18,975   17,790   17,686
   44811         Men's clothing stores...........................       (*)      (S)      (S)      (S)      (S)
   44812         Women's clothing stores.........................       (*)    3,143    3,158    3,055    3,034
   4482          Shoe stores.....................................       (*)    2,299    2,308    2,210    2,184

   451          Sporting goods, hobby, book & music stores.......     7,507    7,330    7,410    7,010    7,059

   452          General merchandise stores.......................    52,802   52,772   52,585   50,854   50,515
   4521          Department stores (ex. L.D.)....................    15,321   15,373   15,499   15,432   15,405
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   37,399   37,086   35,422   35,110
   45291          Warehouse clubs & supercenters.................       (*)   32,774   32,457   30,969   30,691
   45299          All other gen. merchandise stores..............       (*)    4,625    4,629    4,453    4,419

   453          Miscellaneous store retailers....................    10,018   10,246   10,002    9,358    9,279

   454          Nonstore retailers...............................    32,837   32,682   32,593   29,742   28,987
   4541          Electronic shopping & mail-order houses.........       (*)   25,008   24,876   23,090   22,380

   722          Food services & drinking places..................    40,674   40,782   40,935   39,132   38,699
 
 

