TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--December 2012

Estimates adjusted for seasonal variations and holiday and trading-day differences, but not for price changes.
(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey, Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2012     2012     2012     2011     2011
   NAICS(1)                    Kind of Business                      Dec(3)   Nov      Oct      Dec      Nov
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   415,695  413,582  411,997  396,974  397,370

                 Total (excl. motor vehicle &  parts)............   337,613  336,746  337,188  324,436  325,780

                   Retail .......................................   370,115  368,546  367,475  354,641  355,077

                GAFO(4)..........................................       (*)   99,241   99,346   98,305   98,920

   441          Motor vehicle & parts dealers....................    78,082   76,836   74,809   72,538   71,590
   4411,4412     Auto & other motor veh. dealers.................    71,224   69,975   67,900   65,618   64,600

   442          Furniture & home furnishings stores..............     8,165    8,050    7,968    7,697    7,579

   443          Electronics & appliance stores....................    8,329    8,381    8,193    8,223    8,530
   44311,13      Appl., T.V. &  camera...........................       (*)    6,129    6,076    6,176    6,268
   44312         Computer & software stores......................       (*)    2,252    2,117    2,047    2,262

   444          Building material & garden eq. & supplies dealers    24,804   24,796   24,598   24,316   23,644
   4441          Building mat. & supplies dealers................       (*)   20,928   20,763   20,415   19,823

   445          Food & beverage stores...........................    53,514   53,276   53,475   51,621   51,883
   4451          Grocery stores..................................    47,806   47,712   47,971   46,290   46,571
   4453          Beer, wine & liquor stores......................       (*)    3,775    3,747    3,648    3,670

   446          Health & personal care stores....................    23,161   22,837   22,788   22,912   22,950
   44611         Pharmacies & drug stores........................       (*)   18,741   18,887   19,239   19,299

   447          Gasoline stations................................    45,031   45,785   47,934   44,132   44,870

   448          Clothing & clothing accessories stores...........    20,301   20,099   20,049   19,319   19,270
   44811         Men's clothing stores...........................       (*)      (S)      (S)      (S)      (S)
   44812         Women's clothing stores.........................       (*)    3,507    3,526    3,384    3,291
   4482          Shoe stores.....................................       (*)    2,424    2,362    2,341    2,340

   451          Sporting goods, hobby, book & music stores.......     7,624    7,582    7,595    6,988    7,171

   452          General merchandise stores.......................    51,939   51,944   52,388   52,996   53,283
   4521          Department stores (ex. L.D.)....................    15,051   15,003   15,108   15,318   15,431
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   36,941   37,280   37,678   37,852
   45291          Warehouse clubs & supercenters.................       (*)   31,948   32,205   33,038   33,199
   45299          All other gen. merchandise stores..............       (*)    4,993    5,075    4,640    4,653

   453          Miscellaneous store retailers....................    10,433   10,420   10,329    9,495    9,674

   454          Nonstore retailers...............................    38,732   38,540   37,349   34,404   34,633
   4541          Electronic shopping & mail-order houses.........       (*)   30,289   29,290   26,710   26,481

   722          Food services & drinking places..................    45,580   45,036   44,522   42,333   42,293


