TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--May 2011

Estimates adjusted for seasonal variations and holiday and trading-day differences, but not for price changes.
(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey, Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2011     2011     2011     2010     2010
   NAICS(1)                    Kind of Business                      May(3)   Apr      Mar      May      Apr
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   387,117  388,049  386,960  359,345  361,735

                 Total (excl. motor vehicle &  parts)............   321,959  320,940  319,392  297,509  300,450

                   Retail .......................................   346,417  347,607  346,195  320,680  322,993

                GAFO(4)..........................................       (*)   97,376   97,295   93,656   94,004

   441          Motor vehicle & parts dealers....................    65,158   67,109   67,568   61,836   61,285
   4411,4412     Auto & other motor veh. dealers.................    58,588   60,533   60,940   55,476   54,857

   442          Furniture & home furnishings stores..............     7,398    7,453    7,547    7,371    7,386

   443          Electronics & appliance stores....................    8,380    8,490    8,594    8,404    8,295
   44311,13      Appl., T.V. &  camera...........................       (*)    6,568    6,629    6,570    6,510
   44312         Computer & software stores......................       (*)    1,922    1,965    1,834    1,785

   444          Building material & garden eq. & supplies dealers    25,017   24,714   24,580   23,371   25,530
   4441          Building mat. & supplies dealers................       (*)   19,845   19,755   19,559   20,781

   445          Food & beverage stores...........................    50,934   51,173   50,546   48,295   48,247
   4451          Grocery stores..................................    45,735   45,916   45,355   43,212   43,065
   4453          Beer, wine & liquor stores......................       (*)    3,607    3,598    3,476    3,542

   446          Health & personal care stores....................    22,773   22,594   22,821   21,659   21,851
   44611         Pharmacies & drug stores........................       (*)   18,796   19,039   18,388   18,475

   447          Gasoline stations................................    45,164   45,039   44,427   36,941   37,576

   448          Clothing & clothing accessories stores...........    18,729   18,693   18,681   17,673   17,776
   44811         Men's clothing stores...........................       (*)      (S)      (S)      (S)      (S)
   44812         Women's clothing stores.........................       (*)    3,098    3,173    3,048    3,080
   4482          Shoe stores.....................................       (*)    2,214    2,243    2,179    2,197

   451          Sporting goods, hobby, book & music stores.......     7,344    7,370    7,390    6,983    6,928

   452          General merchandise stores.......................    52,354   52,400   52,084   50,288   50,682
   4521          Department stores (ex. L.D.)....................    15,351   15,459   15,464   15,429   15,565
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   36,941   36,620   34,859   35,117
   45291          Warehouse clubs & supercenters.................       (*)   32,319   32,040   30,511   30,677
   45299          All other gen. merchandise stores..............       (*)    4,622    4,580    4,348    4,440

   453          Miscellaneous store retailers....................    10,100    9,897    9,700    9,321    9,131

   454          Nonstore retailers...............................    33,066   32,675   32,257   28,538   28,306
   4541          Electronic shopping & mail-order houses.........       (*)   24,835   24,521   21,916   21,697

   722          Food services & drinking places..................    40,700   40,442   40,765   38,665   38,742
 

