TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--September 2012

Estimates adjusted for seasonal variations and holiday and trading-day differences, but not for price changes.
(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey, Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2012     2012     2012     2011     2011
   NAICS(1)                    Kind of Business                      Sep(3)   Aug      Jul      Sep      Aug
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   412,939  408,250  403,587  391,913  388,718

                 Total (excl. motor vehicle &  parts)............   337,398  333,676  330,321  322,062  321,705

                   Retail .......................................   368,787  364,288  359,725  350,098  347,395

                GAFO(4)..........................................       (*)   99,384   99,546   98,399   97,703

   441          Motor vehicle & parts dealers....................    75,541   74,574   73,266   69,851   67,013
   4411,4412     Auto & other motor veh. dealers.................    68,659   67,770   66,336   62,813   59,999

   442          Furniture & home furnishings stores..............     8,112    8,081    8,030    7,503    7,409

   443          Electronics & appliance stores....................    8,536    8,170    8,259    8,238    8,357
   44311,13      Appl., T.V. &  camera...........................       (*)    6,219    6,276    6,291    6,429
   44312         Computer & software stores......................       (*)    1,951    1,983    1,947    1,928

   444          Building material & garden eq. & supplies dealers    24,632   24,353   23,897   23,579   23,666
   4441          Building mat. & supplies dealers................       (*)   20,612   20,235   19,937   19,962

   445          Food & beverage stores...........................    53,411   52,783   52,886   51,367   51,663
   4451          Grocery stores..................................    47,839   47,352   47,425   46,105   46,423
   4453          Beer, wine & liquor stores......................       (*)    3,673    3,700    3,652    3,629

   446          Health & personal care stores....................    23,040   22,951   22,975   22,859   22,917
   44611         Pharmacies & drug stores........................       (*)   18,993   19,029   19,256   19,330

   447          Gasoline stations................................    47,176   46,030   43,404   44,604   44,655

   448          Clothing & clothing accessories stores...........    20,147   20,017   19,957   19,201   18,870
   44811         Men's clothing stores...........................       (*)      (S)      (S)      (S)      (S)
   44812         Women's clothing stores.........................       (*)    3,457    3,476    3,272    3,115
   4482          Shoe stores.....................................       (*)    2,413    2,406    2,328    2,281

   451          Sporting goods, hobby, book & music stores.......     7,553    7,493    7,516    7,186    7,146

   452          General merchandise stores.......................    52,612   52,469   52,606   53,199   52,874
   4521          Department stores (ex. L.D.)....................    15,270   15,308   15,308   15,469   15,301
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   37,161   37,298   37,730   37,573
   45291          Warehouse clubs & supercenters.................       (*)   32,152   32,327   33,210   33,074
   45299          All other gen. merchandise stores..............       (*)    5,009    4,971    4,520    4,499

   453          Miscellaneous store retailers....................    10,267   10,274   10,174    9,668    9,681

   454          Nonstore retailers...............................    37,760   37,093   36,755   32,843   33,144
   4541          Electronic shopping & mail-order houses.........       (*)   29,226   28,716   25,196   25,397

   722          Food services & drinking places..................    44,152   43,962   43,862   41,815   41,323

 
