TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--February 2008

Estimates adjusted for seasonal variations and holiday and trading-day differences, but not for price changes.
(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey, Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2008     2008     2007     2007     2007
   NAICS(1)                    Kind of Business                      Feb(3)   Jan      Dec      Feb      Jan
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   380,197  382,336  380,711  370,630  367,623

                 Total (excl. motor vehicle &  parts)............   305,628  306,293  304,802  292,779  290,907

                   Retail .......................................   341,970  343,938  342,237  334,072  330,991

                GAFO(4)..........................................       (*)   98,606   97,971   96,583   97,383

   441          Motor vehicle & parts dealers....................    74,569   76,043   75,909   77,851   76,716
   4411,4412     Auto & other motor veh. dealers.................    68,328   69,852   69,638   71,697   70,525

   442          Furniture & home furnishings stores..............     9,919    9,969   10,027   10,369   10,376

   443          Electronics & appliance stores....................    9,343    9,377    9,383    9,301    9,323
   44311,13      Appl., T.V. &  camera...........................       (*)    7,626    7,570    7,454    7,441
   44312         Computer & software stores......................       (*)    1,751    1,813    1,847    1,882

   444          Building material & garden eq. & supplies dealers    28,321   28,510   28,685   29,548   29,466
   4441          Building mat. & supplies dealers................       (*)   24,363   24,686   25,760   26,044

   445          Food & beverage stores...........................    48,883   48,990   48,921   46,890   46,464
   4451          Grocery stores..................................    43,694   43,819   43,542   41,788   41,405
   4453          Beer, wine & liquor stores......................       (*)    3,490    3,462    3,279    3,238

   446          Health & personal care stores....................    20,270   20,170   20,028   19,401   19,353
   44611         Pharmacies & drug stores........................       (*)   16,812   16,661   16,436   16,473

   447          Gasoline stations................................    39,721   40,103   39,190   33,051   32,381

   448          Clothing & clothing accessories stores...........    18,932   18,901   18,492   18,502   18,769
   44811         Men's clothing stores...........................       (*)      (S)      (S)      (S)      (S)
   44812         Women's clothing stores.........................       (*)    3,322    3,346    3,352    3,386
   4482          Shoe stores.....................................       (*)    2,269    2,262    2,222    2,294

   451          Sporting goods, hobby, book & music stores.......     7,666    7,637    7,412    7,212    7,206

   452          General merchandise stores.......................    48,985   48,795   48,817   47,293   47,761
   4521          Department stores (ex. L.D.)....................    16,892   16,926   17,198   17,591   17,898
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   31,869   31,619   29,702   29,863
   45291          Warehouse clubs & supercenters.................       (*)   28,135   28,079   26,188   26,310
   45299          All other gen. merchandise stores..............       (*)    3,734    3,540    3,514    3,553

   453          Miscellaneous store retailers....................    10,258   10,308   10,147   10,004    9,959

   454          Nonstore retailers...............................    25,103   25,135   25,226   24,650   23,217
   4541          Electronic shopping & mail-order houses.........       (*)   16,802   16,815   16,180   15,815

   722          Food services & drinking places..................    38,227   38,398   38,474   36,558   36,632
 
 
