TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--January 2010

Estimates adjusted for seasonal variations and holiday and trading-day differences, but not for price changes.
(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey, Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2010     2009     2009     2009     2008
   NAICS(1)                    Kind of Business                      Jan(3)   Dec      Nov      Jan      Dec
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   355,777  354,085  354,467  339,778  335,498

                 Total (excl. motor vehicle &  parts)............   295,451  293,759  294,214  282,584  279,417

                   Retail .......................................   317,573  316,117  316,424  301,722  297,634

                GAFO(4)..........................................       (*)   93,908   94,802   93,979   92,631

   441          Motor vehicle & parts dealers....................    60,326   60,326   60,253   57,194   56,081
   4411,4412     Auto & other motor veh. dealers.................    53,980   54,027   53,984   50,596   49,428

   442          Furniture & home furnishings stores..............     7,662    7,771    7,739    8,013    8,055

   443          Electronics & appliance stores....................    8,476    8,379    8,680    9,115    8,560
   44311,13      Appl., T.V. &  camera...........................       (*)    6,479    6,777    7,309    6,680
   44312         Computer & software stores......................       (*)    1,900    1,903    1,806    1,880

   444          Building material & garden eq. & supplies dealers    23,100   23,391   23,485   24,646   24,608
   4441          Building mat. & supplies dealers................       (*)   19,311   19,524   20,493   20,563

   445          Food & beverage stores...........................    49,898   49,515   49,937   48,955   48,244
   4451          Grocery stores..................................    44,495   44,184   44,579   43,783   43,170
   4453          Beer, wine & liquor stores......................       (*)    3,476    3,472    3,502    3,439

   446          Health & personal care stores....................    21,607   21,586   21,496   20,726   20,664
   44611         Pharmacies & drug stores........................       (*)   17,826   17,867   17,167   17,243

   447          Gasoline stations................................    34,708   34,561   34,252   26,915   25,932

   448          Clothing & clothing accessories stores...........    17,341   17,295   17,461   17,296   16,799
   44811         Men's clothing stores...........................       (*)      (S)      (S)      (S)      (S)
   44812         Women's clothing stores.........................       (*)    2,896    2,936    2,896    2,911
   4482          Shoe stores.....................................       (*)    2,207    2,156    2,078    2,109

   451          Sporting goods, hobby, book & music stores.......     7,532    7,454    7,314    7,176    7,096

   452          General merchandise stores.......................    50,674   49,908   50,478   49,098   48,983
   4521          Department stores (ex. L.D.)....................    15,708   15,683   15,747   15,759   15,926
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   34,225   34,731   33,339   33,057
   45291          Warehouse clubs & supercenters.................       (*)   30,401   30,760   29,594   29,505
   45299          All other gen. merchandise stores..............       (*)    3,824    3,971    3,745    3,552

   453          Miscellaneous store retailers....................     9,623    9,730    9,694    8,894    9,179

   454          Nonstore retailers...............................    26,626   26,201   25,635   23,694   23,433
   4541          Electronic shopping & mail-order houses.........       (*)   19,001   18,645   16,782   16,740

   722          Food services & drinking places..................    38,204   37,968   38,043   38,056   37,864
 
 
