TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--April 2009

Estimates adjusted for seasonal variations and holiday and trading-day differences, but not for price changes.
(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey, Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2009     2009     2009     2008     2008
   NAICS(1)                    Kind of Business                      Apr(3)   Mar      Feb      Apr      Mar
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   337,677  338,930  343,438  375,614  374,845

                 Total (excl. motor vehicle &  parts)............   282,279  283,640  287,013  305,724  302,814

                   Retail .......................................   299,516  300,837  304,889  337,996  337,621

                GAFO(4)..........................................       (*)   94,132   95,912   97,725   97,419

   441          Motor vehicle & parts dealers....................    55,398   55,290   56,425   69,890   72,031
   4411,4412     Auto & other motor veh. dealers.................    48,831   48,730   49,775   63,406   65,563

   442          Furniture & home furnishings stores..............     7,840    7,879    8,066    9,137    9,187

   443          Electronics & appliance stores....................    8,322    8,565    9,287    9,462    9,388
   44311,13      Appl., T.V. &  camera...........................       (*)    6,716    7,411    7,553    7,468
   44312         Computer & software stores......................       (*)    1,849    1,876    1,909    1,920

   444          Building material & garden eq. & supplies dealers    24,467   24,400   24,586   27,412   27,038
   4441          Building mat. & supplies dealers................       (*)   20,349   20,546   23,517   23,143

   445          Food & beverage stores...........................    48,301   48,780   48,702   48,923   48,454
   4451          Grocery stores..................................    43,007   43,489   43,450   43,879   43,492
   4453          Beer, wine & liquor stores......................       (*)    3,512    3,503    3,394    3,380

   446          Health & personal care stores....................    21,094   21,019   20,887   20,284   20,089
   44611         Pharmacies & drug stores........................       (*)   17,469   17,316   16,798   16,637

   447          Gasoline stations................................    26,479   27,107   28,001   41,632   41,379

   448          Clothing & clothing accessories stores...........    17,337   17,427   17,940   18,551   18,660
   44811         Men's clothing stores...........................       (*)      (S)      (S)      (S)      (S)
   44812         Women's clothing stores.........................       (*)    2,918    2,947    3,292    3,246
   4482          Shoe stores.....................................       (*)    2,164    2,224    2,293    2,222

   451          Sporting goods, hobby, book & music stores.......     7,268    7,243    7,305    7,392    7,366

   452          General merchandise stores.......................    49,784   49,857   50,122   49,794   49,442
   4521          Department stores (ex. L.D.)....................    15,903   15,939   16,020   16,941   16,921
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   33,918   34,102   32,853   32,521
   45291          Warehouse clubs & supercenters.................       (*)   30,086   30,209   29,096   28,813
   45299          All other gen. merchandise stores..............       (*)    3,832    3,893    3,757    3,708

   453          Miscellaneous store retailers....................     9,624    9,634    9,643    9,912    9,805

   454          Nonstore retailers...............................    23,602   23,636   23,925   25,607   24,782
   4541          Electronic shopping & mail-order houses.........       (*)   16,933   16,948   17,412   16,803

   722          Food services & drinking places..................    38,161   38,093   38,549   37,618   37,224
 
 
