TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--November 2008

Estimates adjusted for seasonal variations and holiday and trading-day differences, but not for price changes.
(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey, Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2008     2008     2008     2007     2007
   NAICS(1)                    Kind of Business                      Nov(3)   Oct      Sep      Nov      Oct
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   355,655  362,035  373,033  384,099  379,623

                 Total (excl. motor vehicle &  parts)............   297,420  302,142  309,682  306,255  300,364

                   Retail .......................................   317,141  323,581  334,415  346,627  342,153

                GAFO(4)..........................................       (*)   95,679   96,729   98,569   97,853

   441          Motor vehicle & parts dealers....................    58,235   59,893   63,351   77,844   79,259
   4411,4412     Auto & other motor veh. dealers.................    51,637   53,376   56,850   71,461   72,731

   442          Furniture & home furnishings stores..............     8,734    8,720    8,804    9,797    9,866

   443          Electronics & appliance stores....................    9,232    8,979    9,164    9,683    9,425
   44311,13      Appl., T.V. &  camera...........................       (*)    7,146    7,385    7,820    7,540
   44312         Computer & software stores......................       (*)    1,833    1,779    1,863    1,885

   444          Building material & garden eq. & supplies dealers    26,587   26,905   27,168   28,083   27,581
   4441          Building mat. & supplies dealers................       (*)   22,603   22,890   24,299   23,912

   445          Food & beverage stores...........................    49,706   49,534   49,662   47,847   47,525
   4451          Grocery stores..................................    44,307   44,218   44,377   42,816   42,481
   4453          Beer, wine & liquor stores......................       (*)    3,613    3,579    3,327    3,321

   446          Health & personal care stores....................    20,942   20,728   20,711   19,909   20,031
   44611         Pharmacies & drug stores........................       (*)   17,142   17,162   16,578   16,646

   447          Gasoline stations................................    32,653   38,274   43,934   41,875   38,072

   448          Clothing & clothing accessories stores...........    18,021   17,876   18,241   19,123   18,886
   44811         Men's clothing stores...........................       (*)      (S)      (S)      (S)      (S)
   44812         Women's clothing stores.........................       (*)    3,113    3,247    3,432    3,405
   4482          Shoe stores.....................................       (*)    2,144    2,171    2,256    2,187

   451          Sporting goods, hobby, book & music stores.......     7,350    7,150    7,325    7,419    7,432

   452          General merchandise stores.......................    50,128   49,548   49,764   48,862   48,504
   4521          Department stores (ex. L.D.)....................    16,572   16,234   16,423   17,373   17,413
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   33,314   33,341   31,489   31,091
   45291          Warehouse clubs & supercenters.................       (*)   29,613   29,604   27,813   27,423
   45299          All other gen. merchandise stores..............       (*)    3,701    3,737    3,676    3,668

   453          Miscellaneous store retailers....................     9,973   10,049    9,928    9,885    9,964

   454          Nonstore retailers...............................    25,580   25,925   26,363   26,300   25,608
   4541          Electronic shopping & mail-order houses.........       (*)   17,977   18,125   18,122   17,847

   722          Food services & drinking places..................    38,514   38,454   38,618   37,472   37,470
 
 
