TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--August 2009

Estimates adjusted for seasonal variations and holiday and trading-day differences, but not for price changes.
(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey, Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2009     2009     2009     2008     2008
   NAICS(1)                    Kind of Business                      Aug(3)   Jul      Jun      Aug      Jul
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   351,418  342,280  342,912  371,134  374,103

                 Total (excl. motor vehicle &  parts)............   287,197  284,191  285,670  306,263  310,890

                   Retail .......................................   313,192  304,159  304,728  333,179  336,079

                GAFO(4)..........................................       (*)   92,227   92,560   97,010   98,629

   441          Motor vehicle & parts dealers....................    64,221   58,089   57,242   64,871   63,213
   4411,4412     Auto & other motor veh. dealers.................    57,833   51,666   50,771   58,321   56,660

   442          Furniture & home furnishings stores..............     7,576    7,698    7,767    8,691    8,874

   443          Electronics & appliance stores....................    8,342    8,253    8,333    9,308    9,610
   44311,13      Appl., T.V. &  camera...........................       (*)    6,465    6,508    7,421    7,664
   44312         Computer & software stores......................       (*)    1,788    1,825    1,887    1,946

   444          Building material & garden eq. & supplies dealers    23,387   23,674   24,102   27,076   27,637
   4441          Building mat. & supplies dealers................       (*)   19,592   19,905   22,827   23,364

   445          Food & beverage stores...........................    49,159   48,928   49,076   49,689   49,429
   4451          Grocery stores..................................    43,849   43,706   43,842   44,462   44,210
   4453          Beer, wine & liquor stores......................       (*)    3,422    3,427    3,513    3,509

   446          Health & personal care stores....................    21,130   21,042   21,133   20,535   20,538
   44611         Pharmacies & drug stores........................       (*)   17,512   17,561   16,979   16,973

   447          Gasoline stations................................    31,239   29,727   30,185   42,594   44,356

   448          Clothing & clothing accessories stores...........    17,502   17,100   17,062   18,441   18,541
   44811         Men's clothing stores...........................       (*)      (S)      (S)      (S)      (S)
   44812         Women's clothing stores.........................       (*)    2,865    2,904    3,164    3,211
   4482          Shoe stores.....................................       (*)    2,154    2,132    2,310    2,305

   451          Sporting goods, hobby, book & music stores.......     7,320    7,153    7,196    7,351    7,449

   452          General merchandise stores.......................    49,635   48,843   48,976   49,967   50,784
   4521          Department stores (ex. L.D.)....................    15,772   15,407   15,491   16,554   17,117
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   33,436   33,485   33,413   33,667
   45291          Warehouse clubs & supercenters.................       (*)   29,596   29,633   29,653   29,836
   45299          All other gen. merchandise stores..............       (*)    3,840    3,852    3,760    3,831

   453          Miscellaneous store retailers....................     9,464    9,448    9,441    9,783   10,156

   454          Nonstore retailers...............................    24,217   24,204   24,215   24,873   25,492
   4541          Electronic shopping & mail-order houses.........       (*)   17,382   17,315   16,824   17,183

   722          Food services & drinking places..................    38,226   38,121   38,184   37,955   38,024
 
 
