TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--April 2012

Estimates adjusted for seasonal variations and holiday and trading-day differences, but not for price changes.
(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey, Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2012     2012     2012     2011     2011
   NAICS(1)                    Kind of Business                      Apr(3)   Mar      Feb      Apr      Mar
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   408,039  407,446  404,692  383,639  382,115

                 Total (excl. motor vehicle &  parts)............   334,475  334,220  331,602  315,778  313,991

                   Retail .......................................   364,163  363,736  361,364  343,220  341,428

                GAFO(4)..........................................       (*)  100,502  100,056   96,728   96,531

   441          Motor vehicle & parts dealers....................    73,564   73,226   73,090   67,861   68,124
   4411,4412     Auto & other motor veh. dealers.................    66,440   66,227   65,983   61,175   61,373

   442          Furniture & home furnishings stores..............     7,892    7,837    7,839    7,334    7,471

   443          Electronics & appliance stores....................    8,428    8,408    8,309    8,290    8,452
   44311,13      Appl., T.V. &  camera...........................       (*)    6,277    6,228    6,339    6,487
   44312         Computer & software stores......................       (*)    2,131    2,081    1,951    1,965

   444          Building material & garden eq. & supplies dealers    25,147   25,598   24,931   22,803   22,507
   4441          Building mat. & supplies dealers................       (*)   21,398   20,963   19,360   19,088

   445          Food & beverage stores...........................    52,709   52,536   52,195   51,090   50,484
   4451          Grocery stores..................................    47,295   47,081   46,776   45,934   45,372
   4453          Beer, wine & liquor stores......................       (*)    3,727    3,712    3,546    3,546

   446          Health & personal care stores....................    23,251   23,110   23,056   22,272   22,651
   44611         Pharmacies & drug stores........................       (*)   19,185   19,207   18,903   19,166

   447          Gasoline stations................................    46,639   46,781   46,310   44,207   43,555

   448          Clothing & clothing accessories stores...........    19,736   19,879   19,904   18,728   18,588
   44811         Men's clothing stores...........................       (*)      (S)      (S)      (S)      (S)
   44812         Women's clothing stores.........................       (*)    3,485    3,447    3,146    3,178
   4482          Shoe stores.....................................       (*)    2,411    2,448    2,218    2,234

   451          Sporting goods, hobby, book & music stores.......     7,502    7,447    7,396    6,996    7,046

   452          General merchandise stores.......................    53,696   53,765   53,431   52,350   51,915
   4521          Department stores (ex. L.D.)....................    15,280   15,492   15,451   15,681   15,420
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   38,273   37,980   36,669   36,495
   45291          Warehouse clubs & supercenters.................       (*)   33,312   33,135   32,265   32,158
   45299          All other gen. merchandise stores..............       (*)    4,961    4,845    4,404    4,337

   453          Miscellaneous store retailers....................    10,135   10,057   10,041    9,344    9,147

   454          Nonstore retailers...............................    35,464   35,092   34,862   31,945   31,488
   4541          Electronic shopping & mail-order houses.........       (*)   27,207   26,990   24,294   23,888

   722          Food services & drinking places..................    43,876   43,710   43,328   40,419   40,687
  
 
