TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--December 2008

Estimates adjusted for seasonal variations and holiday and trading-day differences, but not for price changes.
(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey, Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2008     2008     2008     2007     2007
   NAICS(1)                    Kind of Business                      Dec(3)   Nov      Oct      Dec      Nov
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   343,242  352,627  360,296  380,592  384,163

                 Total (excl. motor vehicle &  parts)............   284,232  293,200  300,673  304,577  306,483

                   Retail .......................................   305,397  313,925  321,965  342,552  346,809

                GAFO(4)..........................................       (*)   95,709   95,170   97,951   98,487

   441          Motor vehicle & parts dealers....................    59,010   59,427   59,623   76,015   77,680
   4411,4412     Auto & other motor veh. dealers.................    52,475   52,825   53,106   69,638   71,297

   442          Furniture & home furnishings stores..............     8,431    8,586    8,658    9,715    9,797

   443          Electronics & appliance stores....................    8,982    9,073    8,935    9,378    9,718
   44311,13      Appl., T.V. &  camera...........................       (*)    7,248    7,122    7,520    7,834
   44312         Computer & software stores......................       (*)    1,825    1,813    1,858    1,884

   444          Building material & garden eq. & supplies dealers    25,056   25,816   26,571   27,517   28,316
   4441          Building mat. & supplies dealers................       (*)   21,605   22,407   23,913   24,224

   445          Food & beverage stores...........................    48,694   49,369   49,422   48,089   47,813
   4451          Grocery stores..................................    43,479   44,071   44,106   43,011   42,773
   4453          Beer, wine & liquor stores......................       (*)    3,606    3,611    3,378    3,333

   446          Health & personal care stores....................    20,924   20,839   20,741   19,890   19,969
   44611         Pharmacies & drug stores........................       (*)   17,206   17,149   16,575   16,578

   447          Gasoline stations................................    26,243   31,187   38,163   40,677   41,830

   448          Clothing & clothing accessories stores...........    17,351   17,793   17,776   18,687   19,125
   44811         Men's clothing stores...........................       (*)      (S)      (S)      (S)      (S)
   44812         Women's clothing stores.........................       (*)    3,123    3,103    3,380    3,409
   4482          Shoe stores.....................................       (*)    2,156    2,142    2,236    2,238

   451          Sporting goods, hobby, book & music stores.......     7,220    7,252    7,104    7,330    7,440

   452          General merchandise stores.......................    49,058   49,725   49,323   49,250   48,707
   4521          Department stores (ex. L.D.)....................    16,081   16,465   16,189   17,336   17,367
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   33,260   33,134   31,914   31,340
   45291          Warehouse clubs & supercenters.................       (*)   29,629   29,460   28,267   27,680
   45299          All other gen. merchandise stores..............       (*)    3,631    3,674    3,647    3,660

   453          Miscellaneous store retailers....................     9,666    9,616    9,905    9,847    9,922

   454          Nonstore retailers...............................    24,762   25,242   25,744   26,157   26,492
   4541          Electronic shopping & mail-order houses.........       (*)   17,761   17,871   17,908   18,373

   722          Food services & drinking places..................    37,845   38,702   38,331   38,040   37,354
 
 
