TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--October 2010

Estimates adjusted for seasonal variations and holiday and trading-day differences, but not for price changes.
(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey, Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2010     2010     2010     2009     2009
   NAICS(1)                    Kind of Business                      Oct(3)   Sep      Aug      Oct      Sep
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   373,103  368,576  365,992  347,674  343,179

                 Total (excl. motor vehicle &  parts)............   306,098  304,777  303,161  288,886  288,933

                   Retail .......................................   333,339  328,919  326,339  309,555  305,017

                GAFO(4)..........................................       (*)   95,931   95,716   93,544   93,171

   441          Motor vehicle & parts dealers....................    67,005   63,799   62,831   58,788   54,246
   4411,4412     Auto & other motor veh. dealers.................    60,343   57,111   56,174   52,588   48,076

   442          Furniture & home furnishings stores..............     7,593    7,647    7,635    7,378    7,427

   443          Electronics & appliance stores....................    8,647    8,708    8,584    8,345    8,242
   44311,13      Appl., T.V. &  camera...........................       (*)    6,727    6,621    6,672    6,596
   44312         Computer & software stores......................       (*)    1,981    1,963    1,673    1,646

   444          Building material & garden eq. & supplies dealers    24,451   23,996   23,697   21,796   22,182
   4441          Building mat. & supplies dealers................       (*)   19,251   19,123   18,742   19,177

   445          Food & beverage stores...........................    49,396   49,269   49,205   48,260   48,284
   4451          Grocery stores..................................    43,934   43,901   43,863   43,114   43,102
   4453          Beer, wine & liquor stores......................       (*)    3,504    3,492    3,370    3,370

   446          Health & personal care stores....................    22,174   22,204   22,122   21,449   21,392
   44611         Pharmacies & drug stores........................       (*)   18,683   18,752   18,348   18,372

   447          Gasoline stations................................    36,353   36,073   35,642   32,370   32,970

   448          Clothing & clothing accessories stores...........    18,186   18,063   18,139   17,579   17,607
   44811         Men's clothing stores...........................       (*)      (S)      (S)      (S)      (S)
   44812         Women's clothing stores.........................       (*)    3,037    3,012    2,992    2,983
   4482          Shoe stores.....................................       (*)    2,294    2,317    2,175    2,213

   451          Sporting goods, hobby, book & music stores.......     7,399    7,324    7,259    6,937    7,070

   452          General merchandise stores.......................    51,083   50,981   50,938   50,065   49,632
   4521          Department stores (ex. L.D.)....................    15,352   15,456   15,478   15,698   15,616
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   35,525   35,460   34,367   34,016
   45291          Warehouse clubs & supercenters.................       (*)   31,087   31,032   30,269   29,956
   45299          All other gen. merchandise stores..............       (*)    4,438    4,428    4,098    4,060

   453          Miscellaneous store retailers....................    10,180   10,238   10,102    9,398    9,304

   454          Nonstore retailers...............................    30,872   30,617   30,185   27,190   26,661
   4541          Electronic shopping & mail-order houses.........       (*)   23,299   23,021   20,144   19,919

   722          Food services & drinking places..................    39,764   39,657   39,653   38,119   38,162
 
 
