TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--November 2012

Estimates adjusted for seasonal variations and holiday and trading-day differences, but not for price changes.
(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey, Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2012     2012     2012     2011     2011
   NAICS(1)                    Kind of Business                      Nov(3)   Oct      Sep      Nov      Oct
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   412,403  411,308  412,705  397,678  396,633

                 Total (excl. motor vehicle &  parts)............   336,805  336,717  336,676  325,930  325,254

                   Retail .......................................   367,639  366,881  368,346  355,430  354,410

                GAFO(4)..........................................       (*)   99,545   99,599   98,826   98,615

   441          Motor vehicle & parts dealers....................    75,598   74,591   76,029   71,748   71,379
   4411,4412     Auto & other motor veh. dealers.................    68,797   67,683   69,133   64,744   64,429

   442          Furniture & home furnishings stores..............     8,031    7,954    7,998    7,565    7,543

   443          Electronics & appliance stores....................    8,439    8,235    8,334    8,525    8,761
   44311,13      Appl., T.V. &  camera...........................       (*)    6,114    6,148    6,263    6,413
   44312         Computer & software stores......................       (*)    2,121    2,186    2,262    2,348

   444          Building material & garden eq. & supplies dealers    25,030   24,645   24,940   23,747   24,144
   4441          Building mat. & supplies dealers................       (*)   20,801   20,810   19,943   20,268

   445          Food & beverage stores...........................    53,386   53,538   53,243   51,895   51,747
   4451          Grocery stores..................................    47,804   48,048   47,765   46,571   46,428
   4453          Beer, wine & liquor stores......................       (*)    3,740    3,711    3,677    3,651

   446          Health & personal care stores....................    22,903   22,767   22,790   22,880   23,013
   44611         Pharmacies & drug stores........................       (*)   18,930   18,825   19,260   19,311

   447          Gasoline stations................................    45,431   47,326   46,856   45,061   44,288

   448          Clothing & clothing accessories stores...........    20,362   20,177   20,109   19,141   19,034
   44811         Men's clothing stores...........................       (*)      (S)      (S)      (S)      (S)
   44812         Women's clothing stores.........................       (*)    3,557    3,505    3,291    3,242
   4482          Shoe stores.....................................       (*)    2,393    2,421    2,319    2,307

   451          Sporting goods, hobby, book & music stores.......     7,635    7,600    7,491    7,130    7,169

   452          General merchandise stores.......................    51,953   52,427   52,522   53,381   53,004
   4521          Department stores (ex. L.D.)....................    14,964   15,092   15,216   15,436   15,333
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   37,335   37,306   37,945   37,671
   45291          Warehouse clubs & supercenters.................       (*)   32,271   32,282   33,296   33,130
   45299          All other gen. merchandise stores..............       (*)    5,064    5,024    4,649    4,541

   453          Miscellaneous store retailers....................    10,343   10,204   10,231    9,692    9,693

   454          Nonstore retailers...............................    38,528   37,417   37,803   34,665   34,635
   4541          Electronic shopping & mail-order houses.........       (*)   29,335   29,807   26,576   26,674

   722          Food services & drinking places..................    44,764   44,427   44,359   42,248   42,223
 




