TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--February 2012

Estimates adjusted for seasonal variations and holiday and trading-day differences, but not for price changes.
(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey, Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2012     2012     2011     2011     2011
   NAICS(1)                    Kind of Business                      Feb(3)   Jan      Dec      Feb      Jan
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   407,805  403,508  401,002  382,974  379,736

                 Total (excl. motor vehicle &  parts)............   335,270  332,116  328,440  315,129  312,268

                   Retail .......................................   364,382  360,448  358,540  342,837  340,338

                GAFO(4)..........................................       (*)   99,943   98,954   96,609   94,829

   441          Motor vehicle & parts dealers....................    72,535   71,392   72,562   67,845   67,468
   4411,4412     Auto & other motor veh. dealers.................    65,576   64,366   65,736   61,246   60,972

   442          Furniture & home furnishings stores..............     7,915    8,008    7,821    7,311    7,161

   443          Electronics & appliance stores....................    8,257    8,178    8,191    8,372    8,293
   44311,13      Appl., T.V. &  camera...........................       (*)    6,319    6,316    6,531    6,435
   44312         Computer & software stores......................       (*)    1,859    1,875    1,841    1,858

   444          Building material & garden eq. & supplies dealers    27,036   26,651   26,293   23,758   24,127
   4441          Building mat. & supplies dealers................       (*)   21,420   21,087   19,096   19,434

   445          Food & beverage stores...........................    52,295   52,145   51,566   50,444   50,074
   4451          Grocery stores..................................    46,764   46,642   46,126   45,133   44,897
   4453          Beer, wine & liquor stores......................       (*)    3,752    3,701    3,665    3,569

   446          Health & personal care stores....................    23,176   23,151   23,166   22,733   22,744
   44611         Pharmacies & drug stores........................       (*)   19,252   19,203   18,992   19,277

   447          Gasoline stations................................    46,875   45,383   44,552   42,505   41,904

   448          Clothing & clothing accessories stores...........    19,741   19,400   19,262   18,396   18,208
   44811         Men's clothing stores...........................       (*)      (S)      (S)      (S)      (S)
   44812         Women's clothing stores.........................       (*)    3,319    3,295    3,164    3,025
   4482          Shoe stores.....................................       (*)    2,340    2,363    2,234    2,234

   451          Sporting goods, hobby, book & music stores.......     7,605    7,533    7,374    7,374    7,104

   452          General merchandise stores.......................    53,672   53,705   53,259   52,144   51,145
   4521          Department stores (ex. L.D.)....................    15,489   15,257   15,253   15,458   15,274
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   38,448   38,006   36,686   35,871
   45291          Warehouse clubs & supercenters.................       (*)   33,400   33,153   32,170   31,404
   45299          All other gen. merchandise stores..............       (*)    5,048    4,853    4,516    4,467

   453          Miscellaneous store retailers....................    10,567   10,534   10,099    9,967    9,607

   454          Nonstore retailers...............................    34,708   34,368   34,395   31,988   32,503
   4541          Electronic shopping & mail-order houses.........       (*)   26,383   26,537   24,266   24,713

   722          Food services & drinking places..................    43,423   43,060   42,462   40,137   39,398


