TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--December 2009

Estimates adjusted for seasonal variations and holiday and trading-day differences, but not for price changes.
(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey, Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2009     2009     2009     2008     2008
   NAICS(1)                    Kind of Business                      Dec(3)   Nov      Oct      Dec      Nov
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   352,985  353,951  347,641  335,016  345,175

                 Total (excl. motor vehicle &  parts)............   293,545  294,025  288,445  278,928  288,233

                   Retail .......................................   315,041  315,789  309,821  297,453  307,210

                GAFO(4)..........................................       (*)   94,795   94,335   92,358   94,499

   441          Motor vehicle & parts dealers....................    59,440   59,926   59,196   56,088   56,942
   4411,4412     Auto & other motor veh. dealers.................    53,173   53,659   52,842   49,428   50,254

   442          Furniture & home furnishings stores..............     7,764    7,743    7,687    8,069    8,212

   443          Electronics & appliance stores....................    8,449    8,674    8,435    8,506    9,064
   44311,13      Appl., T.V. &  camera...........................       (*)    6,809    6,612    6,644    7,190
   44312         Computer & software stores......................       (*)    1,865    1,823    1,862    1,874

   444          Building material & garden eq. & supplies dealers    23,343   23,427   22,908   24,784   25,482
   4441          Building mat. & supplies dealers................       (*)   19,515   19,198   20,698   21,346

   445          Food & beverage stores...........................    49,559   49,946   49,397   48,240   49,343
   4451          Grocery stores..................................    44,280   44,578   44,111   43,170   44,150
   4453          Beer, wine & liquor stores......................       (*)    3,473    3,477    3,442    3,502

   446          Health & personal care stores....................    21,697   21,520   21,409   20,646   20,720
   44611         Pharmacies & drug stores........................       (*)   17,887   17,777   17,212   17,140

   447          Gasoline stations................................    34,545   34,190   31,203   25,850   30,521

   448          Clothing & clothing accessories stores...........    17,461   17,574   17,600   16,628   17,312
   44811         Men's clothing stores...........................       (*)      (S)      (S)      (S)      (S)
   44812         Women's clothing stores.........................       (*)    2,933    2,944    2,905    2,992
   4482          Shoe stores.....................................       (*)    2,155    2,141    2,102    2,162

   451          Sporting goods, hobby, book & music stores.......     7,411    7,291    7,267    7,084    7,189

   452          General merchandise stores.......................    49,965   50,358   50,099   48,951   49,601
   4521          Department stores (ex. L.D.)....................    15,737   15,737   15,667   15,923   16,517
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   34,621   34,432   33,028   33,084
   45291          Warehouse clubs & supercenters.................       (*)   30,644   30,440   29,505   29,403
   45299          All other gen. merchandise stores..............       (*)    3,977    3,992    3,523    3,681

   453          Miscellaneous store retailers....................     9,625    9,722    9,612    9,242    9,427

   454          Nonstore retailers...............................    25,782   25,418   25,008   23,365   23,397
   4541          Electronic shopping & mail-order houses.........       (*)   18,494   18,092   16,658   16,261

   722          Food services & drinking places..................    37,944   38,162   37,820   37,563   37,965
 
 
