TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--April 2010

Estimates adjusted for seasonal variations and holiday and trading-day differences, but not for price changes.
(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey, Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2010     2010     2010     2009     2009
   NAICS(1)                    Kind of Business                      Apr(3)   Mar      Feb      Apr      Mar
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   366,404  364,854  357,272  336,713  336,207

                 Total (excl. motor vehicle &  parts)............   303,536  302,323  298,653  282,099  281,535

                   Retail .......................................   326,950  325,440  318,054  298,339  297,904

                GAFO(4)..........................................       (*)   96,678   95,628   92,363   91,970

   441          Motor vehicle & parts dealers....................    62,868   62,531   58,619   54,614   54,672
   4411,4412     Auto & other motor veh. dealers.................    56,449   56,144   52,309   48,282   48,331

   442          Furniture & home furnishings stores..............     7,755    7,851    7,688    7,415    7,450

   443          Electronics & appliance stores....................    8,535    8,565    8,679    8,225    8,296
   44311,13      Appl., T.V. &  camera...........................       (*)    6,754    6,888    6,581    6,659
   44312         Computer & software stores......................       (*)    1,811    1,791    1,644    1,637

   444          Building material & garden eq. & supplies dealers    25,495   23,853   22,132   22,741   22,922
   4441          Building mat. & supplies dealers................       (*)   19,996   18,320   19,513   19,584

   445          Food & beverage stores...........................    48,935   49,159   49,321   47,773   47,644
   4451          Grocery stores..................................    43,595   43,818   43,995   42,621   42,496
   4453          Beer, wine & liquor stores......................       (*)    3,463    3,463    3,358    3,370

   446          Health & personal care stores....................    21,851   21,657   21,509   21,111   21,181
   44611         Pharmacies & drug stores........................       (*)   18,420   18,292   18,194   18,168

   447          Gasoline stations................................    36,300   36,134   35,768   27,899   27,959

   448          Clothing & clothing accessories stores...........    18,260   18,439   17,977   17,280   17,006
   44811         Men's clothing stores...........................       (*)      (S)      (S)      (S)      (S)
   44812         Women's clothing stores.........................       (*)    3,129    3,044    2,979    2,952
   4482          Shoe stores.....................................       (*)    2,302    2,292    2,130    2,140

   451          Sporting goods, hobby, book & music stores.......     7,194    7,332    7,166    7,000    6,826

   452          General merchandise stores.......................    51,094   51,289   50,966   49,189   49,196
   4521          Department stores (ex. L.D.)....................    15,906   16,148   15,936   15,760   15,729
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   35,141   35,030   33,429   33,467
   45291          Warehouse clubs & supercenters.................       (*)   30,790   30,715   29,536   29,611
   45299          All other gen. merchandise stores..............       (*)    4,351    4,315    3,893    3,856

   453          Miscellaneous store retailers....................     9,695    9,723    9,474    9,443    9,360

   454          Nonstore retailers...............................    28,968   28,907   28,755   25,649   25,392
   4541          Electronic shopping & mail-order houses.........       (*)   21,668   21,266   18,858   18,604

   722          Food services & drinking places..................    39,454   39,414   39,218   38,374   38,303
 
 
