TABLE 1A.  ESTIMATED MONTHLY SALES FOR RETAIL AND FOOD SERVICES, BY KIND OF BUSINESS--February 2009

Estimates adjusted for seasonal variations and holiday and trading-day differences, but not for price changes.
(Total sales estimates are shown in millions of dollars and are based on data from the Advance Monthly Retail Trade Survey, Monthly Retail Trade Survey, and administrative records.)(2)

                 (In Millions of dollars)


                                                                     2009     2009     2008     2008     2008
   NAICS(1)                    Kind of Business                      Feb(3)   Jan      Dec      Feb      Jan
   Code                                                              (a)      (p)      (r)      (r)      (r)

                Retail & food services, total....................   346,810  347,191  340,987  379,355  381,421

                 Total (excl. motor vehicle &  parts)............   290,023  287,872  283,444  305,148  306,045

                   Retail .......................................   308,148  308,461  302,852  341,729  343,739

                GAFO(4)..........................................       (*)   95,743   93,448   97,659   98,191

   441          Motor vehicle & parts dealers....................    56,787   59,319   57,543   74,207   75,376
   4411,4412     Auto & other motor veh. dealers.................    50,162   52,738   50,952   67,831   69,076

   442          Furniture & home furnishings stores..............     8,449    8,392    8,443    9,466    9,670

   443          Electronics & appliance stores....................    9,217    9,110    8,473    9,346    9,409
   44311,13      Appl., T.V. &  camera...........................       (*)    7,344    6,695    7,522    7,593
   44312         Computer & software stores......................       (*)    1,766    1,778    1,824    1,816

   444          Building material & garden eq. & supplies dealers    24,759   24,810   25,142   27,593   27,480
   4441          Building mat. & supplies dealers................       (*)   20,569   20,886   23,550   23,715

   445          Food & beverage stores...........................    48,851   49,213   48,273   48,395   48,210
   4451          Grocery stores..................................    43,545   44,006   43,167   43,400   43,276
   4453          Beer, wine & liquor stores......................       (*)    3,589    3,528    3,413    3,397

   446          Health & personal care stores....................    21,035   20,903   20,865   20,240   20,159
   44611         Pharmacies & drug stores........................       (*)   17,179   17,230   16,813   16,750

   447          Gasoline stations................................    28,092   27,158   26,422   41,523   41,894

   448          Clothing & clothing accessories stores...........    18,227   17,739   16,909   18,804   18,981
   44811         Men's clothing stores...........................       (*)      (S)      (S)      (S)      (S)
   44812         Women's clothing stores.........................       (*)    2,965    2,949    3,372    3,368
   4482          Shoe stores.....................................       (*)    2,091    2,124    2,236    2,247

   451          Sporting goods, hobby, book & music stores.......     7,369    7,351    7,178    7,328    7,436

   452          General merchandise stores.......................    50,315   49,686   49,162   49,207   49,071
   4521          Department stores (ex. L.D.)....................    16,147   15,973   16,131   17,076   17,134
   4521          Department stores (incl. L.D.)(5)...............       (*)     (NA)     (NA)     (NA)     (NA)
   4529          Other general merchandise stores................       (*)   33,713   33,031   32,131   31,937
   45291          Warehouse clubs & supercenters.................       (*)   30,020   29,497   28,415   28,150
   45299          All other gen. merchandise stores..............       (*)    3,693    3,534    3,716    3,787

   453          Miscellaneous store retailers....................     9,424    9,221    9,298    9,831   10,028

   454          Nonstore retailers...............................    25,623   25,559   25,144   25,789   26,025
   4541          Electronic shopping & mail-order houses.........       (*)   18,257   18,123   17,579   17,864

   722          Food services & drinking places..................    38,662   38,730   38,135   37,626   37,682
 
 
 
