"","Table 3# Price Indexes for Gross Domestic Product and Gross Dome","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80"
"11",NA,"  Personal consumption expenditures"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","20","    Total","B002RG3",11.7,11.203,9.997,8.808,8.492,8.884,9.097,9.185,9.52,9.305,9.217,9.293,9.864,11.082,12.094,12.78,13.291,14.247,15.702,16.599,16.474,16.675,17.805,18.169,18.416,18.585,18.676,19.059,19.639,20.117,20.432,20.767,20.985,21.232,21.479,21.786,22.103,22.662,23.237,24.151,25.255,26.448,27.574,28.528,30.081,33.191,35.955,37.948,40.41,43.248,47.059,52.078,56.72,59.859,62.436,64.795,66.936,68.569,70.947,73.755,76.972,80.498,83.419,85.824,87.804,89.654,91.577,93.547,95.124,95.978,97.575,100,102.094,103.542,105.597,108.373,111.493
"13","30","    Durable goods","B003RG3",25.781,24.249,21.706,19.232,18.656,19.668,19.557,19.68,20.484,20.547,20.338,20.527,22.002,25.646,27.907,31.267,32.954,34.312,37.244,39.134,39.608,39.828,42.471,42.874,42.531,41.596,41.439,42.453,44.082,44.921,45.662,45.444,45.551,45.755,45.915,46.142,45.721,45.517,46.228,47.749,49.067,50.148,51.975,52.531,53.301,56.676,61.844,65.278,68.129,72.038,76.83,83.277,88.879,92.358,94.181,95.55,96.62,97.685,100.465,101.921,103.717,104.561,106.08,106.756,107.84,109.978,110.672,109.507,107.068,104.152,101.626,100,98.114,95.766,92.366,90.845,90.198
"14","40","    Nondurable goods","B004RG3",12.815,12.139,10.382,8.879,8.822,9.745,10.101,10.131,10.486,9.969,9.803,9.892,10.729,12.491,13.958,14.744,15.373,16.772,18.939,20.06,19.401,19.482,21.099,21.331,21.235,21.303,21.174,21.468,22.1,22.633,22.765,23.089,23.227,23.412,23.683,23.986,24.423,25.232,25.83,26.82,28.062,29.446,30.359,31.373,33.838,38.702,41.735,43.346,45.911,48.985,54.148,60.449,65.13,66.955,68.386,70.004,71.543,71.273,73.731,76.206,79.842,84.226,86.779,88.105,88.973,89.605,90.629,92.567,93.835,93.821,96.173,100,101.531,102.089,104.145,107.617,111.53
"15","50","    Services","B005RG3",9.23,8.997,8.421,7.65,7.136,6.985,7.082,7.224,7.493,7.564,7.571,7.621,7.817,8.221,8.632,9.032,9.328,9.763,10.359,10.939,11.246,11.561,12.082,12.563,13.186,13.578,13.894,14.275,14.687,15.076,15.485,15.887,16.173,16.466,16.701,17.016,17.334,17.81,18.349,19.128,20.106,21.175,22.34,23.304,24.381,26.345,28.595,30.603,32.933,35.464,38.316,42.332,46.746,50.528,53.799,56.68,59.295,62.04,64.299,67.493,70.708,74.197,77.497,80.684,83.345,85.748,88.32,90.844,93.305,95.319,97.393,100,103.257,106.018,109.379,112.863,116.529
"16",NA,"  Private fixed investment"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","60","    Total","B007RG3",12.507,11.997,11.095,9.798,9.631,10.117,10.168,10.271,11.161,11.315,11.255,11.537,12.39,13.584,14.177,14.655,15.118,16.7,19.611,21.286,21.701,22.182,24.097,24.686,24.89,25.079,25.488,26.989,27.926,27.997,28.262,28.414,28.325,28.346,28.267,28.44,28.926,29.536,30.364,31.582,33.14,34.565,36.306,37.865,39.958,43.89,49.384,52.244,56.342,61.101,66.642,72.887,79.67,84.047,83.912,84.399,85.457,87.501,89.118,91.431,93.641,95.542,96.96,96.67,97.805,99.133,100.292,100.028,99.785,98.861,98.888,100,101.023,101.66,103.313,106.811,110.542
"18",NA,"    Nonresidential"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","70","      Total","B008RG3",15.539,14.812,13.789,12.475,12.253,12.686,12.822,12.806,13.878,13.989,13.841,14.156,15.088,16.677,17.215,17.562,18.011,19.924,23.175,25.172,25.755,26.281,28.805,29.457,29.72,30.007,30.413,32.81,34.485,34.659,35.114,35.275,35.076,35.087,35.088,35.268,35.672,36.206,37.129,38.431,40.018,41.908,43.88,45.367,47.115,51.658,58.763,62.018,66.258,70.695,76.44,83.198,91.245,96.295,95.432,95.195,95.936,97.566,98.435,100.625,102.731,104.695,106.314,105.411,105.487,106.008,106.239,105.011,103.696,101.421,100.057,100,99.683,99.513,99.591,100.834,103.428
"20","80","      Structures","B009RG3",6.419,6.078,5.56,4.819,4.861,4.882,5.115,5.112,5.808,5.701,5.64,5.726,6.129,6.836,7.43,7.594,7.932,8.885,10.766,11.981,11.939,12.085,13.48,13.838,14.107,13.936,14.214,15.431,16.092,15.835,15.923,15.904,15.81,15.941,16.085,16.316,16.791,17.398,17.943,18.835,20.074,21.39,23.04,24.704,26.619,30.295,33.911,35.571,38.651,42.382,47.313,51.74,58.88,63.566,61.939,62.468,63.94,65.168,66.199,69.016,71.707,74.015,75.355,75.33,77.602,80.388,83.879,86.045,89.381,93.474,96.257,100,105.403,110.03,113.872,120.951,134.647
"21","90","      Equipment and software","B010RG3",23.012,22.09,20.938,19.748,18.973,20.043,19.866,19.835,20.97,21.475,21.249,21.818,23.205,25.521,25.655,26.148,26.589,29.107,32.974,35.35,36.714,37.635,40.834,41.662,41.76,42.765,43.166,46.376,49.005,49.968,50.882,51.305,51.025,50.774,50.495,50.474,50.52,50.654,51.776,53.167,54.645,56.657,58.34,59.044,60.047,64.474,74.001,78.355,83.011,87.391,92.932,100.868,108.077,112.293,112.53,111.547,111.413,113.178,113.796,115.216,116.657,118.168,119.854,118.444,117.243,116.572,115.224,112.451,109.12,104.259,101.366,100,97.708,95.956,94.912,94.503,94.134
"22","100","    Residential","B011RG3",6.765,6.619,5.991,4.883,4.816,5.346,5.27,5.527,6.064,6.254,6.297,6.485,7.084,7.612,8.238,9.038,9.648,10.552,12.638,13.699,13.881,14.224,15.243,15.662,15.774,15.837,16.166,16.578,16.622,16.58,16.63,16.743,16.769,16.795,16.663,16.796,17.272,17.899,18.521,19.504,20.853,21.526,22.775,24.158,26.297,29.011,31.706,33.743,37.147,41.696,46.374,51.394,55.587,58.564,59.908,61.63,63.219,65.868,68.561,70.928,73.211,74.93,75.912,76.836,79.941,82.754,85.769,87.61,89.843,92.239,95.78,100,104.633,107.24,112.372,120.618,126.714
"23",NA,"  Exports and imports of goods and services"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","110","    Exports","B020RG3",17.011,15.401,12.118,10.51,10.509,12.186,12.496,12.917,13.775,13.139,12.962,14.059,15.35,18.547,20.288,22.851,22.663,21.904,25.434,26.79,25.192,24.532,27.718,27.886,27.808,27.43,27.665,28.59,29.674,29.373,29.433,29.846,30.3,30.375,30.307,30.556,31.529,32.481,33.725,34.461,35.627,36.993,38.358,40.146,45.425,55.965,61.682,63.707,66.302,70.342,78.808,86.801,93.217,93.645,94.015,94.887,91.983,90.639,92.874,97.687,99.31,99.982,101.313,100.892,100.898,102.033,104.376,102.988,101.232,98.905,98.313,100,99.624,99.273,101.429,105.151,108.949
"25","120","    Imports","B021RG3",12.541,10.693,8.642,6.927,6.639,7.542,7.667,8.203,9.155,8.46,8.88,9.472,10.004,11.458,12.334,12.956,13.32,14.851,17.792,19.336,18.429,19.575,23.659,22.802,21.823,22.121,22.002,22.39,22.645,21.704,21.901,22.11,22.11,21.849,22.273,22.743,23.059,23.596,23.688,24.048,24.675,26.135,27.739,29.682,34.841,49.847,53.997,55.622,60.523,64.798,75.879,94.513,99.594,96.235,92.629,91.829,88.813,88.871,94.251,98.774,100.944,103.826,103.42,103.552,102.671,103.634,106.412,104.529,100.816,95.353,95.96,100,97.497,96.341,99.685,104.678,111.268
"26",NA,"  Government consumption expenditures and gross investment"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","130","    Total","B822RG3",7.754,7.515,7.137,6.497,6.703,7.212,7.273,7.492,7.65,7.667,7.544,7.457,7.916,7.954,8.083,7.978,8.071,9.993,10.796,11.215,11.532,11.539,12.304,12.552,12.685,12.956,13.498,14.26,14.89,15.34,15.404,15.597,15.909,16.314,16.669,17.132,17.588,18.33,19.099,20.128,21.341,23.079,24.875,26.788,28.743,31.646,34.824,37.118,39.694,42.235,45.775,50.761,55.752,59.414,61.778,64.955,66.97,68.175,70.056,71.899,74.139,77.139,79.787,81.719,83.789,86.002,88.358,90.491,92.139,93.469,96.079,100,102.544,105.507,109.849,114.718,121.183
"28","140","    Federal","B823RG3",8.388,8.016,7.952,7.572,7.654,8.18,8.275,9.04,9.187,9.342,9.168,8.806,9.267,9.09,9.175,9.014,9.1,11.608,12.319,12.206,12.719,12.645,13.196,13.326,13.42,13.736,14.48,15.23,15.914,16.569,16.45,16.59,16.871,17.228,17.597,18.191,18.658,19.33,19.913,20.995,22.13,23.915,25.957,28.495,30.449,33.162,36.615,39.217,42.18,44.785,48.231,53.299,58.476,62.446,64.612,68.426,69.974,70.352,71.2,72.704,74.677,77.142,80.232,82.602,84.788,87.061,89.503,91.982,93.533,94.511,96.884,100,101.907,105.631,110.094,115.249,120.726
"29","150","    State and local","B829RG3",5.857,5.694,5.354,4.819,5.003,5.399,5.437,5.413,5.547,5.504,5.425,5.474,5.842,6.456,6.935,7.203,7.442,8.132,9.115,10.191,10.277,10.371,11.435,11.927,12.159,12.36,12.601,13.408,13.987,14.174,14.475,14.738,15.093,15.564,15.911,16.234,16.685,17.507,18.488,19.475,20.78,22.488,24.087,25.524,27.477,30.5,33.481,35.563,37.872,40.359,43.944,48.858,53.709,57.14,59.666,62.336,64.739,66.624,69.361,71.485,73.94,77.357,79.681,81.3,83.294,85.472,87.778,89.709,91.414,92.934,95.667,100,102.868,105.435,109.712,114.417,121.463
"30","160","  Gross domestic purchases","B712RG3",11.703,11.219,10.112,8.929,8.682,9.103,9.278,9.398,9.762,9.568,9.469,9.537,10.14,10.948,11.557,11.816,12.131,13.635,15.145,16.029,16.05,16.235,17.394,17.741,17.938,18.148,18.409,19.037,19.682,20.121,20.365,20.646,20.865,21.139,21.385,21.725,22.102,22.724,23.389,24.38,25.58,26.964,28.351,29.619,31.343,34.546,37.761,39.938,42.634,45.663,49.669,54.876,59.896,63.296,65.515,67.822,69.76,71.338,73.527,76.043,78.934,82.144,84.836,86.828,88.73,90.583,92.483,94.145,95.44,96.06,97.556,100,101.994,103.583,105.966,109.21,112.981
"31","170","  Gross national product","A001RG3",11.927,11.466,10.322,9.14,8.901,9.343,9.527,9.634,9.986,9.798,9.674,9.757,10.39,11.238,11.864,12.143,12.457,13.916,15.47,16.353,16.344,16.473,17.602,17.985,18.216,18.409,18.687,19.337,20.015,20.487,20.73,21.021,21.258,21.55,21.78,22.114,22.519,23.161,23.878,24.896,26.131,27.516,28.895,30.15,31.835,34.695,37.981,40.181,42.737,45.742,49.532,54.034,59.104,62.711,65.192,67.641,69.706,71.246,73.189,75.691,78.562,81.613,84.454,86.391,88.393,90.269,92.123,93.869,95.421,96.477,97.869,100,102.399,104.184,106.401,109.419,112.733
"32",NA,"Implicit price deflators"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","180","  Gross domestic product","A191RD3",11.975,11.536,10.338,9.122,8.876,9.37,9.558,9.665,10.083,9.79,9.695,9.808,10.465,11.279,11.886,12.166,12.49,13.986,15.506,16.382,16.352,16.531,17.718,18.022,18.243,18.417,18.743,19.393,20.038,20.498,20.751,21.041,21.278,21.569,21.798,22.131,22.535,23.176,23.893,24.913,26.149,27.534,28.911,30.166,31.849,34.725,38.002,40.196,42.752,45.757,49.548,54.043,59.119,62.726,65.207,67.655,69.713,71.25,73.196,75.694,78.556,81.59,84.444,86.385,88.381,90.259,92.106,93.852,95.414,96.472,97.868,100,102.399,104.187,106.404,109.426,112.737
"34","190","  Gross national product","A001RD3",11.96,11.521,10.326,9.112,8.867,9.362,9.55,9.655,10.07,9.778,9.681,9.793,10.449,11.262,11.865,12.143,12.468,13.968,15.488,16.362,16.332,16.511,17.693,17.997,18.218,18.394,18.721,19.369,20.013,20.474,20.727,21.018,21.255,21.547,21.777,22.111,22.516,23.158,23.874,24.893,26.127,27.512,28.889,30.145,31.83,34.699,37.976,40.175,42.731,45.737,49.527,54.015,59.095,62.699,65.184,67.631,69.695,71.227,73.181,75.679,78.549,81.589,84.44,86.375,88.382,90.262,92.114,93.863,95.42,96.475,97.869,100,102.396,104.179,106.396,109.416,112.726
"35",NA,"Percent change from preceding period for chain-type price indexes"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","200","  Gross domestic product","A191RV3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","210","  Gross domestic purchases","A712RV3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","220","  Gross national product","A001RV3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
