"","Table C#1# GDP and Other Major NIPA Aggregates                  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50"
"1","[Quarterly estimates are seasonally adjusted at annual rates]                                                                                                                                                                                             ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1959 To 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published                   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/29/2006 8:54:58 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
"8",NA,"Year and quarter"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,"Billions of chained (2000) dollars"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","10","  Gross domestic product","A191RX1",2441.3,2501.8,2560,2715.2,2834,2998.6,3191.1,3399.1,3484.6,3652.7,3765.4,3771.9,3898.6,4105,4341.5,4319.6,4311.2,4540.9,4750.5,5015,5173.4,5161.7,5291.7,5189.3,5423.8,5813.6,6053.7,6263.6,6475.1,6742.7,6981.4,7112.5,7100.5,7336.6,7532.7,7835.5,8031.7,8328.9,8703.5,9066.9,9470.3,9817,9890.7,10048.8,10301,10703.5,11048.6
"11","20","  Final sales of domestic product","A190RX1",2442.7,2506.8,2566.8,2708.5,2830.3,2999.9,3173.8,3364.8,3467.6,3640.3,3753.7,3787.7,3893.4,4098.6,4315.9,4305.5,4352.5,4522.3,4721.6,4981.6,5161.2,5196.7,5265.1,5233.4,5454,5739.2,6042.1,6271.8,6457.2,6734.5,6962.2,7108.5,7115,7331.1,7522.3,7777.8,8010.2,8306.5,8636.6,8997.6,9404,9760.5,9920.9,10036.5,10285.1,10648.3,11025.2
"12","30","  Gross national product","A001RX1",2457.4,2519.4,2579.3,2736.9,2857.2,3023.6,3217.3,3423.7,3510.1,3680,3792,3798.2,3927.8,4136.2,4383.6,4367.5,4348.4,4585.3,4800.3,5064.4,5240.1,5227.6,5349.7,5249.7,5482.5,5869.3,6093.4,6290.6,6500.9,6775.2,7015.4,7155.2,7136.8,7371.8,7568.6,7864.2,8069.8,8365.3,8737.5,9088.7,9504.7,9855.9,9933.6,10079,10355.3,10746.8,11077.9
"13",NA,"Percent change from preceding period"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","40","  Gross domestic product","A191RL1",7.1,2.5,2.3,6.1,4.4,5.8,6.4,6.5,2.5,4.8,3.1,0.2,3.4,5.3,5.8,-0.5,-0.2,5.3,4.6,5.6,3.2,-0.2,2.5,-1.9,4.5,7.2,4.1,3.5,3.4,4.1,3.5,1.9,-0.2,3.3,2.7,4,2.5,3.7,4.5,4.2,4.5,3.7,0.8,1.6,2.5,3.9,3.2
"15","50","  Final sales of domestic product","A190RL1",6.2,2.6,2.4,5.5,4.5,6,5.8,6,3.1,5,3.1,0.9,2.8,5.3,5.3,-0.2,1.1,3.9,4.4,5.5,3.6,0.7,1.3,-0.6,4.2,5.2,5.3,3.8,3,4.3,3.4,2.1,0.1,3,2.6,3.4,3,3.7,4,4.2,4.5,3.8,1.6,1.2,2.5,3.5,3.5
"16",NA,"Chain-type price indexes [2000=100]"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","60","  Gross domestic product","B191RG3",20.754,21.044,21.281,21.572,21.801,22.134,22.538,23.18,23.897,24.916,26.153,27.538,28.916,30.171,31.854,34.721,38.007,40.202,42.758,45.762,49.553,54.062,59.128,62.738,65.214,67.664,69.724,71.269,73.204,75.706,78.569,81.614,84.457,86.402,88.39,90.265,92.115,93.859,95.415,96.475,97.868,100,102.402,104.193,106.409,109.429,112.744
