"","Table 3#18A# Relation of Federal Government Current Receipts and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39"
"1","[Billions of dollars; quarterly totals not seasonally adjusted];                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1959 To 1967",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published November 04, 2015 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/4/2015 6:35:22 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1959,1959,1959,1959,1960,1960,1960,1960,1961,1961,1961,1961,1962,1962,1962,1962,1963,1963,1963,1963,1964,1964,1964,1964,1965,1965,1965,1965,1966,1966,1966,1966,1967,1967,1967,1967
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
"9",NA,"      Current receipts"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1","Cash receipts from the public","M318011",NA,NA,21.4,19.4,25.8,28.5,23.4,20.6,24.8,28.5,23.4,21.3,26.2,31,26,23,28.2,32.6,27.3,24.5,30.3,33.4,27,24.3,30.7,37.7,29.2,25.9,33.3,46.2,34.6,31.1,38,49.9,35.9,32.5
"11","2","Less: Coverage differences","M318021",NA,NA,0.7,0.8,0.8,1.2,0.7,0.9,1,1.5,0.9,0.8,0.9,1.1,1.3,1,0.8,1.2,1.1,0.9,1,1.3,1,1.2,1.2,1.3,1.1,1,1.3,1.7,1.2,1.4,1.3,2.1,1.3,1.1
"12","3","  Contributions received by federal employee pension and insurance funds \1\","M318041",NA,NA,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
"13","4","  Capital transfers received \2\","M318051",NA,NA,0.3,0.3,0.4,0.5,0.4,0.4,0.5,0.6,0.4,0.4,0.5,0.7,0.5,0.4,0.5,0.7,0.5,0.4,0.6,0.9,0.6,0.6,0.7,0.9,0.6,0.6,0.8,1,0.6,0.6,0.8,1,0.7,0.6
"14","5","  Financial transactions","M318061",NA,NA,0.1,0.2,0.2,0.1,0.1,0.2,0.2,0.6,0.2,0.1,0.1,0.1,0.5,0.1,0,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0,0.1,0.1
"15","6","  District of Columbia","L318071",NA,NA,0,0.1,0,0.1,0,0.1,0.1,0.1,0,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"16","7","  Other \3\","M318071",NA,NA,0,0,-0.1,0.3,0,0,0.1,0,0,0,0,0.1,0,0.1,0,0.1,0,0,0,0,0,0.2,0,0,0.1,0,0.1,0.2,0,0.1,0.1,0.7,0.1,-0.1
"17","8","Less: Netting and grossing differences","M318081",NA,NA,0.2,0.2,0,0,-0.1,-0.1,-0.1,0,-0.1,-0.2,-0.1,-0.1,0,0.1,0,0,-0.1,0,0,-0.2,-0.2,-0.1,-0.3,-0.3,-0.1,-0.1,0,0.1,0.1,-0.1,-0.3,-0.2,-0.3,-0.4
