"","Table 7#1# Selected Per Capita Product and Income Series in Curr","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190"
"11","2","  Gross national product","A791RC0",4960,5027,5113,5142,5193,5260,5331,5324,5539,5629,5709,5758,5938,6097,6198,6364,6588,6752,6837,7021,7092,7259,7372,7528,7581,7735,7984,8217,8468,8603,8737,8936,9175,9461,9717,9889,10061,10596,10854,11212,11408,11682,12007,12238,12500,12471,12691,13215,13804,13921,14303,14383,14304,14541,14633,14767,15048,15471,15900,16312,16765,17166,17429,17623,17935,18180,18498,18709,18921,19016,19247,19382,19630,19955,20230,20689,20948,21374,21682,22098,22518,22873,23157,23329,23783,24053,24169,24152,24159,24390,24584,24771,25094,25442,25704,26049,26198,26406,26624,26972,27319,27730,27947,28328,28547,28700,28937,29239,29541,30052,30303,30700,31011,31500,31880,32108,32427,32709,33110,33665,34049,34369,34805,35499,35768,36568,36732,37128,37121,37523,37349,37692,37938,38137,38445,38642,38950,39395,40172,40825,41396,41879,42446,42915,43792,44203,44907,45290,46096,46481,46679,47122,47576,48170,48724,49137,48926,49308,49344,48005,47389,47138,47350,47807,48186,48773,49201,49703,49685,50322,50701,51285,51734,52055,52305,52398,52734,52999,53578,54213,54174,54972,55699,55859,55756,56495,56754
"12","3","  Personal income","A792RC0",3819,3905,4000,4064,4125,4199,4255,4283,4367,4467,4522,4595,4714,4787,4897,5104,5177,5304,5420,5586,5651,5760,5915,6037,6117,6249,6399,6548,6686,6784,6933,7079,7200,7403,7594,7844,8005,8251,8466,8689,8920,9077,9340,9589,9838,9925,10248,10692,10927,11109,11497,11619,11734,11895,12042,12204,12339,12528,12749,13082,13444,13771,14058,14254,14501,14639,14799,15032,15252,15396,15565,15703,15913,16127,16382,16734,17009,17276,17603,17909,18391,18572,18745,18988,19335,19578,19756,19774,19757,19928,20057,20300,20698,21015,21173,21385,21455,21655,21736,21965,22104,22447,22624,22965,23267,23447,23659,23866,24243,24659,24857,25112,25505,25728,26057,26467,26989,27378,27680,27941,28184,28359,28652,29195,30022,30409,30855,31048,31535,31590,31482,31492,31567,31783,31820,31985,32114,32469,32822,33220,33560,34047,34436,35070,35121,35585,36101,36624,37652,37969,38238,38657,39322,39659,39884,40235,40749,41821,41113,40528,39387,39489,39232,39356,39608,40111,40450,40921,42011,42314,42715,42793,43563,43972,44052,45388,43966,44313,44575,44752,45347,45832,46248,46722,47033,47567,48066
"13","4","  Disposable personal income","A229RC0",3311,3383,3487,3545,3612,3684,3765,3791,3892,3982,4030,4089,4142,4198,4305,4501,4578,4693,4788,4928,4981,5063,5191,5303,5382,5687,5693,5817,5938,6006,6127,6244,6340,6513,6694,6901,7049,7247,7406,7583,7788,7911,8121,8328,8582,8640,8923,9297,9483,9617,9947,10092,10210,10344,10536,10674,10837,10992,11277,11570,11911,12202,12435,12585,12682,13007,13033,13241,13475,13609,13741,13815,14051,14017,14370,14654,14953,15242,15538,15806,16148,16278,16437,16654,16995,17197,17358,17385,17454,17612,17733,17951,18394,18648,18779,18911,19074,19178,19208,19383,19535,19794,19989,20300,20537,20641,20842,20990,21257,21541,21734,21926,22185,22365,22615,22938,23366,23669,23908,24091,24308,24431,24646,25081,25724,26046,26442,26608,26952,26994,27581,27189,27840,28134,28168,28363,28584,28958,29539,29708,30094,30537,30800,31353,31145,31533,31961,32396,33217,33448,33696,33991,34457,34720,34918,35209,35688,36742,36175,35801,35459,35798,35546,35658,35744,36183,36396,36768,37432,37686,38009,38087,38868,39221,39250,40415,38772,39003,39299,39415,39893,40331,40638,40977,41107,41531,41972
"14","5","  Personal consumption expenditures","A794RC0",2911,2960,3003,3053,3100,3139,3186,3208,3290,3348,3397,3465,3539,3619,3697,3805,3913,3978,4055,4116,4193,4318,4441,4475,4588,4710,4853,4974,5118,5198,5319,5459,5608,5722,5847,6003,6124,6367,6487,6644,6785,6948,7169,7339,7526,7515,7751,8026,8251,8368,8516,8558,8705,8801,8986,9229,9380,9634,9907,10107,10283,10510,10647,10829,11124,11299,11578,11658,11818,11911,12158,12280,12389,12654,12889,12997,13304,13522,13769,14031,14226,14450,14637,14777,15082,15218,15417,15446,15422,15584,15709,15763,16111,16274,16494,16750,16864,17079,17283,17481,17696,17880,18089,18314,18401,18618,18803,18960,19196,19477,19614,19839,20083,20166,20496,20739,20898,21247,21524,21830,22039,22423,22725,23126,23614,23891,24208,24494,24705,24829,24873,25205,25272,25539,25782,25976,26220,26475,26963,27217,27638,27952,28313,28757,29066,29514,29993,30265,30679,31010,31333,31518,31908,32199,32441,32725,32865,33192,33207,32261,31904,31837,32158,32298,32517,32758,33000,33445,33806,34157,34417,34583,34934,35041,35178,35394,35675,35775,36002,36369,36572,37051,37403,37680,37600,38075,38405
"15","6","    Goods","AGDSRC0",1480,1495,1511,1526,1539,1551,1566,1561,1615,1639,1653,1682,1711,1757,1797,1858,1928,1950,1983,2002,2043,2100,2167,2133,2175,2233,2324,2366,2442,2475,2521,2581,2645,2696,2738,2822,2838,2974,3016,3094,3158,3213,3342,3398,3493,3421,3516,3618,3753,3761,3826,3779,3830,3829,3879,3952,3965,4113,4223,4320,4405,4505,4507,4580,4672,4728,4845,4834,4881,4887,5050,5052,5024,5160,5270,5238,5359,5422,5466,5580,5636,5753,5821,5811,5984,5924,5972,5963,5890,5916,5941,5879,6001,6037,6112,6187,6204,6289,6326,6420,6504,6565,6666,6781,6738,6778,6840,6885,6969,7116,7130,7225,7312,7246,7390,7458,7437,7579,7666,7860,7928,8150,8261,8406,8577,8641,8731,8793,8794,8811,8806,9002,8920,8999,9088,9089,9173,9221,9503,9560,9723,9810,9912,10111,10193,10343,10547,10542,10721,10798,10922,10873,10985,11123,11172,11289,11223,11372,11316,10430,10244,10260,10550,10586,10699,10746,10843,11129,11353,11506,11563,11661,11843,11832,11896,11984,12115,12040,12121,12162,12174,12394,12481,12434,12169,12387,12505
"16","7","      Durable goods","A795RC0",446,447,446,446,439,445,448,424,474,487,497,514,529,544,559,586,624,620,616,603,594,611,637,592,613,634,679,707,751,762,778,801,838,860,879,907,894,973,972,994,996,988,1024,1013,1023,932,988,1033,1074,1049,1094,1026,1065,1075,1084,1134,1151,1237,1289,1358,1407,1446,1445,1492,1548,1567,1660,1603,1633,1694,1850,1826,1729,1811,1894,1846,1926,1934,1917,1977,1974,1997,2041,1980,2070,1996,1970,1912,1870,1878,1907,1874,1941,1954,1990,2025,2038,2109,2135,2194,2245,2276,2309,2387,2341,2356,2407,2435,2458,2512,2515,2545,2597,2556,2644,2688,2683,2790,2839,2975,2948,3065,3114,3123,3274,3198,3224,3230,3261,3228,3235,3478,3398,3407,3481,3402,3363,3472,3582,3586,3635,3659,3693,3741,3765,3859,3865,3744,3874,3844,3870,3888,3903,3933,3940,3930,3797,3748,3614,3322,3305,3274,3400,3343,3367,3440,3467,3549,3583,3567,3597,3673,3759,3761,3794,3845,3910,3904,3902,3911,3906,4012,4054,4072,4060,4130,4163
"17","8","      Nondurable goods","A796RC0",1034,1048,1064,1079,1100,1107,1118,1138,1141,1152,1156,1168,1181,1213,1237,1272,1304,1329,1366,1399,1449,1489,1530,1541,1563,1599,1646,1659,1691,1713,1743,1780,1807,1835,1858,1915,1944,2001,2044,2099,2162,2225,2317,2385,2469,2489,2528,2585,2680,2712,2732,2753,2765,2754,2795,2818,2813,2876,2934,2962,2998,3060,3062,3089,3124,3161,3185,3231,3249,3193,3200,3225,3295,3349,3376,3392,3433,3488,3549,3603,3662,3756,3780,3830,3913,3928,4003,4051,4020,4038,4034,4005,4060,4084,4122,4161,4166,4181,4191,4226,4259,4289,4357,4394,4397,4422,4433,4449,4511,4604,4614,4680,4715,4690,4747,4770,4754,4789,4827,4886,4980,5085,5146,5283,5303,5443,5507,5563,5532,5583,5571,5524,5523,5592,5607,5687,5810,5748,5921,5973,6088,6151,6219,6370,6428,6485,6682,6798,6847,6955,7051,6986,7081,7190,7231,7359,7427,7624,7702,7108,6939,6986,7150,7243,7331,7306,7376,7580,7770,7939,7966,7988,8085,8071,8102,8138,8205,8136,8219,8251,8268,8382,8427,8362,8108,8257,8342
"18","9","    Services","A797RC0",1431,1465,1492,1527,1561,1587,1620,1646,1675,1709,1744,1783,1828,1862,1900,1947,1985,2029,2072,2114,2150,2218,2274,2342,2413,2478,2528,2608,2676,2723,2798,2878,2963,3026,3109,3181,3286,3393,3471,3550,3628,3735,3827,3941,4033,4095,4235,4407,4497,4607,4690,4779,4875,4972,5107,5277,5415,5520,5684,5787,5878,6005,6140,6248,6452,6572,6733,6825,6937,7024,7109,7229,7365,7494,7619,7758,7945,8100,8303,8452,8590,8697,8816,8966,9098,9294,9444,9483,9531,9668,9769,9884,10109,10237,10382,10564,10661,10789,10958,11061,11192,11315,11423,11532,11663,11840,11963,12075,12227,12361,12484,12613,12771,12920,13106,13281,13461,13668,13858,13969,14111,14273,14464,14720,15037,15250,15477,15700,15911,16018,16067,16203,16351,16541,16694,16887,17047,17255,17460,17658,17915,18141,18401,18646,18873,19170,19446,19723,19958,20212,20412,20644,20923,21076,21270,21436,21642,21821,21891,21832,21661,21577,21608,21712,21818,22012,22157,22316,22454,22651,22855,22923,23091,23209,23282,23410,23560,23736,23882,24207,24398,24657,24922,25246,25432,25688,25901
"19",NA,"Chained (2009) dollars:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","10","  Gross domestic product","A939RX0",23231,23252,23332,23162,23064,23033,23159,22841,23381,23447,23557,23554,23919,24415,24576,24918,25477,25708,25505,25680,25415,25427,25117,24952,24601,24731,25065,25338,25854,25994,26059,26186,26429,26883,27282,27207,27238,28225,28418,28715,28699,28659,28778,28763,28775,28113,27987,28428,28957,28681,28931,28519,27982,28073,27900,27859,28167,28750,29241,29774,30307,30777,31005,31176,31428,31649,32058,32218,32453,32533,32779,32870,33036,33336,33556,34025,34148,34528,34637,35008,35291,35488,35654,35633,35941,35968,35850,35419,35145,35305,35348,35381,35694,35968,36184,36420,36381,36486,36539,36909,37171,37569,37669,37980,38008,38033,38235,38389,38544,39106,39340,39629,39825,40311,40689,40877,41176,41461,41873,42432,42663,42897,43299,43919,43935,44654,44586,44721,44492,44623,44366,44376,44687,44834,44938,44857,44996,45312,45957,46384,46560,46799,47107,47396,47800,47947,48228,48381,48856,48891,48809,49065,48987,49251,49455,49506,49060,49196,48841,47697,46941,46781,46826,47170,47280,47649,47872,48074,47805,48069,48072,48516,48756,48901,48860,48772,48922,48974,49236,49601,49405,49874,50298,50457,50456,50857,51006
"21","11","  Gross national product","A791RX0",23423,23438,23511,23340,23246,23219,23342,23011,23577,23651,23745,23749,24121,24615,24790,25131,25717,25962,25794,25971,25749,25745,25408,25206,24818,24949,25299,25610,26120,26269,26336,26467,26745,27194,27590,27483,27552,28493,28707,29042,29032,29027,29210,29191,29209,28515,28366,28742,29290,28995,29262,28886,28330,28458,28231,28178,28482,29084,29581,30125,30635,31106,31330,31469,31663,31894,32265,32445,32655,32685,32947,32992,33170,33494,33709,34191,34348,34711,34801,35186,35464,35654,35835,35851,36148,36184,36034,35735,35390,35485,35506,35583,35893,36162,36361,36603,36603,36672,36754,37041,37338,37712,37802,38107,38180,38216,38348,38558,38746,39267,39484,39799,39954,40475,40817,40972,41312,41584,41935,42505,42776,43033,43422,44085,44083,44815,44727,44967,44677,44845,44491,44764,44912,44981,45142,45128,45209,45580,46223,46752,46996,47134,47480,47669,48196,48299,48612,48657,49137,49152,49021,49313,49235,49572,49969,50172,49670,49811,49506,48098,47363,47189,47409,47724,47880,48253,48456,48700,48465,48728,48802,49292,49463,49544,49517,49406,49523,49649,49955,50332,50103,50562,51025,51164,51061,51468,51538
"22","12","  Disposable personal income","A229RX0",15830,15968,16260,16339,16459,16601,16803,16703,16986,17184,17222,17369,17407,17543,17835,18493,18585,18691,18726,18885,18536,18324,18295,18225,18158,18956,18625,18719,18898,18956,19047,19109,19059,19250,19490,19810,19904,20050,20135,20235,20398,20169,20204,20230,20241,19892,20074,20413,20316,20266,20624,20611,20592,20665,20723,20765,20901,21006,21270,21678,22078,22400,22652,22783,22687,23075,22938,23144,23386,23647,23755,23741,23890,23609,23978,24239,24543,24744,24917,25095,25354,25222,25325,25459,25615,25688,25607,25315,25290,25384,25386,25516,25987,26171,26189,26188,26258,26224,26150,26238,26351,26552,26624,26912,27096,27080,27235,27308,27501,27685,27815,27871,28077,28236,28477,28796,29334,29662,29871,30023,30216,30208,30314,30668,31192,31438,31719,31742,31940,31836,32504,32020,32728,32821,32696,32773,32796,33197,33657,33713,33893,34152,34247,34589,34183,34380,34469,34666,35380,35354,35363,35734,35889,35878,35880,35819,35998,36677,35747,35892,35752,35932,35456,35328,35293,35686,35790,35965,36342,36222,36340,36289,36821,37041,36948,37841,36180,36356,36481,36460,36755,36962,37134,37484,37785,37967,38248
