"","Table 5#4#3# Real Private Fixed Investment in Structures by Type","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Index numbers, 2009=100]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2015   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/4/2015 6:38:58 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","    Private fixed investment in structures","A349RA3",25.603,19.285,13.782,8.151,6.483,7.754,9.486,12.147,14.287,12.759,15.739,17.743,19.701,11.066,7.462,8.235,10.421,27.824,30.517,34.747,32.718,40.982,37.592,37.154,39.295,41.82,47.072,46.584,45.004,44.118,50.816,50.286,50.701,54.489,58.465,62.99,66.036,64.955,63.254,68.027,70.782
"9","2","Nonresidential","B009RA3",32.65,27.941,17.982,11.012,8.542,9.632,10.686,14.028,17.789,14.233,15.02,17.051,20.251,12.516,9.096,11.911,16.06,31.723,28.853,30.362,29.354,31.454,33.861,33.729,36.725,37.984,40.707,44.98,44.956,42.504,43.522,46.98,47.623,49.798,50.375,55.613,64.482,68.894,67.161,68.102,71.777
"10","3","  Commercial and health care","W001RA3",25.339,20.904,12.604,7.517,4.42,5.12,6.254,8.208,9.94,7.511,7.641,8.876,9.85,3.513,0.777,1.408,4.001,17.707,11.582,14.853,13.838,17.706,17.03,13.274,18.182,22.589,29.451,33.342,31.608,33.279,36.104,38.431,43.844,48.86,47.314,51.433,60.292,58.86,56.6,61.948,71.473
