"","Table 3#19# Relation of State and Local Government Current Recei","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1959 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published November 04, 2015 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/4/2015 6:35:34 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8",NA,"      Current receipts"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","Census total revenue","L319011",54,60.3,64.5,69.5,75.3,81.5,88.1,97.6,106.6,117.6,132.2
"10","2","Less: Coverage differences","L319021",6.1,7.1,7.4,8.1,9.2,9.9,10.6,11.4,11.9,12.2,14.3
"11","3","  State and local employee retirement plan transactions \1\","L319031",1.9,2.1,2.3,2.6,2.8,3.1,3.4,3.7,4.3,4.9,5.7
"12","4","    Contributions to defined-benefit pension plans \2\","L319041",1.4,1.5,1.6,1.7,1.9,2,2.2,2.4,2.7,3.1,3.5
"13","5","    Interest received \3\","L319051",0.5,0.6,0.7,0.8,1,1.1,1.2,1.4,1.6,1.7,2
"14","6","    Dividends received \3\","L319061",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1
"15","7","    Capital gains net of losses \4\","L319071",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","8","  Unemployment insurance fund contributions and earnings \5\","L319081",1.8,2.3,2.5,2.8,3.2,3.3,3.2,3.3,3.3,3,3
"17","9","  Certain grant programs \6\","L319091",-0.1,-0.2,-0.1,-0.1,-0.1,-0.3,-0.4,-0.1,0,-0.9,-0.7
"18","10","  Capital transfers received \7\","L319101",2.7,3,2.8,3,3.3,4,4.5,4.5,4.5,5.5,6.6
"19","11","  Financial transactions \4\","L319111",0,0,0,0,0,0.1,0,0,0.1,0.1,0.1
"20","12","  Sale of land","L319121",0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.2,0.3,0.3
"21","13","  Certain dividends","W720RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","14","  Current surplus of Indian tribal government enterprises","W721RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","15","  Imputed interest received and net insurance settlements","W722RC1",-0.4,-0.3,-0.4,-0.4,-0.4,-0.4,-0.5,-0.5,-0.5,-0.6,-0.6
"24","16","Less: Netting and grossing differences","L319141",8.6,9.4,10.1,11,12,13.1,14.3,15.8,17.4,19.3,21.5
"25","17","  Current expenditures of government enterprises \8\","W723RC1",5,5.4,5.8,6.1,6.5,7.1,7.6,8.1,8.7,9.6,10.5
"26","18","  Government sales included in Census total revenue \9\","L319161",3.3,3.7,4,4.6,5.2,5.7,6.5,7.4,8.3,9.4,10.5
"27","19","  Insurance claims included in Census total revenue","W724RC1",0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4
"28","20","  Employer contributions to own social insurance funds","L319381",0,0,0,0,0,0,0,0,0,0,0
"29","21","Less: Statistical differences, revenue \10\","LA0000311",0,0,0,0,0,0,0,0,0,0,0
"30","22","Plus: Timing and other differences \11\","L319191",-0.4,-1.3,-1.3,-0.7,-0.7,-0.2,-0.4,-0.2,-0.6,1.9,0.9
"31","23","  Corporate profits taxes timing differences","L319201",0.1,0,-0.1,0.1,0.1,0.1,0,0.1,0.2,0.1,0.2
"32","24","  Other timing differences and other","L319211",-0.5,-1.4,-1.2,-0.9,-0.8,-0.3,-0.4,-0.3,-0.8,1.7,0.7
"33","25","Equals: State and local government current receipts, NIPAs","L319221",38.9,42.5,45.8,49.6,53.3,58.2,62.7,70.3,76.7,87.9,97.2
"34",NA,"      Current expenditures"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","26","Census total expenditures","L319231",58.6,61,67,70.5,75.8,80.6,87,94.9,106,116.2,131.6
"36","27","Less: Coverage differences","L319241",12.1,10.7,12.2,12.1,12.6,13.4,14.1,14.4,15.4,16,16.4
"37","28","  State and local employee retirement plan transactions \1\","L319251",-2,-2,-2.4,-2.4,-2.4,-2.6,-2.5,-3.1,-3.2,-3.6,-4.6
"38","29","    Contributions from general government employers to own defined-benefit pension plans","L319261",-2.3,-2.4,-2.8,-2.9,-2.9,-3.3,-3.6,-4,-4.3,-4.9,-5.9
"39","30","    Benefits paid","L319271",1.1,1.3,1.4,1.6,1.7,1.8,2.3,2.2,2.6,2.8,3.2
"40","31","    Administrative expenses","L319281",0,0,0,0,0,0.1,0,0.1,0.1,0.1,0.1
"41","32","    Imputed interest for unfunded actuarial liability","Y396RC1",-0.8,-0.9,-1,-1.1,-1.1,-1.2,-1.3,-1.4,-1.5,-1.7,-2
"42","33","  Unemployment insurance fund benefits paid \5\","L319291",3.3,2.4,3.5,2.8,2.8,2.6,2.3,1.9,1.9,2.1,2
"43","34","  Net investment \12\","L319301",10.2,9.8,10.5,10.8,11.2,12.2,13.2,14.3,15.7,16.4,18
