"","Table 3#20# State Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published November 04, 2015 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/21/2015 2:47:37 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"8","1","    Current receipts","W730RC1",61.6,69.1,78.2,95,103.1,112.1,125.8,141.7,158.1,177.2,194.8,216,236.4,244.7,269.3,303.7,328.6,354,375,403.1,435.2,469.2,504.1,551.4,584.8,621.6,653.2,686.2,719.6,764.1,812.5,867.7,904.5,917.8,970.5,1048.7,1136.5,1194.5,1248.3,1264.6,1267.6,1336.8,1359.6,1374.2,1437,1513.8
"9","2","Current tax receipts","W731RC1",44,48.1,53.8,63.5,70.2,75.9,81.9,93.8,105.1,117.4,128.9,140.9,155.6,162.3,180.5,205.4,220.9,234,253.7,269.4,288.4,305.6,314.2,338.8,357.1,380.4,401.5,425.9,449.1,480.7,507.9,540.1,546.8,533.7,558.8,606.4,676.3,728.1,759.7,763.6,688.2,720,770.3,805.3,855.5,881.2
"10","3","  Personal current taxes","W732RC1",10.8,12,13.4,17.9,19.8,21.1,23.2,27,30.9,35.6,38.9,43.7,48.5,52.3,58.9,68.2,73.2,78.3,87.5,90.4,102.4,109.6,111.8,120.6,126.3,132.1,140.9,150.9,162.7,180.4,192.6,213.5,220.1,199.1,202.4,220.3,246.5,271,288.9,299.8,256.6,264.7,290.3,310.8,335.4,345.2
"11","4","    Income taxes","W733RC1",8.6,9.6,11,15.2,16.8,18,19.9,23.4,27.2,31.6,34.6,39.1,43.6,47,53.2,61.9,66.1,70.7,79.1,81.5,92.9,99.6,101.4,109,114.9,120.2,128.4,138.6,149.7,166.8,178.4,199.2,205.7,184.3,186.4,203.4,229,252.5,269.8,280.9,236.3,242.2,267.4,287.1,311.4,320.9
