"","Table 5#9#4B# Price Indexes for Gross Government Fixed Investmen","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21"
"1","[Index numbers, 2009=100]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2015   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/21/2015 2:57:27 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"8","1","      Gross government fixed investment \1\","A782RG3",74.022,74.621,75.989,77.963,78.969,79.683,80.718,83.291,87.557,91.27,95.713,99.009,100,100.82,103.362,105.634,107.006,108.883
"9","2","        Federal","B787RG3",87.72,87.811,89.082,90.618,90.597,90.381,91.333,92.809,94.686,96.176,97.848,99.974,100,101.532,103.716,104.776,105.466,106.735
"10","3","          National defense","B788RG3",88.34,88.443,90.016,91.205,90.666,90.233,91.247,92.682,94.51,96.054,97.757,99.967,100,101.16,103.557,104.623,105.081,106.079
"11","4","          Nondefense","B798RG3",87.063,87.141,88.077,89.995,90.563,90.603,91.478,93.01,94.956,96.37,97.992,99.986,100,102.111,103.983,105.033,106.036,107.661
"12","5","        State and local","B799RG3",65.278,66.162,67.565,69.736,71.252,72.447,73.515,76.73,82.526,87.741,94.116,98.267,100,100.242,103.091,106.422,108.386,110.778
"13","6","Structures \2\","A760RG3",55.61,57.353,59.505,62.148,64.302,66.078,67.654,71.54,78.586,85.21,93.012,98.009,100,100.29,103.74,107.615,110.077,112.927
"14","7","  Federal","B801RG3",59.625,61.401,63.698,66.314,68.847,70.454,72.451,76.439,83.735,90.915,96.65,100.799,100,99.415,102.296,105.373,108.081,111.405
"15","8","    National defense","B808RG3",59.053,60.699,63.134,65.878,68.537,70.321,72.537,76.678,83.894,91.558,97.599,101.538,100,99.505,102.491,105.508,109.005,113.314
"16","9","      New","B814RG3",59.053,60.699,63.134,65.878,68.537,70.32,72.536,76.677,83.893,91.556,97.599,101.538,100,99.505,102.491,105.508,109.005,113.314
"17","10","        Residential","B816RG3",67.19,68.881,72.012,75.402,79.156,81.321,85.788,93.095,100.124,106.745,107.676,104.191,100,98.764,99.408,100.214,105.488,113.611
"18","11","        Industrial","B817RG3",59.242,61.603,64.003,66.893,68.97,71.072,73.05,77.703,84.6,92.017,98.595,102.291,100,97.557,99.519,102.004,106.105,110.62
"19","12","        Military facilities \3\","B818RG3",57.768,59.372,61.661,64.27,66.742,68.414,70.153,73.587,80.929,88.905,95.952,101.188,100,99.673,102.999,106.383,109.52,113.227
