"","Table 6#11C# Employer Contributions for Employee Pension and Ins","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2015   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/21/2015 3:01:22 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
"8","1","      Employer contributions for employee pension and insurance funds","B040RC0",301783,325625,365842,395020,422388,477193,501652,519401,520507,530836,548256,588970,628964,685496
"9",NA,"         By industry"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2","Domestic industries","B040RC0",301783,325625,365842,395020,422388,477193,501652,519401,520507,530836,548256,588970,628964,685496
"11","3","  Private industries","B4903C0",208178,224621,250820,269587,286090,321916,341527,352909,350537,357208,367763,399418,421120,462679
"12","4","    Agriculture, forestry, and fishing","B4904C0",1251,1504,1892,2407,2537,2656,2871,2664,2435,2128,1961,1822,2875,2337
"13","5","    Mining","B4905C0",3829,3148,3430,3650,3743,3865,3974,4062,3825,3946,4188,4139,4080,4131
"14","6","    Construction","B4906C0",15326,17082,19221,20766,19459,21691,22474,23188,22069,22028,22578,23208,24426,28767
"15","7","    Manufacturing","B4907C0",74467,80270,87719,89165,94611,105092,111081,111324,104020,99246,97227,97583,107148,112551
"16","8","      Durable goods","B4908C0",48520,53592,57162,56835,59912,67564,72015,71823,66450,62869,61453,61907,68619,74130
"17","9","      Nondurable goods","B4909C0",25948,26679,30558,32331,34699,37528,39066,39502,37571,36377,35774,35676,38529,38421
"18","10","    Transportation and public utilities","B4910C0",25416,25116,27147,28447,30029,34310,35505,36540,35572,36930,35950,38501,44376,46481
"19","11","      Transportation","B4911C0",14703,14525,16084,17257,17879,20706,21070,21981,21337,23242,22540,24093,25020,27448
"20","12","      Communications","B4912C0",5363,5731,5923,5231,5757,6169,6537,7129,7320,7016,7250,8460,9661,9138
"21","13","      Electric, gas, and sanitary services","B4913C0",5350,4860,5141,5959,6393,7435,7898,7430,6916,6672,6160,5948,9695,9895
"22","14","    Wholesale trade","B4914C0",13178,14666,16717,18273,19591,21837,23411,25727,26393,28628,30210,34638,29766,31610
"23","15","    Retail trade","B4915C0",18349,19378,20616,22153,23970,26814,27241,30287,31658,33083,35660,40881,40342,40981
"24","16","    Finance, insurance, and real estate","B4916C0",15570,18274,20551,22988,24836,28622,31179,32607,33632,34066,36489,42405,44003,47168
"25","17","    Services","B4917C0",40791,45183,53527,61739,67315,77028,83792,86510,90933,97151,103499,116240,124103,148651
"26","18","  Government","B4918C0",93605,101004,115022,125433,136298,155277,160125,166493,169970,173628,180493,189555,207846,222817
"27","19","Rest of the world","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",NA,"        By type"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","20","Employer contributions for employee pension and insurance funds","B040RC0",301783,325625,365842,395020,422388,477193,501652,519401,520507,530836,548256,588970,628964,685496
"30","21","  Pension plans \1\","B4934C0",139846,143501,164769,170986,179377,203497,208466,214672,220324,230517,245220,263501,276458,293101
"31","22","    Private pension plans","B4921C0",74287,74389,85739,87603,90137,101396,106688,109196,110959,117602,126493,138159,143775,150910
"32","23","      Defined benefit","Y696RC0",NA,36012,42867,44183,45281,55616,57097,58525,57944,60693,63400,68495,71545,72459
"33","24","      Defined contribution","W351RC0",NA,38377,42872,43420,44856,45780,49591,50671,53015,56909,63093,69664,72230,78451
"34","25","    Government employee pension plans","B4935C0",65559,69112,79030,83383,89240,102101,101778,105476,109365,112915,118727,125342,132683,142191
"35","26","      Federal","Y392RC0",33718,34821,35501,35284,36811,36028,32163,31840,30916,30094,30242,30575,31486,32665
"36","27","      State and local","Y239RC0",31841,34291,43529,48099,52429,66073,69615,73636,78449,82821,88485,94767,101197,109526
"37","28","  Private insurance funds","B4936C0",161936,182124,201073,224034,243011,273696,293186,304730,300184,300318,303036,325471,352508,392395
"38","29","    Group insurance","B4922C0",132209,148487,165232,184095,199802,223672,242855,255089,252313,255444,259434,280232,306409,341562
"39","30","      Group health insurance","B4923C0",126087,142039,158580,176858,192826,215723,234286,245971,242831,245447,248661,268790,294846,329199
"40","31","      Group life insurance","B4924C0",6122,6448,6652,7237,6976,7949,8569,9118,9482,9997,10773,11442,11563,12363
"41","32","    Workers' compensation","B4925C0",27192,30735,32981,36751,39798,46268,46985,46991,45269,42329,41377,43335,44516,49570
"42","33","    Supplemental unemployment","B4926C0",2536,2902,2860,3188,3412,3756,3346,2650,2602,2545,2225,1905,1584,1264
"43","34","  Publicly administered government employee insurance funds","Y390RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
