"","Table 3#21# Local Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1959 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published November 04, 2015 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/4/2015 6:35:42 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","    Current receipts","W830RC1",27,30,32.9,35.6,38.7,42.3,46.1,50.5,56.5,62.6,70.1
"9","2","Current tax receipts","W831RC1",17.1,18.8,20.3,21.8,23.4,25.3,27,28.5,31.3,34.8,38.4
"10","3","  Personal current taxes","W832RC1",0.8,0.8,0.9,1,1.1,1.2,1.2,1.4,1.6,1.7,2
"11","4","    Income taxes","W833RC1",0.2,0.3,0.3,0.3,0.4,0.5,0.5,0.6,0.8,0.9,1.1
"12","5","    Other","W834RC1",0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.7,0.8,0.8,0.9
"13","6","  Taxes on production and imports","W8735C1",16.4,18,19.4,20.8,22.3,24.1,25.7,27.1,29.5,32.8,36.1
"14","7","    Sales taxes","W836RC1",1.2,1.3,1.4,1.5,1.6,1.9,2.1,2,1.9,2.3,2.9
"15","8","    Property taxes","W837RC1",14.3,15.7,17,18.4,19.7,21.1,22.5,23.8,26.2,29.1,31.9
"16","9","    Other","W838RC1",0.9,0.9,1,1,1,1.1,1.1,1.3,1.3,1.4,1.4
"17","10","  Taxes on corporate income","W839RC1",0,0,0,0,0,0,0,0,0.2,0.3,0.3
"18","11","Contributions for government social insurance","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","12","Income receipts on assets","W841RC1",0.7,0.8,0.9,1,1,1.3,1.4,1.7,2,1.7,2.2
"20","13","  Interest receipts","W842RC1",0.5,0.7,0.7,0.8,0.9,1.1,1.2,1.4,1.6,1.4,1.8
"21","14","  Dividends","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","15","  Rents and royalties","W844RC1",0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4
"23","16","Current transfer receipts","W845RC1",8.4,9.6,10.8,11.9,13.1,14.6,16.6,19.3,22.4,25.2,28.8
"24","17","  Federal grants-in-aid","W846RC1",0.4,0.5,0.6,0.6,0.8,1.1,1.1,1.2,1.5,1.1,1.3
"25","18","  State government grants-in-aid","W847RC1",7.8,8.8,9.8,10.8,11.9,13,15,17.4,19.9,23,26.4
"26","19","  From business (net)","W848RC1",0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.2,0.4,0.4,0.4
"27","20","  From persons","W849RC1",0.1,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.6,0.7,0.7
"28","21","  From the rest of the world","LA0000221",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","22","Current surplus of government enterprises","W850RC1",0.7,0.8,0.9,0.9,1.1,1.1,1.1,1,0.9,0.8,0.7
"30","23","    Current expenditures","W851RC1",25.5,27.9,30.7,32.3,34.7,37.9,41.6,46.1,50.6,57.5,64.9
"31","24","Consumption expenditures","W852RC1",23,25.2,27.7,29.1,31.3,34.2,37.6,41.7,45.6,51.5,58.1
"32","25","Current transfer payments","W853RC1",1,1,1.2,1.2,1.2,1.3,1.5,1.7,2,2.6,3.2
"33","26","  Government social benefit payments to persons","W854RC1",0.7,0.8,0.9,0.9,1,1,1.1,1.3,1.6,2,2.4
"34","27","  Grants-in-aid to state governments","W855RC1",0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.8
"35","28","  Current transfer payments to the rest of the world","LA0000211",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","29","Interest payments","W856RC1",1.5,1.7,1.8,1.9,2.1,2.3,2.5,2.7,2.9,3.3,3.6
"37","30","  To persons and business \1\","Y709RC1",1.5,1.7,1.8,1.9,2.1,2.3,2.5,2.7,2.9,3.3,3.6
"38","31","  To the rest of the world","Y710RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","32","Subsidies","W857RC1",0,0,0,0,0,0,0,0,0,0,0
"40","33","    Net local government saving","W859RC1",1.5,2.2,2.2,3.3,4,4.4,4.5,4.4,5.9,5.1,5.3
"41","34","Social insurance funds","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","35","Other","W859RC1",1.5,2.2,2.2,3.3,4,4.4,4.5,4.4,5.9,5.1,5.3
"43",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","36","  Total receipts","W862RC1",28.1,31.2,34.2,36.9,40.1,43.8,47.7,52.3,58.5,65.4,73.3
"45","37","    Current receipts","W830RC1",27,30,32.9,35.6,38.7,42.3,46.1,50.5,56.5,62.6,70.1
