"","Table 6#8D# Persons Engaged in Production by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"1","[Thousands]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2015   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/21/2015 3:00:57 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"8","1","      Persons engaged in production \1\","A4601C0",128099,130449,133221,133332,131937,131774,133035,135293,137691,138920,137541,131030,129453,130709,133077,135042,139329
"9","2","Domestic industries","A4602C0",128500,130890,133617,133873,132486,132366,133663,135958,138377,139645,138641,131832,130275,131535,134056,136069,140397
"10","3","  Private industries","A4603C0",109799,112046,114516,114442,112682,112444,113747,116025,118369,119366,118090,111203,109755,111300,114053,116161,120272
"11","4","    Agriculture, forestry, fishing, and hunting","N4604C0",2180,2183,2166,2093,2098,2072,2030,1992,2022,1953,1945,1907,1923,1962,1919,1958,1949
"12","5","      Farms \2\","N4605C0",1622,1643,1631,1629,1654,1611,1553,1524,1450,1403,1394,1383,1383,1416,1366,1382,1367
"13","6","      Forestry, fishing, and related activities","N4606C0",558,540,535,464,444,461,476,468,572,550,551,524,540,546,553,576,581
"14","7","    Mining","N4607C0",568,529,520,547,514,501,525,560,616,667,724,648,662,734,800,811,758
"15","8","      Oil and gas extraction","N4608C0",140,129,125,127,123,120,123,127,133,145,160,161,161,169,188,195,178
"16","9","      Mining, except oil and gas","N4609C0",241,231,218,219,209,198,205,210,218,221,227,208,207,214,216,207,183
"17","10","      Support activities for mining","N4610C0",187,170,176,201,181,183,198,223,264,301,336,280,294,350,395,409,398
"18","11","    Utilities","N4611C0",598,594,592,592,580,559,553,542,543,545,554,556,546,545,544,540,543
"19","12","    Construction","N4612C0",7773,8094,8397,8512,8366,8480,8888,9183,9561,9521,9004,7657,7122,6992,7030,7295,7843
"20","13","    Manufacturing","N4613C0",17574,17372,17272,16476,15291,14541,14340,14275,14228,13952,13449,11849,11531,11727,11968,12020,12207
"21","14","      Durable goods","N4614C0",10992,10895,10921,10400,9528,9013,8975,9027,9047,8871,8525,7302,7094,7305,7531,7578,7710
"22","15","        Wood products","N4615C0",623,640,629,594,573,546,562,574,565,534,473,372,358,350,353,363,374
"23","16","        Nonmetallic mineral products","N4616C0",548,554,565,551,526,502,504,510,522,510,469,391,371,374,381,380,391
"24","17","        Primary metals","N4617C0",638,619,613,562,502,485,479,464,462,448,437,356,356,384,400,396,395
"25","18","        Fabricated metal products","N4618C0",1750,1743,1761,1673,1547,1465,1477,1529,1560,1559,1523,1309,1283,1338,1406,1430,1465
"26","19","        Machinery","N4619C0",1494,1452,1443,1358,1218,1143,1134,1155,1173,1184,1181,1008,988,1050,1098,1097,1108
"27","20","        Computer and electronic products","N4620C0",1812,1737,1784,1735,1483,1341,1309,1296,1294,1264,1238,1125,1089,1098,1088,1053,1038
"28","21","        Electrical equipment, appliances, and components","N4621C0",601,591,597,558,495,456,439,431,428,424,418,366,353,359,368,369,375
"29","22","        Motor vehicles, bodies and trailers, and parts","N4622C0",1269,1311,1312,1214,1157,1116,1112,1099,1069,993,883,674,681,726,782,824,872
"30","23","        Other transportation equipment","N4623C0",804,779,743,726,679,647,652,675,693,713,727,673,649,658,678,683,679
"31","24","        Furniture and related products","N4624C0",670,691,700,672,627,603,600,592,581,553,501,407,369,369,365,376,395
"32","25","        Miscellaneous manufacturing","N4625C0",782,776,774,757,722,708,707,702,701,690,675,619,599,599,611,606,620
"33","26","      Nondurable goods","N4626C0",6582,6477,6351,6076,5763,5528,5364,5248,5181,5081,4924,4547,4436,4422,4437,4442,4496
"34","27","        Food and beverage and tobacco products","N4627C0",1747,1762,1753,1743,1716,1689,1673,1648,1651,1648,1645,1615,1588,1610,1631,1640,1666
"35","28","        Textile mills and textile product mills","N4628C0",657,624,603,531,492,453,418,386,362,350,322,266,251,243,250,240,244
"36","29","        Apparel and leather and allied products","N4629C0",724,639,565,499,426,371,334,311,294,270,242,217,200,194,189,187,175
"37","30","        Paper products","N4630C0",624,610,599,566,533,504,486,471,461,447,430,395,384,379,371,368,359
"38","31","        Printing and related support activities","N4631C0",809,802,793,789,728,697,678,658,648,646,605,533,505,480,466,462,468
"39","32","        Petroleum and coal products","N4632C0",122,124,121,118,117,113,109,110,111,114,116,113,109,111,111,110,108
"40","33","        Chemical products","N4633C0",980,977,973,948,912,891,874,871,865,853,843,787,783,781,784,790,809
"41","34","        Plastics and rubber products","N4634C0",918,939,943,882,839,810,793,791,789,752,721,620,617,624,636,646,669
"42","35","    Wholesale trade","N4635C0",5564,5679,5782,5757,5630,5641,5674,5826,5940,6022,5987,5581,5457,5518,5606,5697,5917
"43","36","      Durable goods","N4636C0",3291,3367,3441,3410,3277,3266,3292,3392,3474,3520,3492,3199,3104,3159,3230,3277,3400
"44","37","      Nondurable goods","N4637C0",2274,2311,2341,2347,2353,2375,2383,2434,2466,2501,2495,2382,2353,2359,2376,2420,2517
"45","38","    Retail trade","N4638C0",13295,13627,13999,14401,14213,14167,14203,14505,14532,14657,14348,13500,13262,13424,13600,13735,15655
"46","39","      Motor vehicle and parts dealers","N4639C0",1567,1612,1665,1732,1737,1752,1771,1793,1781,1774,1698,1502,1465,1514,1567,1610,1868
"47","40","      Food and beverage stores","N4640C0",2606,2645,2668,2729,2677,2615,2568,2584,2583,2614,2630,2553,2504,2511,2566,2604,3000
"48","41","      General merchandise stores","N4641C0",2240,2291,2377,2482,2463,2463,2498,2589,2607,2661,2675,2602,2564,2653,2673,2660,3036
"49","42","      Other retail \3\","N4642C0",6882,7079,7288,7458,7336,7336,7367,7539,7561,7608,7345,6843,6729,6745,6794,6861,7751
"50","43","    Transportation and warehousing","N4643C0",4402,4477,4563,4569,4430,4378,4497,4636,4705,4748,4720,4414,4297,4405,4545,4577,4367
"51","44","      Air transportation","N4644C0",532,554,577,588,537,505,491,481,462,469,473,439,427,435,441,427,389
"52","45","      Rail transportation","N4645C0",212,207,198,192,186,182,182,190,193,192,190,179,176,186,191,189,177
"53","46","      Water transportation","N4646C0",50,50,50,52,52,53,54,59,59,62,65,63,61,62,63,64,61
"54","47","      Truck transportation","N4647C0",1560,1584,1611,1583,1560,1532,1605,1651,1684,1686,1608,1473,1398,1448,1510,1516,1460
"55","48","      Transit and ground passenger transportation","N4648C0",413,422,419,424,427,427,432,455,464,468,478,483,481,494,493,487,473
"56","49","      Pipeline transportation","N4649C0",48,45,44,43,41,39,36,36,38,40,39,39,40,40,45,42,41
"57","50","      Other transportation and support activities \4\","N4650C0",1126,1142,1173,1191,1125,1124,1149,1181,1193,1198,1226,1134,1114,1130,1159,1176,1127
"58","51","      Warehousing and storage","N4651C0",461,473,492,496,503,516,548,583,611,633,641,606,600,612,644,676,639
"59","52","    Information","N4652C0",3171,3320,3545,3536,3297,3124,3031,2985,2980,2988,2929,2775,2652,2650,2652,2658,2687
"60","53","      Publishing industries (includes software)","N4653C0",989,1015,1060,1015,955,907,890,894,903,929,894,820,777,790,796,783,810
"61","54","      Motion picture and sound recording industries","N4654C0",370,378,368,390,386,390,378,367,365,372,389,384,385,385,390,398,440
"62","55","      Broadcasting and telecommunications","N4655C0",1407,1477,1582,1631,1512,1402,1352,1317,1295,1360,1326,1272,1194,1168,1139,1137,1082
"63","56","      Information and data processing services","N4656C0",406,450,534,500,444,426,410,406,416,327,321,299,296,308,326,341,355
"64","57","    Finance and insurance","N4657C0",5639,5722,5720,5881,5872,5987,6047,6139,6293,6281,6134,5837,5758,5806,5900,5937,5990
"65","58","      Federal Reserve banks, credit intermediation, and related activities","N4658C0",2442,2481,2441,2562,2627,2722,2776,2849,2892,2849,2704,2562,2504,2510,2554,2580,2533
"66","59","      Securities, commodity contracts, and investments","N4659C0",889,918,975,974,916,910,921,943,984,1033,1046,968,947,915,911,911,937
"67","60","      Insurance carriers and related activities","N4660C0",2291,2307,2288,2328,2314,2339,2334,2330,2401,2390,2376,2300,2301,2378,2433,2442,2514
