"","Table 3#10#3# Real Government Consumption Expenditures and Gener","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"1","[Index numbers, 2009=100]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 22, 2015 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/21/2015 2:41:31 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"8","1","      Government consumption expenditures \1\","A955RA3",50.027,49.729,49.792,49.988,49.581,50.678,51.95,51.989,52.915,53.903,54.362,55.223,56.122,57.469,59.237,60.149,63.113,66.055,67.371,68.76,70.906,72.861,74.162,74.665,74.601,75.014,75.237,75.595,76.975,78.441,80.594,81.834,84.729,88.006,89.589,90.976,91.704,92.714,94.008,96.389,100,100.115,97.458,96.601,94.196,93.77
"9","2","        Gross output of general government","W101RA3",47.954,47.799,48.08,48.66,48.475,49.498,50.527,50.673,51.657,52.806,53.544,54.367,55.27,56.56,58.309,59.239,62.115,64.985,66.338,67.754,69.865,71.77,73.171,73.897,74.166,74.914,75.273,75.767,77.19,78.815,80.857,82.584,85.759,88.834,90.28,91.575,92.423,93.585,94.756,96.77,100,100.349,98.231,97.289,95.187,94.85
"10","3","          Value added","W102RA3",59.859,60.158,60.297,60.27,60.601,61.839,62.812,63.393,64.098,65.367,66.157,67.19,67.701,68.545,69.173,70.232,72.416,74.426,76.295,78.469,80.426,82.465,83.327,83.701,83.917,84.013,84.152,84.338,84.974,85.919,86.694,88.114,89.702,91.396,92.533,93.196,94.05,94.833,96.175,98.182,100,100.622,100.211,99.83,99.079,99.171
