"","Table 2BU# Real Manufacturing and Trade Sales, Seasonally Adjust","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144"
"11","3","A   Durable goods manufacturing industries","KP30D0",164963,169303,170041,173891,171201,175385,180701,175806,178542,177798,180303,181038,177807,185714,185861,183699,182725,179460,177674,182490,185680,188965,190052,190612,190410,193485,191592,193220,194403,192811,194007,196698,194023,194748,195834,196142,203272,194431,198176,201388,198829,200799,197585,195428,199253,195028,192785,193656,185591,191354,189776,181802,186500,183702,182148,180592,174679,176463,177244,178898,180384,178802,176283,182647,181946,178357,183764,181213,180323,182170,179709,175404,178553,178812,176855,176342,176455,176754,180485,175381,181143,181662,180988,181155,179151,180061,185940,182916,180219,181973,182292,183989,184226,183437,184902,187256,188851,187344,187866,188701,189086,190115,187877,191526,194651,196277,196968,201661,198320,200695,199591,195742,198698,198167,193234,196448,192847,193072,192823,195923,191377,192035,192532,195052,194803,191878,197244,194470,191200,192516,191676,189665,194393,189563,186518,188431,184476,184217,187356,178465,178437
"12","4","A     Wood product manufacturing","KP3210",7182,6988,7074,7175,7075,7220,7504,7273,7485,7335,7503,7430,7674,7745,7724,7562,7514,7732,7643,7475,7389,7669,7839,7945,7693,8047,7844,8080,8038,7675,7849,7663,7695,7821,7922,8035,8308,8067,8576,7875,7975,7684,7531,7601,7659,7613,7369,7436,7228,7351,7225,7363,7548,7386,7413,7476,7496,7457,7372,7400,7469,7478,7460,7534,7586,7478,7548,7413,7340,7418,7692,7550,7550,7185,7364,7353,7224,7453,7394,7547,7436,7551,7610,7335,7349,7058,7388,7618,7606,7412,7611,7884,7505,7386,7651,7989,7755,7811,7855,7902,7984,7875,8071,8155,8204,8460,8772,8806,8921,8981,8715,8232,8166,8292,7993,8110,7955,7823,7822,8633,7672,7411,7614,7715,7918,7841,7768,7764,7724,7630,7570,7581,7556,7574,7557,7565,7317,7419,7421,7235,7135
"13","5","A     Nonmetallic mineral product manufacturing","KP3270",7309,7470,7535,7650,7576,7596,7687,7659,7738,7635,7661,7683,7827,7899,7936,7975,8127,8057,8019,7953,7957,7976,8123,8297,8105,8189,8153,7992,7986,8046,7993,8168,8147,8183,8371,8309,8354,7935,8284,8288,8068,8040,8180,8020,8158,8109,7920,7884,7702,7908,7855,7839,8026,7944,7944,7914,7613,7811,7698,7694,7789,7702,7131,7299,7208,7111,7113,7197,7131,7055,7039,7084,7218,7159,7197,7264,7342,7445,7572,7518,7797,7888,7111,7243,7176,7129,7701,7681,7466,7558,7704,7722,7618,7599,7814,7903,7726,7706,7808,7843,7794,7865,7804,7944,8008,8065,8279,8411,8509,8560,8362,8113,8208,8211,8041,7978,7938,7917,7777,7954,7745,7754,7822,7743,7751,7598,7581,7500,7379,7324,7229,6922,6903,6870,6860,6902,6882,6938,6911,6728,6706
"14","6","A     Primary metal manufacturing","KP3310",12951,13282,13033,13250,13068,13337,13334,13231,13431,13401,13738,13723,13887,14255,14044,13976,13791,13564,13476,13717,13505,13502,13325,13290,13395,13493,13431,13278,13558,13458,13476,13603,13648,13466,13663,13928,13966,13244,13448,13429,12923,13237,13107,12674,12828,12597,12486,12366,11966,12231,12124,11814,12161,12011,12062,12028,11640,11750,11673,11430,11622,11372,11661,12045,12004,11744,11857,11881,11662,11774,11386,11247,11465,11195,11295,11257,11350,11025,11420,11062,11250,11399,11454,11759,11695,11743,12387,12088,11916,12374,12671,12536,12514,12171,12442,12498,12465,12366,12423,12187,11970,12125,12062,12565,12821,12882,12695,12607,12686,12518,12522,12105,12114,12235,12235,12245,11765,11491,11663,11853,11985,11845,11817,11671,11677,11475,11756,11609,11799,12047,12065,12111,12201,12008,11621,11567,11282,11329,11552,10997,10971
"15","7","A     Fabricated metal product manufacturing","KP3320",19800,20283,20257,21059,20419,20877,20814,20862,21163,21135,21174,21108,21035,21680,21545,21297,21473,21467,21535,21422,21506,21441,21491,21731,21567,21671,21324,21501,21584,21514,21588,21569,21608,21738,22108,22081,22644,21835,22675,22758,22375,22745,22488,22200,22425,21899,21768,22053,21230,21536,21458,20833,21288,20865,20821,20977,20443,20696,20585,20456,20688,20312,20299,21080,20865,20786,21078,20990,20950,20971,20615,20581,20088,20851,20238,20115,19962,19733,20239,19430,19721,19970,19735,20000,19477,19189,20435,20053,19743,19707,20094,19887,20076,19816,20433,20323,20414,20385,20616,20584,20772,20878,20588,20952,21398,21585,21755,22091,22299,22525,22402,22171,22256,22347,21825,21952,21798,21578,21529,21887,21887,21772,21669,22033,21928,21769,22237,22007,21476,21547,21403,20910,21034,20711,20957,21080,20764,20815,20926,20241,20050
"16","8","A     Machinery manufacturing","KP3330",21971,22637,22833,23216,22711,23250,23607,23248,23892,23812,23770,24073,24091,24336,24773,23922,24087,24443,23966,23081,23294,23396,23037,22892,22611,22867,22843,22748,23003,23320,23083,23337,23623,23576,23689,24034,25051,23646,24701,24740,24201,24361,24611,24514,24467,24019,23761,23691,24577,24070,23386,22400,22738,21835,21958,22299,20488,21146,20653,20010,21549,22083,20772,20958,21843,21014,21316,21211,20924,20924,20779,20445,19916,20273,20097,19965,20313,20182,20126,19850,20046,19938,19873,20645,19953,19697,21227,21221,20593,21485,21660,21358,22105,22143,21509,22629,22617,22505,22216,22368,22626,22543,22612,22833,23162,23396,23865,24002,23996,23623,23882,24178,24238,24194,23936,24245,23804,24142,23823,23786,21875,22766,22704,24063,23995,23293,24037,23728,23538,23452,23490,23683,23665,24375,24092,23842,23488,23349,23513,23153,23528
"17","9","A     Computer and electronic product manufacturing","KP3340",28454,29409,30623,29909,30297,31875,31796,32371,32791,32122,31638,32814,31729,33439,33354,33235,32280,33915,33062,33567,34360,34434,35126,35389,35558,36136,35897,37070,37353,37724,39217,38489,38257,38314,38389,37587,40711,39731,40598,42527,42643,42442,43140,43416,43822,43423,42915,44040,42044,42162,41183,38105,37093,37151,35502,34132,34349,34101,33988,35604,35130,34698,34599,35054,34843,34494,35411,35304,35658,35938,36152,35190,35953,35529,35228,35005,34723,35179,34983,35532,35993,37091,36665,36852,37024,36568,36645,37264,37402,36883,37773,37861,37817,38531,38466,38240,39171,38608,38881,38776,39184,39284,38552,39609,39943,39638,39872,41512,40715,43872,42433,40961,42204,42330,41912,42455,41483,41513,42071,39999,42100,42578,41477,43536,43056,41997,42586,43028,42539,43467,43781,43173,47345,43069,42790,45350,44062,42453,44985,42458,41541
"18","10","A     Electrical equipment, appliance, and component manufacturing","KP3350",9025,9104,9037,9452,9264,9337,9376,9281,9731,9845,9777,9471,9642,9917,9780,9630,9641,9647,9753,9669,9859,9699,9781,10011,9648,9875,9850,9993,10024,9836,10098,10356,9906,9940,10151,9978,10646,10388,10493,10388,10421,10604,10468,10330,10358,10284,10593,10467,10175,10455,10252,9906,10068,9783,9309,9356,8730,8888,8567,8835,8559,8540,8691,8925,8956,8605,8743,8601,8575,8707,8796,8618,8525,8392,8400,8393,8351,8347,8488,8097,8444,8469,8481,8501,8285,8197,8335,8429,8290,8211,8504,8403,8438,8294,8498,8481,8602,8570,8332,8329,8412,8487,8506,8607,8729,8780,8737,8511,8684,8557,8544,8527,8687,8461,8410,8434,8242,8266,8237,8424,8614,8660,8784,8969,8590,8455,8574,8513,8457,8443,8351,8308,8425,8249,8095,8160,8157,8151,8369,7956,7963
"19","11","A     Transportation equipment manufacturing","KP3360",45140,46525,45969,48825,47261,47916,52988,48289,48298,48517,51139,50693,47586,51968,51945,51778,51819,45561,45527,50942,53134,56263,56564,56095,56748,57971,57010,57457,57682,56178,55704,58450,55979,56551,56282,56806,58381,54618,53887,55384,54371,55687,51969,50629,53431,50858,49912,49706,44935,49544,50516,47825,51913,51463,51492,50545,48690,49313,51549,52477,52071,51284,50355,53989,52675,51586,54714,52748,52616,53616,51440,48565,51988,52296,51072,51183,51210,51695,53884,50163,54337,53152,53804,52872,52236,54675,55498,52551,51424,52021,50261,52289,52053,51338,51434,51937,53044,52412,52621,53620,53350,53959,52693,53939,55240,56299,55490,58469,54894,55283,55663,54202,55701,54905,51732,54173,52876,53782,53589,56317,53182,53139,54285,53374,53985,53422,56514,54196,52465,52596,52143,51220,52728,51125,49110,49128,47365,48405,48933,44967,45856
"20","12","D       Motor vehicle and parts manufacturing","KP3MV0",33612,34261,33307,35111,33867,34206,38325,35458,35000,35879,37125,36590,33746,37414,37568,37062,37921,31341,31174,36437,37781,39480,40182,40714,40757,42294,41825,41398,42083,41930,40429,42122,41948,41620,41710,42116,43306,40970,41257,41034,39121,40684,38682,36297,39232,37754,35842,36115,31620,35396,36787,34814,37490,36202,37018,36053,33992,35293,37034,37480,37382,36864,35697,39908,38963,37786,40382,39558,38588,39808,37361,35121,39610,38843,38168,38671,38656,38874,41060,38040,41211,40688,40382,40443,39818,40978,42573,40532,38486,39260,37640,39493,39623,38543,39541,40276,40216,40043,39566,39294,39710,40590,39002,40512,42581,42318,40761,41746,41505,40989,41783,40799,42065,41444,38285,40258,38392,39569,39235,41834,38336,39172,40115,39083,39260,38935,41184,38701,37738,37186,37118,36195,36248,35304,33256,31972,30877,31610,31498,28664,29625
"21","13","D       Other transportation equipment manufacturing","KP3OT0",11486,12240,12665,13729,13415,13738,14674,12825,13308,12624,14022,14118,13871,14571,14389,14741,13901,14270,14406,14527,15382,16826,16412,15388,16009,15681,15184,16075,15603,14231,15284,16346,14014,14930,14568,14686,15072,13643,12622,14349,15255,15007,13291,14332,14203,13111,14067,13588,13298,14135,13728,13012,14418,15234,14465,14476,14665,14008,14507,14980,14679,14411,14631,14116,13747,13819,14366,13255,14046,13855,14078,13434,12487,13500,12964,12600,12640,12898,12942,12220,13231,12595,13494,12558,12562,13789,13100,12205,13020,12872,12700,12909,12573,12885,12073,11880,12964,12538,13154,14306,13692,13475,13715,13523,12894,14094,14712,16533,13540,14323,13983,13522,13779,13600,13455,13952,14374,14187,14295,14517,14685,13952,14172,14233,14620,14397,15235,15268,14555,15123,14787,14744,16006,15390,15319,16377,15747,16048,16591,15473,15462
"22","14","A     Furniture and related product manufacturing","KP3370",5415,5741,5624,5533,5510,5520,5505,5471,5614,5628,5726,5686,5960,5962,6027,5901,5753,5927,6077,5957,5993,6002,6062,6157,6171,6277,6161,6075,6229,6202,6104,6162,6193,6056,6072,6207,5955,6025,6239,6422,6264,6300,6301,6346,6270,6362,6254,6214,6156,6290,6158,6106,6009,5722,5984,5985,5704,5767,5729,5729,5850,5726,5680,5870,5756,5730,5752,5693,5570,5603,5516,5779,5624,5659,5591,5502,5682,5714,5875,5892,5901,5866,5896,5671,5919,5725,5742,5853,5907,5911,5984,5995,5890,5942,5949,6009,6037,6088,6123,6165,6146,6120,6077,6029,6111,6059,6308,6337,6383,6339,6263,6337,6265,6189,6005,6057,6047,5909,5854,5955,5812,5752,5833,5728,5710,5741,5785,5712,5641,5672,5558,5512,5379,5332,5316,5300,5280,5310,5220,5102,5056
"23","15","A     Miscellaneous durable goods manufacturing","KP3390",8273,8391,8364,8416,8429,8710,8535,8304,8606,8662,8605,8634,8718,8823,9078,8720,8644,9288,8825,8951,8915,8854,8933,9025,9118,9156,9269,9139,9064,8949,8910,8997,9041,9165,9248,9250,9275,8937,9253,9572,9581,9690,9783,9697,9834,9868,9812,9823,9617,9838,9645,9613,9604,9516,9581,9745,9465,9435,9322,9215,9540,9467,9553,9764,10057,9681,10088,10042,9811,10074,10252,10255,10211,10187,10309,10229,10178,9916,10329,10283,10159,10409,10393,10338,9977,9971,10231,9973,9798,10156,9811,9857,10026,10273,10597,11007,10967,10755,10868,10841,10866,10968,10781,10795,10865,10803,10876,10977,10991,10977,11069,11040,11272,11379,11417,11264,11422,11326,11219,11261,11138,11140,11065,11215,11133,11114,11222,11423,11017,11313,11179,11220,11332,11246,11186,11398,11515,11188,11295,10995,10773
"24","16","A   Nondurable goods manufacturing industries","KP30N0",146427,148362,147334,148981,149848,149570,150453,150306,150971,151283,152879,151678,153168,153342,152652,151628,151595,151970,150297,151713,151560,150733,150326,151344,150753,153813,152416,150372,151387,152879,151495,152371,151919,153056,155191,152549,154187,151365,152447,153713,153757,153839,152719,152857,152515,151934,151373,151129,149469,152749,150059,147561,149591,145993,148859,149952,144798,148873,147672,149310,150152,147860,147020,146747,148728,147998,147250,147519,145913,146886,146877,147758,145782,142896,143548,142287,144095,144208,146696,144828,145636,145957,143003,144922,143795,140728,146654,145916,145179,147111,147615,148863,148256,150044,150226,150304,151790,150435,153402,153074,154950,154881,154380,155062,152268,149839,154299,152836,155699,152278,155316,154449,156703,153609,155302,153206,149331,151545,149377,150114,147959,147480,148955,148586,149784,147993,148841,147097,147059,151359,147731,146771,144974,140846,142997,147914,146625,145610,143562,140227,132076
"25","17","A     Food manufacturing","KP3110",33548,33808,33718,33758,34175,34165,34444,34118,34013,34006,34549,34971,36037,35775,35963,35982,35225,35381,35087,35646,35334,35638,35561,35449,35328,36054,36140,35548,36248,36024,35801,35738,35986,35862,36280,36004,36032,35132,35852,36769,35954,36276,36333,36426,36500,36381,36296,36256,36258,36504,36605,36520,36286,36239,36304,36207,36011,36079,36652,36869,37047,36895,36769,36618,37019,36252,36525,36764,35125,36726,36720,36543,35584,35377,35455,35407,35247,35279,35875,35825,35592,34976,34314,34807,34770,33640,33644,34316,33537,33842,34934,36080,35913,36616,36689,35542,36277,36335,35421,35843,36265,36372,36141,36112,36512,35787,36555,36409,36315,36725,36647,36867,36786,36348,36241,36402,36105,36548,36320,36180,35836,35844,35439,35371,35528,35252,35813,35979,35924,35815,35714,35660,35256,34495,34287,35067,34387,34301,34050,33451,33911
"26","18","A     Beverage and tobacco product manufacturing","KP3120",9702,9568,10135,9493,10007,9823,9888,10077,10047,10325,10609,9988,9830,10434,10305,9939,10123,10440,10016,10215,10057,10062,9541,9344,9306,9453,9752,9185,9269,9725,9276,9426,8943,9366,9418,8792,9358,8852,9575,8987,9739,9367,9175,9533,9000,9313,9515,9176,8900,9309,9356,8917,9869,9343,9312,10040,8910,9875,8789,9047,8953,8392,8940,8248,8694,8499,8338,8348,8218,8172,7936,7964,8137,8102,8747,8463,8574,8717,8744,8628,8571,8689,8472,8573,8348,8155,9149,8687,8742,9176,8787,8983,9003,8880,8833,8843,8624,8582,8739,9107,9490,9520,9509,9821,9245,9350,9368,9287,9256,8980,9083,9009,9478,9355,9030,9509,8876,9226,9265,8825,9011,8933,9346,9277,9659,9575,9490,9858,9265,9789,9573,9237,9263,8908,9388,9514,9545,9504,9570,9503,9425
"27","19","A     Textile mills","KP3130",4760,4814,4781,4763,4676,4641,4701,4544,4706,4709,4680,4679,4864,4799,4821,4585,4611,4579,4648,4619,4467,4531,4575,4494,4637,4500,4338,4565,4571,4500,4431,4423,4516,4465,4513,4567,4355,4388,4474,4397,4326,4430,4392,4345,4292,4233,4205,4136,4111,4074,3937,3823,3887,3833,3795,3811,3750,3739,3553,3630,3590,3665,3657,3872,3750,3679,3852,3669,3607,3690,3685,3486,3589,3595,3636,3540,3460,3587,3571,3499,3577,3677,3503,3437,3412,3311,3346,3360,3324,3157,3328,3326,3369,3302,3343,3509,3489,3537,3436,3457,3466,3440,3322,3229,3177,3149,3206,3215,3159,3152,3117,3058,2972,2949,2947,2943,2907,2907,2866,2787,2939,2896,2788,2815,2850,2753,2769,2731,2719,2718,2658,2672,2622,2559,2579,2554,2475,2508,2558,2490,2451
"28","20","A     Textile product mills","KP3140",2515,2588,2580,2625,2570,2590,2639,2650,2657,2679,2673,2709,2708,2685,2525,2623,2572,2589,2614,2559,2626,2620,2619,2651,2717,2682,2656,2723,2739,2726,2779,2771,2787,2848,2863,2763,2902,2868,2930,2862,2851,2824,2781,2810,2750,2709,2689,2579,2750,2709,2643,2556,2594,2611,2625,2635,2635,2607,2615,2628,2627,2786,2755,2853,2880,2839,2811,2810,2838,2853,2874,2872,2563,2570,2578,2578,2498,2467,2528,2485,2542,2600,2587,2978,2865,2759,2813,2751,2700,2686,2735,2745,2723,2773,2760,2781,2865,2855,2802,2789,2745,2751,2767,2812,2938,2821,2825,2730,2744,2752,2718,2649,2677,2612,2609,2506,2510,2456,2435,2475,2455,2428,2382,2394,2398,2389,2338,2338,2280,2286,2245,2205,2186,2147,2135,2142,2152,2140,2077,1990,1912
"29","21","A     Apparel manufacturing","KP3150",5519,5698,5426,5815,5672,5658,5775,5760,5919,5864,5968,5675,5618,5609,5524,5509,5422,5525,5446,5447,5388,5235,5251,5292,5388,5324,5287,5318,5258,5226,5177,5105,5136,5130,5113,5053,5096,5108,5337,5047,5081,5035,4817,5073,4986,4995,4882,4879,4775,4859,4850,4710,4607,4513,4310,4481,4397,4467,4314,4495,4436,4458,4362,4614,4597,4487,4633,4505,4527,4435,4610,4502,4333,4155,3938,3843,3763,3813,3775,3630,3554,3509,3395,3301,3245,3126,3130,3047,3044,2916,2960,2914,2905,2909,2944,2963,2999,2946,2906,2859,2860,3112,2901,2835,2838,2872,2999,2949,2761,2757,3010,2922,2993,2938,2832,2715,2743,2781,2694,2740,2724,2751,2685,2777,2677,2610,2674,2813,2788,2747,2852,2807,2853,2790,2838,2848,2896,2947,2961,2890,2897
