"","Table 3#10#1# Percent Change From Preceding Period in Real Gover","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Percent]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2009     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/10/2009 9:50:31 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","      Government consumption expenditures \1\","A955RL1",0.2,0.4,1.7,1.8,2.8,1.8,3.7,4.5,2.2,1.4,0.6,1,1.4,3
"9","2","        Gross output of general government","W101RL1",0.4,0.6,1.8,2.1,2.6,2.3,3.9,4,1.9,1.4,0.6,0.9,1.5,2.9
"10","3","          Value added","W102RL1",0.1,0.2,0.8,1.1,0.9,1.7,1.8,2,1.2,0.6,0.7,0.6,1.4,2.2
"11","4","            Compensation of general government employees","A194RL1",-0.2,-0.1,0.6,0.9,0.6,1.5,1.7,2,1,0.2,0.3,0.2,1.1,1.9
"12","5","            Consumption of general government fixed capital \2\","A265RL1",1.3,1.5,1.8,2.2,2.8,2.8,2.4,2.3,2.3,2.8,2.7,3,3.2,3.5
"13","6","          Intermediate goods and services purchased \3\","W104RL1",1.2,1.6,3.8,3.9,5.9,3.2,7.8,7.5,3,2.7,0.6,1.5,1.6,4.1
"14","7","            Durable goods","W105RL1",-2.8,1.3,3.4,5.3,7.7,3,4.2,3.5,3.9,6.4,1.5,5.5,6.9,11.7
"15","8","            Nondurable goods","W106RL1",3.9,2,5.6,7.4,4.1,5,8.2,4.2,-0.2,2,1,-0.1,1.9,1.9
"16","9","            Services","W107RL1",0.8,1.4,3.3,2.6,6.3,2.6,8,9,4,2.6,0.4,1.7,1.1,4.3
"17","10","        Less: Own-account investment \4\","W108RL1",0.8,-0.8,5.6,1.6,0.3,0.4,11.3,0.7,-3.2,0.6,0.6,2.1,3.2,3.5
"18","11","              Sales to other sectors","W109RL1",1.9,2,2.1,3.6,1.6,5.6,4.4,1.1,0.2,0.9,1.2,0.4,2.1,2.4
"19","12","Federal consumption expenditures \1\","A957RL1",-2.9,-1.8,0.1,-2.1,1.3,1,4.3,6.7,6.6,3.9,0.8,1.4,0.8,6.7
"20","13","      Gross output of general government","W110RL1",-3.4,-1.7,-0.4,-1.8,0.9,1.2,4,6.5,6.6,3.8,1.2,1.2,0.7,6.6
"21","14","        Value added","W111RL1",-3.8,-2.7,-1.9,-1.1,-0.8,0.8,0.4,2,2.7,1,0.7,-0.1,0.8,3.9
"22","15","          Compensation of general government employees","B568RL1",-4.9,-3.7,-2.5,-1.5,-1.4,0.8,0.4,2.4,3.1,0.8,0.1,-1,0,3.8
"23","16","          Consumption of general government fixed capital \2\","B995RL1",-0.6,-0.3,-0.2,-0.1,0.8,0.8,0.4,0.8,1.2,1.9,2.7,3.2,3.5,4.4
"24","17","        Intermediate goods and services purchased \3\","W113RL1",-2.8,0.1,2.1,-3,3.7,1.7,10.1,13.6,12.1,7.7,1.8,2.8,0.7,10
"25","18","          Durable goods","W114RL1",-8.4,0.3,0.8,0.8,6.5,-0.4,1.2,5.5,8.7,11,2.2,8.2,9.2,18.1
"26","19","          Nondurable goods","W115RL1",0.6,-1.8,10.9,8,-12.8,10.5,16.3,7.4,8.3,11.3,5.4,-4.1,0,7.3
"27","20","          Services","W116RL1",-2.1,0.3,1.3,-4.9,5.5,1,10.7,15.6,13.1,6.8,1.3,3.3,-0.3,9.4
"28","21","      Less: Own-account investment \4\","W117RL1",-0.8,-5.9,-4.5,0,-10.4,-18.5,22.6,3.6,-5.4,-4,-0.5,-1.8,-4.1,7.6
"29","22","            Sales to other sectors","W118RL1",-29,4.9,-30.5,20.5,-25.5,33.1,-24.8,-6.1,8.9,7.1,41.6,-14.2,-2.3,-4.2
"30","23","    Defense consumption expenditures \1\","A997RL1",-3.6,-1.4,-1.5,-2.7,1.6,-0.9,3.6,6.5,8.6,5.2,1.1,0.8,1.6,6.5
"31","24","      Gross output of general government","W085RL1",-4.3,-1.3,-1.7,-2.8,1.5,-0.9,3.7,6.6,8.5,5.1,1.2,0.8,1.6,6.2
"32","25","        Value added","W086RL1",-4.2,-3.4,-3,-2.7,-2,-0.7,0.3,1.9,2.9,1.8,0.9,-0.5,0.5,4
"33","26","          Compensation of general government employees","B237RL1",-5.5,-4.2,-3.6,-3.2,-2.4,-0.7,0.7,2.7,3.6,1.8,0.3,-1.5,-0.4,3.9
"34","27","          Consumption of general government fixed capital \2\","B432RL1",-1.5,-1.5,-1.5,-1.6,-1.1,-0.9,-0.8,-0.1,1,1.9,2.6,2.8,3.3,4.4
"35","28","        Intermediate goods and services purchased \3\","W087RL1",-4.5,2.3,0.4,-2.9,7.5,-1.2,9.1,13.7,16.3,9.3,1.5,2.5,2.9,8.9
"36","29","          Durable goods","A998RL1",-8.9,-0.8,0.4,0.8,6.2,-1,0.7,4.1,9.7,10.9,1.1,8.4,9.9,18.4
"37","30","          Nondurable goods","A725RL1",-18.1,10.4,0.7,3.3,11.8,4.9,2.9,14.2,5.6,15.2,0.6,-3.6,3.7,3.4
"38","31","          Services","A489RL1",-2,2.5,0.4,-4.3,7.4,-1.8,11.8,15.6,18.5,8.5,1.7,2.3,1.7,7.9
"39","32","      Less: Own-account investment \4\","W088RL1",-2.5,-7.3,-4.6,-4.9,-10.3,-17.2,27.5,33.8,-3.6,-7.8,-5.4,-2.1,-4.6,4.6
"40","33","            Sales to other sectors","W089RL1",-52.8,16.9,-23.8,-17.7,-2.9,11,-0.2,2.7,7.2,0.9,25.1,6.7,7.3,-28.6
"41","34","    Nondefense consumption expenditures \1\","A542RL1",-1.5,-2.5,3.5,-0.9,0.8,4.7,5.5,6.9,3.1,1.2,0.3,2.6,-0.9,7.2
"42","35","      Gross output of general government","W128RL1",-1.6,-2.5,2.2,0,-0.3,5.1,4.7,6.3,3.1,1.4,1.1,1.9,-1.1,7.4
"43","36","        Value added","W129RL1",-2.9,-1.5,0.3,1.9,1.4,3.6,0.6,2.1,2.4,-0.5,0.3,0.7,1.2,3.9
"44","37","          Compensation of general government employees","W130RL1",-4,-2.7,-0.6,1.2,0.2,3.1,-0.1,1.9,2.5,-1,-0.2,0,0.6,3.8
"45","38","          Consumption of general government fixed capital \2\","B546RL1",2.7,4.3,4.7,5.2,7,6.1,3.8,3.1,2,1.8,2.9,4.3,4.1,4.4
"46","39","        Intermediate goods and services purchased \3\","W131RL1",0.4,-4.1,5.5,-3,-3.4,7.8,11.9,13.3,4.2,4.2,2.4,3.6,-4.3,12.8
"47","40","          Durable goods","A543RL1",-1.9,15.4,6.2,0.1,9.4,6.7,7.5,21.2,-2.1,12,15.3,6.8,1.9,14.4
"48","41","          Nondurable goods","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","42","            Commodity Credit Corporation inventory change","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","43","            Other nondurable goods","B828RL1",15.8,-10.4,18,9.5,-28.9,8.1,33.1,7.3,12.6,13.2,7.5,-6.8,-4.3,13
"51","44","          Services","A544RL1",-2.4,-3.4,2.9,-5.9,2.1,6.3,8.7,15.4,3.1,3.3,0.2,5.5,-4.6,12.7
"52","45","      Less: Own-account investment \4\","W136RL1",0.2,-5.1,-4.5,2.8,-10.5,-19.2,20,-13.7,-7.1,-0.4,3.8,-1.5,-3.8,10
