"","Table 1#5#1# Percent Change From Preceding Period in Real Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Percent]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2009     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/10/2009 9:47:40 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","    Gross domestic product","A191RL1",2.5,3.7,4.5,4.4,4.8,4.1,1.1,1.8,2.5,3.6,3.1,2.7,2.1,0.4
"9","2","Personal consumption expenditures","DPCERL1",2.7,3.5,3.7,5.2,5.5,5.1,2.7,2.7,2.8,3.5,3.4,2.9,2.6,-0.2
"10","3","  Goods","DGDSRL1",3,4.5,4.8,6.8,8,5.3,3.1,4.1,4.6,4.4,4,3.3,3.1,-2.1
"11","4","    Durable goods","DDURRL1",3.9,7.5,8.2,12.2,13,8.8,5.4,7.6,6,6.6,5.2,4.1,4.3,-4.5
"12","5","      Motor vehicles and parts","DMOTRL1",-1.6,4.8,6.8,10.5,9.2,3.2,5.1,5.3,2.9,1.5,-0.4,-3.2,1.4,-13.6
"13","6","      Furnishings and durable household equipment","DFDHRL1",4.6,4.3,4.7,8.2,11.6,9.6,5.1,7.3,6.3,8.1,5.8,5.3,2,-2.9
"14","7","      Recreational goods and vehicles","DREQRL1",14.3,15.5,15.6,20.1,21.3,17.4,9.9,12.1,11.3,13.7,12.6,13.1,11.4,5.4
"15","8","      Other durable goods","DODGRL1",2.3,6.6,5,9.8,11.9,8.9,-2.1,6.6,5.2,5.4,5.7,3.7,0.8,-4.8
"16","9","    Nondurable goods","DNDGRL1",2.5,2.9,2.9,3.8,5.1,3.2,1.8,2,3.7,3.2,3.4,2.8,2.5,-0.8
"17","10","      Food and beverages purchased for off-premises consumption","DFXARL1",0.5,1,0.9,1.2,3.9,2.3,1.2,0.2,2.2,2.7,4,3.2,2.1,0
"18","11","      Clothing and footwear","DCLORL1",4.1,4.8,3.3,6.1,6.6,4.8,0.9,3.1,5.6,4.9,6.1,5.1,4.4,-0.3
"19","12","      Gasoline and other energy goods","DGOERL1",1.9,1.6,2,3.6,3.1,-1.8,0.7,1.7,2.8,1.4,-0.6,-2.1,0.8,-4.4
"20","13","      Other nondurable goods","DONGRL1",4.1,4.4,5.5,5.4,6.2,5.1,3.2,3.3,4.5,3.5,3.1,3.7,3,-0.1
"21","14","  Services","DSERRL1",2.5,2.9,3.1,4.4,4.1,5,2.5,1.9,1.9,2.9,3,2.7,2.4,0.7
"22","15","    Household consumption expenditures (for services)","DHCERL1",2.5,2.8,3.4,4.2,4,4.8,2.3,1.6,1.8,3.1,3.2,2.4,2.3,0.4
"23","16","      Housing and utilities","DHUTRL1",2.7,2.2,2.3,3.1,3.2,3.1,2.7,0.7,1.2,2.2,4.6,2.1,0.9,0.9
"24","17","      Health care","DHLCRL1",2.1,2.1,3.1,3.2,1.6,3.4,5,5.9,2.3,3.2,3.7,1.8,2.6,3
"25","18","      Transportation services","DTRSRL1",7.5,8.2,7.5,4.2,5.5,4.7,-0.9,-2.7,0.3,2.3,0.9,-0.3,1.2,-5
"26","19","      Recreation services","DRCARL1",7.6,4.5,3.2,3.3,4.9,3,-0.1,0.6,2.9,5,1.9,3.3,3.7,0
"27","20","      Food services and accommodations","DFSARL1",0.2,0.7,2.2,2.6,2.5,4.6,-0.1,1.6,3.4,3.1,3.3,3.1,1.1,-0.4
"28","21","      Financial services and insurance","DIFSRL1",0.5,3.7,3.4,6.4,8.4,9.9,-0.7,-0.4,-0.1,5.2,3,3.2,5,-1.6
"29","22","      Other services","DOTSRL1",2,3.4,5.9,8.3,5.6,7.2,4,0.6,2.5,2.4,1.1,3.4,2.8,-0.6
"30","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRL1",4.6,6.1,-6.9,9.5,7.2,7.8,7.6,9.2,4.9,-0.5,-1.9,10,4,8.9
"31","24","      Gross output of nonprofit institutions \2\","DNPERL1",1.3,2.7,1.6,5,3.5,3.9,4.8,5.8,1.6,2,1.6,3,2.6,3.5
"32","25","      Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRL1",0.4,1.7,4.2,3.6,2.3,2.6,3.9,4.6,0.3,2.8,2.8,0.8,2.1,1.6
"33","26","Gross private domestic investment","A006RL1",3.1,8.8,12.4,10,8.8,6.8,-7,-1.4,3.6,10,5.5,2.7,-3.8,-7.3
"34","27","  Fixed investment","A007RL1",6.4,9,9.2,10.9,9.3,7.4,-1.9,-4.2,3.2,7.3,6.5,2.3,-2.1,-5.1
"35","28","    Nonresidential","A008RL1",10.5,9.3,12.1,12,10.4,9.8,-2.8,-7.9,0.9,6,6.7,7.9,6.2,1.6
"36","29","      Structures","A009RL1",6.4,5.7,7.3,5.1,0.1,7.8,-1.5,-17.7,-3.8,1.1,1.4,9.2,14.9,10.3
"37","30","      Equipment and software","A010RL1",12,10.6,13.8,14.5,14.1,10.5,-3.2,-4.2,2.5,7.7,8.5,7.4,2.6,-2.6
"38","31","        Information processing equipment and software","A679RL1",17.3,19.8,23.3,22.8,22.5,18,-0.4,-2.8,6.8,9.4,7.3,8.3,8,6
"39","32","          Computers and peripheral equipment","B935RL1",50.8,44.4,45,45.4,42.1,21.3,2.5,4.8,8.9,11.4,11.7,23.1,17.7,8.4
"40","33","          Software \4\","B985RL1",10,17.3,29.5,20.8,23.3,13.8,0.7,-0.1,7,10.3,6.5,4.2,6.3,6.4
"41","34","          Other","A937RL1",7.6,9.6,8.6,12.6,11.5,20.3,-3.1,-9.1,5.4,7.4,6.1,7.2,5.8,4.4
"42","35","        Industrial equipment","A680RL1",9.8,3.7,2.2,4.4,0.6,8.6,-7.4,-6.7,-0.2,-2.8,8.3,8.3,4.7,-3.5
"43","36","        Transportation equipment","A681RL1",8.2,4,8.3,9.3,17.5,-2.2,-8.9,-9.1,-8.9,15.6,11.9,8.1,-9.7,-27.3
"44","37","        Other equipment","A862RL1",5.4,3.8,9.7,10.2,2.6,5.6,-0.8,-0.7,4.6,6.1,8.8,3.7,-0.8,-2.1
"45","38","    Residential","A011RL1",-3.3,8,1.9,7.7,6.3,1,0.6,5.2,8.2,9.8,6.2,-7.3,-18.5,-22.9
"46","39","  Change in private inventories","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","40","    Farm","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","41","    Nonfarm","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","42","Net exports of goods and services","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","43","  Exports","A020RL1",10.1,8.3,11.9,2.3,4.4,8.6,-5.6,-2,1.6,9.5,6.7,9,8.7,5.4
"51","44","    Goods","A253RL1",11.7,8.8,14.4,2.2,3.8,11.1,-6.2,-3.6,1.8,8.5,7.5,9.4,7.4,5.9
"52","45","    Services","A646RL1",6.3,7,5.9,2.4,5.7,2.7,-4.1,1.9,1.2,11.9,5,7.9,11.8,4.2
"53","46","  Imports","A021RL1",8,8.7,13.5,11.7,11.5,13,-2.8,3.4,4.4,11,6.1,6.1,2,-3.2
"54","47","    Goods","A255RL1",9,9.4,14.4,11.8,12.5,13.4,-3.2,3.7,4.9,11,6.8,5.9,1.7,-3.9
