"","Table 1#14# Gross Value Added of Domestic Corporate Business in ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2009     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/10/2009 9:49:03 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","    Gross value added of corporate business \1\","A451RC1",4357.5,4625,4978.9,5299.3,5624.5,6016.4,6034.7,6122.7,6360.7,6774.2,7297.9,7823.3,8026,8112.1
"9","2","Consumption of fixed capital","A438RC1",476.8,506,540.9,578.3,625.8,685.1,730.3,755.9,775.5,809.2,862.9,925.9,981,1036.8
"10","3","Net value added","A439RC1",3880.7,4119,4438.1,4720.9,4998.7,5331.4,5304.4,5366.8,5585.2,5965,6435,6897.4,7045,7075.2
"11","4","  Compensation of employees","A442RC1",2776,2914.9,3123.9,3396.8,3628.6,3950.7,3986.2,3980.7,4105.5,4265.9,4498.5,4743.4,4948,5005.9
"12","5","    Wage and salary accruals","A443RC1",2300.2,2438.6,2635.3,2868.6,3077.6,3344.4,3350.3,3294.4,3356.9,3507.8,3701.4,3930.9,4121.9,4162.9
"13","6","    Supplements to wages and salaries","A444RC1",475.8,476.3,488.5,528.3,551,606.3,635.9,686.3,748.5,758,797.1,812.5,826.1,843
"14","7","  Taxes on production and imports less subsidies","W321RC1",379.1,390.7,406.9,418.4,441.5,466.6,462.6,492.2,517.3,553.7,596.7,633.7,655.8,665.4
"15","8","  Net operating surplus","W322RC1",725.6,813.4,907.3,905.7,928.6,914.1,855.7,893.9,962.4,1145.4,1339.8,1520.3,1441.2,1404
"16","9","    Net interest and miscellaneous payments","A453RC1",64.7,69.3,94.8,142.2,139,166.6,154.2,116.2,99.4,48.6,61.6,120.4,174.8,334
"17","10","    Business current transfer payments (net)","W323RC1",37.7,44.6,35.2,53.8,54.9,73.8,87,63.5,50.9,54.9,61.6,48.4,72.4,86.8
"18","11","    Corporate profits with IVA and CCAdj","A445RC1",623.2,699.5,777.3,709.7,734.8,673.6,614.5,714.3,812,1041.9,1216.6,1351.5,1193.9,983.2
"19","12","      Taxes on corporate income","A054RC1",217.8,231.5,245.4,248.4,258.8,265.1,203.3,192.3,243.8,306.1,412.4,473.3,451.5,292.2
"20","13","      Profits after tax with IVA and CCAdj","W273RC1",405.4,468.1,531.9,461.3,476,408.5,411.2,522,568.3,735.8,804.3,878.2,742.4,691
"21","14","        Net dividends","A449RC1",221.6,257.3,284,309.2,295.7,348.5,330.1,351.2,392.8,488,296.5,626.9,641.6,543.3
