"","Table 1#7#5# Relation of Gross Domestic Product, Gross National ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2009     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/10/2009 9:48:46 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","Gross domestic product","A191RC1",7414.7,7838.5,8332.4,8793.5,9353.5,9951.5,10286.2,10642.3,11142.1,11867.8,12638.4,13398.9,14077.6,14441.4
"9","2","Plus: Income receipts from the rest of the world","B645RC1",229.3,245.8,279.5,286.2,319.5,380.5,323,313.5,353.3,448.6,573,721.1,861.8,809.2
"10","3","Less: Income payments to the rest of the world","A655RC1",199.6,214.2,256.1,268.9,291.7,342.8,271.1,264.4,284.6,357.4,475.9,648.6,746,667.3
"11","4","Equals: Gross national product","A001RC1",7444.3,7870.1,8355.8,8810.8,9381.3,9989.2,10338.1,10691.4,11210.8,11959,12735.5,13471.3,14193.3,14583.3
"12","5","Less: Consumption of fixed capital","A262RC1",869.5,912.5,963.8,1020.5,1094.4,1184.3,1256.2,1305,1354.1,1432.8,1541.4,1660.7,1760,1847.1
"13","6","        Private","A024RC1",704.6,743.4,789.7,841.6,907.2,986.8,1051.6,1094,1135.9,1200.9,1290.8,1391.4,1469.6,1536.2
"14","7","          Domestic business","W276RC1",586,619.2,658.5,702.1,756.8,824.3,876.5,908.5,935.4,978.7,1045.7,1123.3,1188.5,1252.3
"15","8","            Capital consumption allowances","Y0000C1",651.1,697.4,757.2,810.6,883.8,945.3,1018.8,1110.9,1125.3,1138.8,965.6,1027.7,1089.7,1340.2
"16","9","            Less: Capital consumption adjustment","Y0004C1",65.1,78.2,98.7,108.5,126.9,121,142.3,202.4,189.9,160.1,-80.1,-95.6,-98.8,87.8
"17","10","          Households and institutions","W279RC1",118.7,124.2,131.2,139.5,150.4,162.5,175.1,185.5,200.5,222.2,245.1,268.1,281.1,283.9
"18","11","        Government","A264RC1",164.8,169.2,174.1,179,187.2,197.5,204.6,210.9,218.1,231.9,250.6,269.3,290.4,310.9
"19","12","          General government","A265RC1",141.2,144.5,148.1,151.9,158.5,166.8,172.5,177.3,182.8,193.4,208.7,224.7,242.4,259.5
"20","13","          Government enterprises","A266RC1",23.6,24.6,26,27.1,28.6,30.7,32.1,33.7,35.4,38.5,41.9,44.6,48.1,51.4
