"","Table 1#4#1# Percent Change From Preceding Period in Real Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Percent]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2009     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/10/2009 9:47:35 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","Gross domestic product","A191RL1",2.5,3.7,4.5,4.4,4.8,4.1,1.1,1.8,2.5,3.6,3.1,2.7,2.1,0.4
"9","2","Less: Exports of goods and services","A020RL1",10.1,8.3,11.9,2.3,4.4,8.6,-5.6,-2,1.6,9.5,6.7,9,8.7,5.4
"10","3","Plus: Imports of goods and services","A021RL1",8,8.7,13.5,11.7,11.5,13,-2.8,3.4,4.4,11,6.1,6.1,2,-3.2
"11","4","Equals: Gross domestic purchases","A712RL1",2.4,3.8,4.7,5.5,5.7,4.8,1.2,2.4,2.8,4,3.2,2.6,1.4,-0.7
"12","5","Less: Change in private inventories","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","6","Equals: Final sales to domestic purchasers","A713RL1",2.8,3.8,4.2,5.6,5.8,4.9,2.1,1.9,2.8,3.6,3.3,2.5,1.7,-0.4
"14",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","7","  Final sales of domestic product","A190RL1",3,3.7,3.9,4.4,4.9,4.2,2,1.3,2.4,3.2,3.2,2.6,2.5,0.8
