"","Table 4#2#5# Exports and Imports of Goods and Services by Type o","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2009     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/10/2009 9:51:56 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","    Exports of goods and services","B020RC1",811.9,867.7,954.4,953.9,989.3,1093.2,1027.7,1003,1041,1180.2,1305.1,1471,1655.9,1831.1
"9","2","Exports of goods \1\","A253RC1",583.3,618.3,687.7,680.9,697.2,784.3,731.2,700.3,726.8,817,906.1,1024.4,1139.4,1266.9
"10","3","  Foods, feeds, and beverages","B638RC1",50.8,56,52,46.8,46,47.9,49.4,49.6,55,56.6,59,66,84.3,108.3
"11","4","  Industrial supplies and materials","A639RC1",141,141.3,153,143.3,142.4,166.6,155.3,153.5,168.3,199.5,227.5,267.3,303.1,369.4
"12","5","    Durable goods","B686RC1",49.9,51.1,55.3,53.9,54.3,63.6,57.1,53.5,57.3,70.1,82.2,101.3,113.9,128.6
"13","6","    Nondurable goods","B687RC1",91,90.2,97.7,89.3,88.1,103,98.2,100,111,129.4,145.3,166,189.2,240.7
"14","7","  Capital goods, except automotive","A640RC1",234.4,254,295.8,299.8,311.2,357,321.7,290.4,293.7,327.5,358.4,404,433,457.7
"15","8","    Civilian aircraft, engines, and parts","B688RC1",26.1,30.8,41.4,53.5,52.9,48.1,52.6,50.4,46.7,46.1,55.9,64.5,73,74
"16","9","    Computers, peripherals, and parts","B850RC1",39.7,43.7,49.4,45.2,46.7,55.5,47.6,38.6,39.9,42.8,45.5,47.6,45.5,43.9
"17","10","    Other","B689RC1",168.6,179.4,205.1,201,211.6,253.4,221.6,201.5,207,238.7,257,291.9,314.5,339.8
"18","11","  Automotive vehicles, engines, and parts","B641RC1",61.4,64.4,73.4,72.5,75.3,80.4,75.4,78.9,80.6,89.2,98.4,107.3,121.3,121.5
"19","12","  Consumer goods, except automotive","A642RC1",64.2,69.3,77,79.4,80.9,89.4,88.3,84.4,89.9,103.2,115.3,129.1,146,161.3
"20","13","    Durable goods","B690RC1",32.5,35,39.5,40.8,41.8,46.7,46.4,43.9,46.1,53.9,62.1,71.1,82.7,90.7
"21","14","    Nondurable goods","B691RC1",31.6,34.3,37.5,38.6,39.1,42.7,42,40.4,43.9,49.3,53.2,58,63.3,70.6
"22","15","  Other","A643RC1",31.5,33.4,36.4,39.1,41.4,43.1,41,43.5,39.3,41,47.5,50.8,51.8,48.8
