"","Table 4#2#2# Contributions to Percent Change in Real Exports and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","                                                                                                                                                                                                                                                          ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2009     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/10/2009 9:51:38 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8",NA,"Percent change at annual rate:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","    Exports of goods and services","A020RL1",10.1,8.3,11.9,2.3,4.4,8.6,-5.6,-2,1.6,9.5,6.7,9,8.7,5.4
"10",NA,"Percentage points at annual rates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2","Exports of goods \1\","A253RZ2",8.29,6.3,10.19,1.6,2.71,7.8,-4.44,-2.56,1.25,5.91,5.18,6.53,5.15,4.06
"12","3","  Foods, feeds, and beverages","B638RZ2",0.63,-0.11,0.04,-0.05,0.14,0.27,0.12,-0.1,0.09,-0.34,0.26,0.36,0.42,0.36
"13","4","  Industrial supplies and materials","A639RZ2",1.33,0.87,1.43,-0.17,0.13,1.44,-0.6,0.04,0.4,1.09,0.46,1.35,1.02,2.1
"14","5","    Durable goods","B686RZ2",0.75,0.36,0.54,0.1,0.19,0.82,-0.51,-0.36,0.14,0.48,0.46,0.63,0.4,0.71
"15","6","    Nondurable goods","B687RZ2",0.58,0.5,0.89,-0.27,-0.06,0.63,-0.1,0.41,0.26,0.61,0,0.72,0.62,1.38
"16","7","  Capital goods, except automotive","A640RZ2",5.32,4.49,6.51,1.31,1.73,4.74,-3.23,-2.71,0.67,3.25,2.48,3.23,2.02,1.31
"17","8","    Civilian aircraft, engines, and parts","B688RZ2",-0.86,0.44,1.09,1.23,-0.19,-0.72,0.16,-0.35,-0.52,-0.21,0.63,0.47,0.37,-0.14
"18","9","    Computers, peripherals, and parts","B850RZ2",1.45,1.43,1.48,0.21,0.63,1.14,-0.58,-0.61,0.23,0.33,0.52,0.32,0.11,0.13
"19","10","    Other","B689RZ2",4.73,2.62,3.94,-0.13,1.29,4.33,-2.81,-1.75,0.97,3.13,1.32,2.45,1.54,1.32
"20","11","  Automotive vehicles, engines, and parts","B641RZ2",0.43,0.28,0.99,-0.11,0.24,0.45,-0.48,0.3,0.11,0.75,0.68,0.57,0.85,-0.08
"21","12","  Consumer goods, except automotive","A642RZ2",0.49,0.53,0.83,0.25,0.19,0.81,-0.07,-0.34,0.5,1.17,0.9,0.92,0.94,0.71
"22","13","    Durable goods","B690RZ2",0.26,0.26,0.48,0.14,0.13,0.46,-0.03,-0.23,0.19,0.72,0.63,0.63,0.72,0.37
"23","14","    Nondurable goods","B691RZ2",0.23,0.27,0.35,0.1,0.06,0.35,-0.03,-0.12,0.31,0.45,0.27,0.29,0.21,0.34
"24","15","  Other","A643RZ2",0.1,0.24,0.39,0.37,0.27,0.09,-0.18,0.24,-0.52,-0.01,0.4,0.1,-0.08,-0.36
"25","16","Exports of services \1\","A646RZ2",1.83,2,1.73,0.68,1.66,0.79,-1.17,0.55,0.36,3.59,1.55,2.43,3.57,1.32
"26","17","  Transfers under U.S. military agency sales contracts","B267RZ2",0.19,0.22,0.09,0.1,-0.23,-0.23,-0.08,-0.05,0.11,0.19,0.23,0.31,0.06,-0.21
"27","18","  Travel","B493RZ2",0.58,0.6,0.23,-0.31,0.16,0.4,-1,-0.46,-0.35,0.73,0.32,0.03,0.54,0.49
"28","19","  Passenger fares","B533RZ2",0.13,0.19,0.17,-0.04,-0.19,0.04,-0.27,-0.14,-0.3,0.12,0.05,0.07,0.12,0.18
