"","Table 1#2#1# Percent Change From Preceding Period in Real Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"11","3","       Change in private inventories","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","4","Goods","A353RL1",0.9,-2.3,3.1,7.7,1.4,11.3,9.4,3.4,6.2,12.8,9,4.1,7.4,-3.2,8.6,14.5,4.9,3.7,6.9,12.1,-3.4,15,-1.9,1.2,-8.8,1.4,-5,3.5,4.2,2.1,4,-4.1,4.4,0.8,16.1,6.9,1.7,2.5,5,5.7,6.7,0.3,4.4,5.1,11.8,1.8,0,7.2,-0.8,6.2,7.2,7.6,-1.8,1.5,-7,-16.4,-8.7,-4.1
"13","5","    Final sales","A325RL1",3.2,2.3,7.8,6.2,3.7,7.3,3.7,7.5,5.3,3.7,13.6,2.5,3.3,6.7,6.4,14.2,1.9,9.9,6.5,5.1,6.1,4.5,2.5,1.8,1.6,-1.4,-2.7,10.8,-4.5,-1.3,3.2,-5.6,4.4,5.1,15.1,2.6,0.1,-0.6,7,4.7,4.4,9.5,4.8,-3,14.3,1,0.5,11.7,1.4,4.9,6.5,10.1,-1.1,6.3,-7.8,-14.1,0.4,-0.9
"14","6","    Change in private inventories","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","7","  Durable goods","A354RL1",7.1,-2.2,9,12.4,-1,14.5,12.7,1.3,15,16.3,15.2,6.7,13.1,-3,13.5,20.1,5.9,3.2,16.1,10.5,5.5,13.1,-3.3,1.4,-10.5,-0.7,-8.8,5,7.7,2.8,6.8,-6.7,-0.7,6.7,16.2,12.9,0,3.4,7.4,3.8,11.1,1.2,9.8,4.7,7,4.7,3.8,-0.8,3.7,6.8,11,12.4,-2.4,-4.3,4.8,-23.6,-30.1,-5.3
"16","8","    Final sales","A326RL1",6.2,2.9,12.5,10,5.5,11.7,6.2,10.5,9,8,21.9,2.9,6.2,10.2,11.1,19.9,0.8,14.6,12.1,1.7,17.3,2.8,2.7,1,7.4,-5.3,-6.6,15.9,-10.7,-0.3,7.8,-11.4,0.9,13.6,19.5,2.1,-0.2,0.6,10.2,5.1,4.4,13.7,9.1,-5.1,16.1,2.1,1.8,7.4,2.4,11.1,6.7,11.1,-2.1,2.9,-6.4,-19.8,-6.5,-6.3
"17","9","    Change in private inventories \1\","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","10","  Nondurable goods","A356RL1",-5.5,-2.4,-3,2.5,4.1,7.7,5.8,5.9,-3.3,8.9,2.1,1,0.8,-3.3,2.8,7.9,3.5,4.2,-3.6,14.1,-14,17.6,0,1,-6.6,4,-0.3,1.7,0.1,1.2,0.8,-0.9,10.6,-5.7,15.9,0.4,3.9,1.4,2.3,8,1.7,-0.9,-1.8,5.7,17.9,-1.6,-4.2,17.3,-5.7,5.5,2.9,2.2,-1.1,8.8,-19.3,-7.2,20.5,-3
"19","11","    Final sales","A334RL1",0,1.7,2.8,2,1.6,2.7,1,4.1,1.2,-1.1,4.4,2,0,2.5,0.9,7.4,3.2,4.2,-0.2,9.7,-6.7,6.8,2.3,2.9,-5.3,3.9,2.2,4.8,3.6,-2.5,-2.1,1.8,8.7,-4,10.1,3.2,0.6,-1.9,3.5,4.3,4.4,4.8,0,-0.4,12.2,-0.2,-1,16.9,0.2,-1.8,6.1,9,0.2,10.3,-9.4,-7.3,8.2,4.7
"20","12","    Change in private inventories \1\","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","13","Services \2\","A341RL1",1.3,3.1,3.3,0.3,2.9,3.8,0.4,4.3,1.3,3.5,3.2,3.3,2.3,5.5,2.9,3.8,3.2,3.5,4.8,4.9,2.8,5.6,1.3,3.3,2.8,2.2,1.6,2.1,3.7,3,1.9,1.7,0.6,3.7,1.9,2.1,3.7,1.9,2.4,3.3,2.6,1.9,3.1,0.8,3.4,2,2,3.6,2.7,2.1,3.1,1.8,1.5,1.5,-0.4,0.7,-0.9,1.4
"22","14","Structures","A755RL1",-0.8,-2.6,5.4,2.6,7.3,14.7,3.6,8.9,4.2,-0.7,3.8,-1.3,1.1,17.9,10.7,3.8,1.9,-0.5,2,7.2,5.9,1.3,2.2,0.8,-1.4,9.7,-5.1,-8.3,-0.1,-2.8,-3.1,2.7,0.4,7.5,13.9,3.8,0.6,10.4,0.8,-0.9,5.5,4.7,-0.3,1.7,0.9,-2.5,-9.8,-10.5,-2.2,2.3,-2.1,-9.4,-10.7,1.3,-5.5,-12.9,-34,-9.9
"23",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","15","  Motor vehicle output","A953RL1",-5.7,-10.2,-4.4,28.1,-33.3,63.9,1.5,-15.9,17.2,-1.8,29.9,19.9,-7.2,-0.6,1.7,63.5,-10.1,2.6,13.4,8.3,6.2,-14.4,-18,-13.2,-15.5,33.8,-6,20.2,19.6,6.1,14.5,-12.5,-10.4,23,0.7,4.3,3.2,-6,20,-1.2,1.4,6.5,23.5,-27,14.4,-7.6,4,-10.2,-0.8,6.2,3.5,-10.3,-21.6,-36.2,-6.6,-50.5,-64.5,14.6
"25","16","  Gross domestic product excluding motor vehicle output","A962RL1",1.3,1.3,3.7,1.9,4.5,5.4,3.6,5.3,2.6,6.4,4.2,2.5,4.3,3.8,5.5,5.3,4.2,3.2,4.9,7.3,0.8,9.1,1.1,3,-0.8,1.7,-0.9,0.8,2.9,2,1.6,0.6,2.1,2.6,7.1,3.6,2.8,3.2,2.4,3.7,4.1,1.6,2.4,3.3,5.1,1.8,0,3.4,1.3,3.1,3.6,2.5,-0.1,2.6,-2.6,-4.1,-4.9,-1.2
"26","17","  Final sales of computers \3\","BB01RL1",82,59.8,48.6,86.3,67.6,40.9,50.3,41.4,67.3,59.3,63.8,16,42.8,46.7,54.9,44.4,55.4,47.8,32.2,-4,58.2,48.4,12.1,21.8,41.3,-13.4,-17.6,21.2,-3.5,0.5,25.2,12.1,11.4,-0.5,66.3,16.6,-22.4,-0.9,5.7,29.9,7.7,33.3,17.5,35,33.3,19.1,12.5,22.4,3.1,28.4,60.9,33.7,9.8,29.1,-3.6,2.9,11.2,-6.5
"27","18","  Gross domestic product excluding final sales of computers","BB00RL1",0.4,0.4,3,2.2,2.2,6.8,3.1,4.1,2.5,5.6,4.6,2.9,3.4,3.2,4.9,6.8,3.2,2.7,4.9,7.5,0.6,7.6,0.2,2.2,-1.7,2.8,-0.9,1.3,3.5,2.1,1.8,0,1.6,3.3,6.5,3.6,3.1,2.9,3,3.4,4,1.5,3,1.9,5.2,1.3,0,2.8,1.2,3.1,3.3,2,-0.8,1.3,-2.7,-5.4,-6.5,-1
"28","19","  Gross domestic purchases excluding final sales of computers to domestic purchasers","BB05RL1",0.8,0.1,1.2,2,3.4,7,4.3,2.2,3.7,5.3,5.2,4,4.8,4.8,5.8,6.5,4.5,3.7,5.6,7.5,2.2,7.8,1,2.5,-1.8,2.4,-0.2,1.5,3.7,2.8,2.4,1.4,1.1,3.9,5.9,3.6,3.3,4.3,3.3,3.8,3.5,1.3,3.1,2.5,4.4,1.2,0.6,0.9,1.2,2.4,1.9,-0.5,-1.2,-1,-2.4,-5.4,-8.6,-2.4
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","1. Prior to 1959, inventories held by construction establishments are included in nondurable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","goods. Beginning with 1959, these inventories are included in durable goods.  Estimates for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","durable goods and nondurable goods for 1996 and earlier periods are based on the 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Standard Industrial Classification (SIC); later estimates for these industries are based on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2. Includes government consumption expenditures, which are for services (such as education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","and national defense) produced by government. In current dollars, these services are valued",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","at their cost of production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","3. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
