"","Table 1#3#4# Price Indexes for Gross Value Added by Sector      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2009     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/10/2009 9:47:30 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","    Gross domestic product","B191RG3",81.533,83.083,84.554,85.507,86.766,88.648,90.654,92.113,94.099,96.769,100,103.263,106.221,108.481
"9","2","Business \1\","B195RG3",85.108,86.449,87.827,88.42,89.129,90.763,92.356,93.084,94.412,96.85,100,102.934,105.626,107.225
"10","3","  Nonfarm \2\","B358RG3",84.744,85.914,87.515,88.181,89.044,90.784,92.299,93.116,94.341,96.597,100,103.027,105.434,107.039
"11","4","  Farm","B359RG3",122.609,142.888,121.29,114.167,97.842,88.126,98.049,89.075,100.941,120.773,100,93.865,126.869,127.716
"12","5","Households and institutions","B193RG3",72.483,74.76,76.523,78.9,81.699,84.082,87.628,91.583,95.02,97.691,100,104.093,107.185,112.593
"13","6","  Households","B701RG3",75.568,78.116,80.123,82.964,84.883,87.005,90.731,94.445,96.9,98.101,100,102.986,105.895,112.599
"14","7","  Nonprofit institutions serving households \3\","B702RG3",68.568,70.507,71.965,73.768,77.654,80.371,83.687,87.951,92.616,97.151,100,105.61,108.958,112.557
"15","8","General government \4\","B765RG3",68.724,70.67,72.354,73.995,77.023,79.947,82.961,86.443,91.111,95.271,100,104.635,109.301,112.75
"16","9","  Federal","B766RG3",65.246,68.029,69.856,71.205,73.794,76.764,78.848,83.726,88.735,94.536,100,105.063,109.953,112.192
"17","10","  State and local","B767RG3",70.293,71.818,73.431,75.205,78.428,81.331,84.748,87.633,92.154,95.594,100,104.448,109.016,112.994
"18",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","11","  Gross housing value added","A2009G3",75.656,78.015,80.012,82.724,84.718,86.918,90.64,94.33,96.794,98.047,100,102.932,106.039,113.212
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","3. Equals compensation of employees of nonprofit institutions, the rental value of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","nonresidential fixed assets owned and used by nonprofit institutions serving households,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","and rental income of persons for tenant-occupied housing owned by nonprofit institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","4. Equals compensation of general government employees plus general government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
