"","Table 3#10#5# Government Consumption Expenditures and General Go","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2009     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/10/2009 9:50:51 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","      Government consumption expenditures \1\","A955RC1",1141.4,1176.7,1222.1,1263.2,1343.9,1426.6,1524.4,1639.9,1756.8,1860.4,1977.9,2093.3,2214.9,2386.9
"9","2","        Gross output of general government","W101RC1",1327.7,1372,1426.5,1477.8,1567.8,1669.5,1786.5,1913.5,2044,2164.5,2299.4,2431.3,2575.2,2772.5
"10","3","          Value added","W102RC1",884.8,911.3,940.3,972.5,1021.6,1078.8,1139.6,1211.4,1292.2,1359.3,1436.5,1512,1601.8,1688.4
"11","4","            Compensation of general government employees","A194RC1",743.5,766.8,792.2,820.7,863.1,912,967.1,1034.1,1109.4,1165.9,1227.8,1287.3,1359.4,1428.9
"12","5","            Consumption of general government fixed capital \2\","A265RC1",141.2,144.5,148.1,151.9,158.5,166.8,172.5,177.3,182.8,193.4,208.7,224.7,242.4,259.5
"13","6","          Intermediate goods and services purchased \3\","W104RC1",443,460.7,486.2,505.2,546.2,590.7,646.8,702.1,751.8,805.2,863,919.4,973.5,1084.1
"14","7","            Durable goods","W105RC1",38.1,38.5,39.5,41.1,43.9,45,46.4,47.8,49.5,53.1,54.6,58.7,63,71.2
"15","8","            Nondurable goods","W106RC1",99.4,106.1,111.6,114.4,123.2,144.9,155.4,159.7,171.2,189.3,217.6,233.7,252.5,296.5
"16","9","            Services","W107RC1",305.5,316.1,335,349.7,379.1,400.8,445,494.7,531,562.8,590.8,627,658,716.3
"17","10","        Less: Own-account investment \4\","W108RC1",14.8,15,16.2,16.7,17.3,18.1,20.8,21.5,21.6,22.6,23.8,25.3,27,29
"18","11","              Sales to other sectors","W109RC1",171.5,180.3,188.3,197.8,206.5,224.8,241.3,252.2,265.6,281.5,297.8,312.7,333.3,356.6
"19","12","Federal consumption expenditures \1\","A957RC1",440.1,446.5,457.5,454.6,473.3,496,530.2,590.5,660.3,721.4,765.8,811,848.8,934.4
"20","13","      Gross output of general government","W110RC1",450.8,457.7,466.6,464.7,481.8,505.8,539.3,599.8,670.1,732,779.6,823.8,861.7,947.7
"21","14","        Value added","W111RC1",283.6,287.6,290,292.2,300.4,315.1,324.9,351.8,382.9,412,438.7,460.6,485.7,515.2
