"","Table 1#5#2# Contributions to Percent Change in Real Gross Domes","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"1","; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1995 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2009     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/10/2009 9:47:49 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1995,1995,1995,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2
"9",NA,"Percent change at annual rate:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1","    Gross domestic product","A191RL1",1,0.9,3.4,2.8,2.8,7.1,3.5,4.4,3.1,6.1,5.1,3.1,3.8,3.6,5.4,7.1,3.6,3.2,5.2,7.4,1.1,8,0.3,2.4,-1.3,2.6,-1.1,1.4,3.5,2.1,2,0.1,1.6,3.2,6.9,3.6,2.8,2.9,3,3.5,4.1,1.7,3.1,2.1,5.4,1.4,0.1,3,1.2,3.2,3.6,2.1,-0.7,1.5,-2.7,-5.4,-6.4,-1
"11",NA,"Percentage points at annual rates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2","Personal consumption expenditures","DPCERY2",0.29,2.19,2.42,1.91,2.49,3.13,1.64,2.22,2.73,1.13,4.56,3.06,2.67,4.62,3.61,4.19,2.67,4.26,3.31,3.93,4.16,2.67,2.67,2.43,1.08,1.03,1.2,4.33,0.97,1.41,1.89,0.98,1.43,2.61,3.96,1.56,2.68,1.53,2.4,3.23,2.11,2.68,1.99,0.71,3.08,1.48,1.7,2.79,2.54,0.81,1.35,0.86,-0.39,0.06,-2.49,-2.15,0.44,-0.88
"13","3","  Goods","DGDSRY2",-0.49,0.66,1.19,0.93,0.79,1.94,0.71,1.19,1.32,-0.06,2.5,1.31,0.75,2.5,1.48,2.95,1.21,2.3,1.2,1.74,1.5,0.58,1.05,0.88,0.25,0.28,0.73,3.54,-0.2,0.46,1.25,0.27,0.69,1.69,2.68,0.49,0.99,0.42,1.15,1.23,0.95,1.35,0.74,-0.29,1.76,0.15,0.78,1.39,0.93,0.05,0.75,0.71,-1.24,-0.12,-1.89,-2.41,0.56,-0.92
"14","4","    Durable goods","DDURRY2",-0.73,0.34,0.96,0.6,0.38,1.11,0.25,0.67,0.93,-0.1,1.5,0.88,0.29,1.75,1.03,2.11,0.09,1.72,0.9,0.47,2.04,-0.67,0.62,0.27,0.61,-0.02,0.43,3.01,-0.44,0.39,1.08,-0.5,0.03,1.4,1.47,0.24,0.4,0.26,0.7,0.58,0.24,0.98,0.41,-0.89,1.35,-0.09,0.37,0.46,0.45,0.18,0.42,0.44,-0.75,-0.46,-0.95,-1.64,0.28,-0.52
"15","5","      Motor vehicles and parts","DMOTRY2",-0.64,-0.01,0.34,0.24,0.15,0.23,-0.03,0.12,0.62,-0.48,0.89,0.38,-0.41,1.05,0.21,1.36,-0.72,1.04,0.05,-0.45,1.23,-1.11,0.25,0.04,0.4,-0.25,0.17,2.16,-1.17,0.08,0.94,-0.93,0.01,0.61,0.44,-0.28,-0.01,-0.06,0.16,0.13,-0.24,0.48,0.12,-1.53,0.46,0,0.21,-0.02,0.08,0.05,-0.1,0.06,-0.5,-0.63,-0.64,-0.84,0.14,-0.27
"16","6","      Furnishings and durable household equipment","DFDHRY2",-0.06,0.07,0.12,0.09,-0.06,0.28,0,0.17,0.03,0.03,0.17,0.1,0.2,0.12,0.18,0.26,0.23,0.19,0.27,0.26,0.21,0.16,0.11,0.05,0.12,0.07,0.08,0.25,0.27,0.07,-0.01,0.14,-0.04,0.3,0.34,0.14,0.11,0.11,0.19,0.08,0.07,0.13,0.14,0.21,0.22,-0.09,0.04,0.04,0.15,-0.08,0.07,0.06,-0.13,0.05,-0.22,-0.27,-0.13,-0.15
"17","7","      Recreational goods and vehicles","DREQRY2",0.03,0.24,0.49,0.22,0.21,0.46,0.24,0.3,0.26,0.35,0.34,0.28,0.41,0.42,0.56,0.41,0.4,0.43,0.45,0.43,0.58,0.14,0.24,0.21,0.15,0.26,0.21,0.47,0.34,0.15,0.13,0.19,0.11,0.4,0.56,0.28,0.27,0.21,0.33,0.28,0.34,0.27,0.18,0.35,0.53,0.06,0.18,0.44,0.22,0.16,0.38,0.33,-0.04,0.25,-0.06,-0.3,0.2,-0.09
"18","8","      Other durable goods","DODGRY2",-0.06,0.04,0.02,0.05,0.09,0.14,0.03,0.09,0.02,0,0.1,0.11,0.09,0.15,0.08,0.09,0.18,0.06,0.13,0.23,0.02,0.14,0.03,-0.03,-0.06,-0.1,-0.03,0.13,0.12,0.08,0.03,0.09,-0.05,0.09,0.13,0.1,0.03,-0.01,0.02,0.09,0.06,0.1,-0.02,0.09,0.14,-0.05,-0.06,0.01,0,0.05,0.07,-0.01,-0.07,-0.13,-0.03,-0.21,0.07,-0.02
"19","9","    Nondurable goods","DNDGRY2",0.23,0.32,0.23,0.33,0.41,0.83,0.46,0.52,0.39,0.04,1,0.44,0.46,0.75,0.45,0.84,1.12,0.58,0.3,1.27,-0.54,1.25,0.42,0.61,-0.36,0.3,0.3,0.53,0.25,0.08,0.17,0.77,0.66,0.29,1.21,0.25,0.58,0.17,0.45,0.64,0.71,0.38,0.33,0.6,0.41,0.24,0.4,0.93,0.48,-0.13,0.33,0.27,-0.49,0.35,-0.94,-0.78,0.29,-0.4
"20","10","      Food and beverages purchased for off-premises consumption","DFXARY2",-0.04,-0.12,0,0.11,0.11,0.11,-0.04,0.08,0.17,-0.12,0.14,0,-0.02,0.18,0.15,0.16,0.26,0.22,0.19,0.34,-0.22,0.32,0.03,0.21,-0.08,0.14,-0.08,0.04,-0.09,0.03,0.08,0.18,0.29,-0.19,0.32,-0.11,0.38,0.04,0.12,0.28,0.3,0.07,0.36,0.15,0.06,0.23,0.07,0.33,0.1,-0.14,0.09,0.22,0.05,0.03,-0.29,-0.41,0.03,0.25
