"","Table 5#3#1# Percent Change From Preceding Period in Real Privat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Percent]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2009     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/10/2009 9:52:13 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","    Private fixed investment","A007RL1",6.4,9,9.2,10.9,9.3,7.4,-1.9,-4.2,3.2,7.3,6.5,2.3,-2.1,-5.1
"9","2","Nonresidential","A008RL1",10.5,9.3,12.1,12,10.4,9.8,-2.8,-7.9,0.9,6,6.7,7.9,6.2,1.6
"10","3","  Structures","B009RL1",6.4,5.7,7.3,5.1,0.1,7.8,-1.5,-17.7,-3.8,1.1,1.4,9.2,14.9,10.3
"11","4","    Commercial and health care","W001RL1",5.9,7.7,10.5,6.2,3.6,6.7,-4.8,-15.3,-6.3,2.5,-0.9,6.1,9.9,-1.8
"12","5","    Manufacturing","C307RL1",17.9,5.1,-4.5,3.4,-16.6,3.1,-2.8,-41.6,-7.3,4.9,17.3,10.3,22.5,25.4
"13","6","    Power and communication","W003RL1",2.1,-14,-3.6,17.4,18,15.3,3.2,-2.4,-7.9,-17,-2.3,7.8,34,18.4
"14","7","    Mining exploration, shafts, and wells","E318RL1",-15.1,6.6,17.6,-12.5,-15.4,24.8,17.9,-26.9,14.1,16.4,10.3,14.5,10,16.1
"15","8","    Other structures \1\","W004RL1",11.9,17.6,13.4,5.3,0.1,3,-4.7,-15.7,-3.4,1.4,-5.5,9.2,16.2,11.1
"16","9","  Equipment and software","B010RL1",12,10.6,13.8,14.5,14.1,10.5,-3.2,-4.2,2.5,7.7,8.5,7.4,2.6,-2.6
"17","10","    Information processing equipment and software","A679RL1",17.3,19.8,23.3,22.8,22.5,18,-0.4,-2.8,6.8,9.4,7.3,8.3,8,6
"18","11","      Computers and peripheral equipment","B935RL1",50.8,44.4,45,45.4,42.1,21.3,2.5,4.8,8.9,11.4,11.7,23.1,17.7,8.4
"19","12","      Software \2\","B985RL1",10,17.3,29.5,20.8,23.3,13.8,0.7,-0.1,7,10.3,6.5,4.2,6.3,6.4
"20","13","      Other \3\","A937RL1",7.6,9.6,8.6,12.6,11.5,20.3,-3.1,-9.1,5.4,7.4,6.1,7.2,5.8,4.4
"21","14","    Industrial equipment","A680RL1",9.8,3.7,2.2,4.4,0.6,8.6,-7.4,-6.7,-0.2,-2.8,8.3,8.3,4.7,-3.5
"22","15","    Transportation equipment","A681RL1",8.2,4,8.3,9.3,17.5,-2.2,-8.9,-9.1,-8.9,15.6,11.9,8.1,-9.7,-27.3
"23","16","    Other equipment \4\","A862RL1",5.4,3.8,9.7,10.2,2.6,5.6,-0.8,-0.7,4.6,6.1,8.8,3.7,-0.8,-2.1
"24","17","Residential","A011RL1",-3.3,8,1.9,7.7,6.3,1,0.6,5.2,8.2,9.8,6.2,-7.3,-18.5,-22.9
"25","18","  Structures","A012RL1",-3.4,8.2,1.9,7.7,6.2,0.9,0.5,5.3,8.2,9.8,6.3,-7.5,-18.8,-23.2
"26","19","    Permanent site","A943RL1",-6.6,9.4,0.5,9.5,7.4,0.8,0.6,4,9.8,11.6,7.1,-8.7,-25.5,-33.5
"27","20","      Single family","A944RL1",-9.2,9.2,-0.3,10.9,7.4,1.1,0.1,3.9,10.7,12,6.7,-9.8,-27.4,-36.7
"28","21","      Multifamily","C292RL1",23.9,10.6,7.7,-1.1,7.9,-1.7,4.3,5.3,2.6,7.8,10,0.7,-10.1,-14.8
"29","22","    Other structures \5\","A863RL1",1.4,6.5,3.9,5.2,4.3,1,0.4,7.1,6,7,4.9,-5.3,-7.8,-9.5
"30","23","  Equipment","B013RL1",1.3,-0.5,-0.8,7.4,11,7,2.6,4,6.8,10.9,4.5,3.8,-0.2,-3
"31",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","24","  Private fixed investment in structures","A349RL1",0.4,7.1,4.1,6.6,3.6,3.7,-0.3,-4.3,3.9,6.9,4.7,-2.1,-6.2,-7.5
"33","25","  Private fixed investment in equipment and software","A327RL1",11.8,10.5,13.6,14.4,14.1,10.4,-3.2,-4.1,2.6,7.8,8.5,7.4,2.5,-2.6
"34","26","  Private fixed investment in new structures \6\","W040RL1",0.4,6.8,3.6,6.2,3.4,3.7,-0.8,-4.9,3.2,5.8,4.3,-1.1,-5.3,-6.5
"35","27","    Nonresidential structures","A771RL1",6.3,5.5,6.9,5.5,0.1,7.8,-2.4,-16.8,-3.8,0.8,1.2,9.3,15.1,10.2
"36","28","    Residential structures","A756RL1",-3.8,7.9,1.1,6.8,6,0.5,0.5,4.7,7.7,8.6,5.9,-6.8,-19.2,-23.5
"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","1. Consists primarily of religious, educational, vocational, lodging, railroads, farm, and amusement and recreational",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","structures, net purchases of used structures, and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","3. Includes communication equipment, nonmedical instruments, medical equipment and instruments, photocopy and related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","equipment, and office and accounting equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","4. Consists primarily of furniture and fixtures, agricultural machinery, construction machinery, mining and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","oilfield machinery, service industry machinery, and electrical equipment not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","5. Consists primarily of manufactured homes, improvements, dormitories, net purchases",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","of used structures, and brokers' commissions on the sale of residential structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","6. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
