"","Table 3#1# Government Current Receipts and Expenditures         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2009     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/10/2009 9:49:57 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","    Current receipts","W021RC1",2215.5,2380.4,2557.2,2729.8,2902.5,3132.4,3118.2,2967.9,3043.4,3265.7,3659.3,3995.2,4209.2,4057.6
"9","2","Current tax receipts","W054RC1",1516.7,1641.5,1780,1910.8,2035.8,2202.8,2163.7,2002.1,2047.9,2213.2,2546.8,2807.4,2960.6,2758
"10","3","  Personal current taxes","W055RC1",743.9,832,926.2,1026.4,1107.5,1232.3,1234.8,1050.4,1000.3,1047.8,1208.6,1352.4,1490.9,1432.4
"11","4","  Taxes on production and imports","W056RC1",557.9,580.8,611.6,639.5,673.6,708.6,727.7,762.8,806.8,863.4,930.2,986.8,1028.7,1047.3
"12","5","  Taxes on corporate income","W025RC1",211,223.6,237.1,239.2,248.8,254.7,193.5,181.3,231.8,292,395.9,454.2,426.7,263.3
"13","6","  Taxes from the rest of the world","W008RC1",3.9,5.2,5.1,5.7,5.9,7.3,7.7,7.6,9,10,12.1,14,14.2,15
"14","7","Contributions for government social insurance","W782RC1",535.5,557.9,590.3,627.8,664.6,709.4,736.9,755.2,782.8,831.7,877.4,926.4,964.2,995.6
"15","8","Income receipts on assets","W058RC1",91.8,99.9,103.6,102.7,106.4,118.8,114.6,99.9,96.8,100.3,111.9,129.6,143.3,144.2
"16","9","  Interest and miscellaneous receipts \1\","W059RC1",90.8,98.6,102.1,101.1,104.9,117.4,113.2,98.3,95,98.3,109.6,127,140.6,140.7
"17","10","  Dividends","W065RC1",1,1.4,1.5,1.6,1.5,1.4,1.4,1.6,1.7,2.1,2.3,2.6,2.7,3.5
"18","11","Current transfer receipts","W060RC1",58.4,66.8,69.3,75.3,81.7,92.3,98.9,104.3,108.9,119.3,126.7,136,147.7,166.7
"19","12","  From business (net)","W061RC1",25.7,31.8,31.1,35.4,37.6,43.6,46,47.9,48.8,52.5,55.2,59.6,65.4,78.8
"20","13","  From persons","W062RC1",32.6,34.9,38.2,39.9,44.1,48.8,52.9,56.4,60.2,66.7,71.4,76.4,82.3,87.9
"21","14","Current surplus of government enterprises \2\","A108RC1",13.1,14.4,14.1,13.3,14.1,9.1,4,6.3,7,1.2,-3.5,-4.2,-6.6,-6.9
