"","Table 2#1# Personal Income and Its Disposition                  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2009     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/10/2009 9:49:12 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","Personal income","A065RC1",6200.9,6591.6,7000.7,7525.4,7910.8,8559.4,8883.3,9060.1,9378.1,9937.2,10485.9,11268.1,11894.1,12238.8
"9","2","  Compensation of employees, received","W209RC1",4178.8,4387.7,4668.6,5023.9,5348.8,5788.8,5979.3,6110.8,6367.6,6708.4,7060,7475.7,7862.7,8042.4
"10","3","    Wage and salary disbursements","A576RC1",3418,3616.3,3876.6,4181.6,4460,4827.7,4952.2,4997.3,5139.6,5425.7,5701,6068.9,6408.9,6545.9
"11","4","      Private industries","A132RC1",2789,2968.3,3204.8,3480.4,3726.3,4048,4130.3,4124.2,4226.3,4472.9,4709.5,5033.7,5319.8,5404.6
"12","5","      Government","B202RC1",629,648.1,671.8,701.2,733.7,779.7,821.9,873.1,913.3,952.8,991.5,1035.2,1089.1,1141.3
"13","6","    Supplements to wages and salaries","A038RC1",760.8,771.4,792,842.3,888.8,961.2,1027.1,1113.5,1228,1282.7,1359.1,1406.9,1453.8,1496.6
"14","7","      Employer contributions for employee pension and insurance funds","B040RC1",496.7,496.6,502.4,535.1,565.4,615.9,669.1,747.4,845.6,874.6,931.6,960.1,993,1023.9
"15","8","      Employer contributions for government social insurance","B039RC1",264.1,274.8,289.6,307.2,323.3,345.2,358,366.1,382.4,408.1,427.5,446.7,460.8,472.7
"16","9","  Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1",516,583.7,628.2,687.5,746.8,817.5,870.7,890.3,930.6,1033.8,1069.8,1133,1096.4,1106.3
"17","10","    Farm","B042RC1",23.4,38.4,32.6,28.9,28.5,29.6,30.5,18.5,36.5,49.7,43.9,29.3,39.4,48.7
"18","11","    Nonfarm","A045RC1",492.6,545.2,595.6,658.7,718.3,787.8,840.2,871.8,894.1,984.1,1025.9,1103.6,1056.9,1057.5
"19","12","  Rental income of persons with capital consumption adjustment","A048RC1",154.6,170.4,176.5,191.5,208.2,215.3,232.4,218.7,204.2,198.4,178.2,146.5,144.9,210.4
"20","13","  Personal income receipts on assets","W210RC1",1005.4,1080.7,1165.5,1269.2,1246.8,1360.7,1346,1309.6,1312.9,1408.5,1542,1829.7,2031.5,1994.4
