"","Table 3#11#3# Real National Defense Consumption Expenditures and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"11","3","  Gross output of general government","W085RA3",83.862,83.369,82.994,80.291,81.04,82.377,81.152,81.615,79.302,81.402,79.726,80.187,76.029,78.358,78.95,78.374,77.811,77.267,79.54,81.759,76.66,80.244,78.342,78.24,80.517,80.68,81.303,82.568,84.57,85.628,87.156,89.221,88.434,96.44,94.793,96.388,98.013,98.379,100.883,98.088,99.58,99.775,102.41,98.235,100.842,100.413,100.446,101.693,100.117,101.398,104.253,104.118,105.727,106.345,111.26,112.152,110.813,113.966
"12","4","    Value added","W086RA3",106.041,105.1,104.095,102.223,101.61,101.395,100.855,99.587,98.893,98.092,97.788,96.745,96.157,95.38,95.23,94.245,93.593,93.207,93.348,93.185,92.504,92.8,92.766,92.53,92.777,92.861,92.947,92.947,94.029,94.686,95.018,94.744,96.408,97.456,97.707,97.781,98.744,98.541,99.363,99.9,100.077,99.802,99.945,100.176,99.072,98.94,99.895,100.112,99.455,99.322,100.442,100.882,101.856,102.893,104.945,106.4,107.59,109.626
"13","5","      Compensation of general government employees","B237RA3",107.74,106.526,105.202,102.602,101.87,101.752,101.119,99.437,98.585,97.596,97.332,96.02,95.377,94.43,94.37,93.08,92.256,91.806,92.111,91.973,91.089,91.599,91.62,91.377,91.834,92.013,92.19,92.226,93.738,94.626,95.054,94.621,96.8,98.099,98.33,98.285,99.42,98.988,99.89,100.408,100.43,99.862,99.817,99.891,98.23,97.83,98.853,98.918,97.844,97.391,98.511,98.678,99.471,100.475,102.919,104.697,105.774,107.847
"14","6","        Military","B4080A3",100.066,99.012,97.477,96.323,95.676,94.739,94.471,93.613,92.792,91.942,92.163,91.428,90.818,89.94,90.094,89.171,88.332,87.958,88.765,88.555,88.419,88.454,89.685,90.12,90.799,91.06,90.698,91.361,93.88,94.404,94.649,94.378,97.712,100.491,100.148,99.501,101.148,100.166,100.078,101.023,101.039,99.838,99.4,99.722,97.588,97.019,98.208,97.819,96.688,96.099,97.512,97.266,98.625,99.362,102.198,104.634,106.074,108.592
"15","7","        Civilian","W090RA3",122.674,121.142,120.236,114.787,113.883,115.401,114.03,110.689,109.787,108.528,107.31,104.878,104.167,103.084,102.604,100.6,99.804,99.205,98.541,98.542,96.204,97.635,95.31,93.782,93.811,93.823,95.034,93.842,93.387,94.981,95.776,95.032,94.863,93.158,94.58,95.776,95.859,96.54,99.455,99.094,99.126,99.913,100.709,100.251,99.619,99.589,100.249,101.312,100.365,100.219,100.682,101.783,101.297,102.907,104.457,104.744,104.996,106.061
"16","8","      Consumption of general government fixed capital \2\","B432RA3",102.762,102.379,102.024,101.647,101.295,100.88,100.539,100.168,99.814,99.431,99.031,98.584,98.122,97.731,97.377,97.082,96.825,96.588,96.351,96.13,95.925,95.713,95.551,95.326,95.067,94.919,94.78,94.693,94.664,94.704,94.789,94.949,95.174,95.503,95.813,96.232,96.68,97.166,97.743,98.332,98.974,99.617,100.345,101.064,101.737,102.474,103.206,103.908,104.613,105.548,106.663,108.004,109.581,110.723,111.471,111.855,113.428,115.325
"17","9","    Intermediate goods and services purchased \3\","W087RA3",59.705,59.667,59.917,56.454,58.545,61.426,59.524,61.737,57.812,62.865,59.803,61.791,54.008,59.53,60.881,60.737,60.279,59.573,64.083,68.783,59.052,66.108,62.241,62.287,66.695,66.943,68.135,70.755,73.762,75.26,78.106,82.774,79.182,95.209,91.378,94.728,97.137,98.184,102.678,95.947,98.993,99.741,105.363,95.903,103.014,102.209,101.108,103.6,100.871,103.933,108.965,108.119,110.519,110.626,119.003,119.212,114.695,119.272
"18","10","      Durable goods","B998RA3",76.158,68.699,82.573,66.026,68.114,77.322,76.637,69.121,71.426,76.879,71.088,72.952,69.939,71.555,77.715,75.559,70.392,80.012,85.569,77.195,78.496,78.049,78.422,75.103,73.28,79.464,84.41,75.092,76.334,80.655,86.249,81.86,79.534,91.743,92.437,92.919,94.187,100.498,102.166,98.792,96.061,98.812,102.633,102.493,104.979,105.244,109.123,114.091,109.752,116.106,123.747,126.592,130.006,138.458,145.989,149.329,138.631,153.825
"19","11","        Aircraft","B999RA3",98.353,69.03,101.997,77.771,83.964,86.222,89.33,84.776,89.76,100.427,83.667,94.028,89.982,94.984,98.525,107.042,93.79,107.119,113.411,98.099,102.568,93.42,99.232,88.675,85.391,93.243,108.974,91.098,89.178,95.664,98.836,96.274,93.055,112.905,108.399,112.529,106.969,110.13,117.728,113.15,99.865,99.561,98.613,101.962,97.279,92.973,97.21,111.98,91.444,99.709,108.416,115.061,105.343,113.499,122.228,127.679,126.825,136.5
"20","12","        Missiles","B277RA3",76.092,96.523,106.546,82.604,76.032,94.502,93.962,73.994,71.617,78.553,74.647,75.429,69.12,60.263,102.11,67.161,69.634,70.926,74.673,75.543,71.807,79.593,79.547,88.263,89.302,85.928,85.425,78.246,74.618,69.008,86.44,84.621,68.155,72.527,73.456,86.296,74.617,97.554,73.367,77.77,89.963,101.332,96.402,112.303,117.996,127.77,112.606,120.353,121.86,127.893,131.874,139.189,134.878,136.401,137.189,139.666,126.286,133.368
"21","13","        Ships","B278RA3",85.769,100.391,118.643,54.281,51.825,97.339,70.509,57.979,74.013,73.652,74.703,66.959,71.485,62.241,65.055,64.992,80.144,98.213,105.651,89.827,103.593,108.807,103.316,93.111,91.246,102.694,100.684,82.877,94.311,100.646,112.264,89.448,94.097,100.086,101.35,95.463,93.95,112.54,120.831,98.101,97.434,102.358,113.515,86.693,114.185,95.634,92.04,94.089,101.698,98.362,57.659,60.733,51.516,60.353,56.681,49.231,46.268,52.184
"22","14","        Vehicles","B288RA3",139.818,144.572,154.859,106.427,113.18,115.411,128.844,113.484,138.557,151.108,128.606,126.573,106.886,105.005,102.028,92.546,78.183,80.023,74.496,74.213,51.293,73.512,65.49,64.287,63.911,66.933,75.738,68.679,68.627,65.462,64.281,69.619,63.162,69.453,71.524,70.641,67.592,65.699,74.137,80.345,81.557,90.385,113.238,114.82,125.754,139.121,160.591,165.16,167.213,206.014,217.313,229.584,233.883,267.832,268.16,339.493,222.465,350.921
"23","15","        Electronics","B388RA3",40.471,37.1,41.633,33.566,35.116,45.253,43.306,36.005,39.236,41.007,42.547,38.191,40.499,39.206,40.298,38.383,40.969,46.788,50.526,45.437,50.507,53.526,47.705,52.149,50.446,53.605,53.013,53.895,55.517,59.558,62.526,57.985,63.21,69.787,77.169,66.32,74.316,82.998,83.046,85.599,85.712,94.908,113.053,106.327,110.705,111.966,124.425,120.103,130.965,140.364,155.095,146.946,177.403,193.879,212.317,211.611,186.142,210.021
"24","16","        Other durable goods","B389RA3",62.25,65.093,60.563,63.78,64.476,72.32,70.479,66.073,60.706,61.313,64.85,62.693,58.89,64.822,65.304,62.554,56.905,67.115,74.796,69.989,67.331,68.553,68.518,65.318,64.121,73.647,70.628,65.964,71.792,78.198,83.947,77.876,76.686,87.475,90.239,89.827,102.605,103.561,106.809,99.643,102.481,99.995,100.107,97.417,101.467,104.906,109.387,106.263,108.53,107.221,118.358,120.232,128.611,131.238,135.752,131.508,132.724,138.261
"25","17","      Nondurable goods","B725RA3",52.828,53.795,52.934,47.012,55.444,59.69,59.671,53.267,59.047,54.787,58.513,57.353,57.364,56.249,63.788,59.905,58.284,64.397,77.697,64.833,77.141,73.84,64.149,63.12,66.064,73.318,69.482,77.326,77.163,83.367,78.891,87.496,92.403,91.923,74.038,86.712,103.491,99.586,109.942,84.447,94.641,103.41,106.435,95.514,96.084,93.031,104.415,91.917,101.046,100.118,106.609,91.842,96.54,101.506,106.172,109.163,105.074,113.183
"26","18","        Petroleum products","B780RA3",91.313,82.9,92.103,74.366,91.944,87.424,94.99,70.06,77.905,80.426,76.791,74.061,77.989,77.679,76.107,70.054,75.075,86.279,106.856,65.571,85.976,76.126,75.211,70.779,84.749,85.55,88.601,101.182,97.626,105.162,93.473,118.654,131.268,104.545,56.767,84.932,119.21,102.297,123.906,65.665,83.838,109.492,111.483,95.187,91.877,91.825,113.233,87.346,98.248,102.081,108.695,89.838,90.704,100.683,106.118,107.43,104.757,109.496
"27","19","        Ammunition","B781RA3",32.406,37.422,32.158,27.379,38.658,40.952,31.101,40.781,52.746,41.271,45.69,46.37,43.862,40.004,69.994,56.866,47.306,50.74,65.143,51.271,45.997,44.259,59.158,54.512,52.721,59.509,60.839,59.812,64.356,74.106,75.959,68.861,59.441,76.355,78.235,79.033,91.777,94.599,99.153,98.778,94.579,99.658,106.325,99.437,100.743,97.109,95.421,99.661,96.705,84.603,100.112,86.57,98.313,86.038,94.44,97.851,81.893,92.388
"28","20","        Other nondurable goods","B783RA3",39.21,42.578,38.986,39.487,40.054,50.681,51.594,48.381,48.721,44.43,51.975,50.916,50.593,50.927,48.444,50.974,50.985,55.501,63.224,68.798,85.415,86.77,56.679,61.011,56.837,69.404,57.806,67.226,66.807,69.928,66.988,71.153,76.497,89.003,84.598,90.261,93.507,97.333,98.798,98.599,107.807,97.162,99.905,95.126,101.085,93.129,94.727,93.877,107.631,106.079,106.998,99.516,108.55,112.319,112.706,119.241,120.707,131.401
"29","21","      Services","B489RA3",57.326,58.68,56.327,55.646,57.188,58.707,56.393,61.315,55.255,61.099,57.964,60.255,50.891,57.691,57.661,58.167,58.656,55.517,59.14,67.724,53.986,63.366,59.264,60.011,65.662,64.217,65.198,69.455,73.03,73.662,76.658,82.524,77.937,96.122,92.749,95.722,97.018,97.63,101.998,96.653,99.897,99.48,105.691,94.932,103.547,102.836,99.397,103.265,99.405,102.405,106.859,107.265,109.235,107.391,116.471,115.838,112.198,114.823
"30","22","        Research and development","B784RA3",60.732,56.325,60.015,56.564,62.627,67.047,67.172,57.625,57.888,68.293,63.14,66.01,56.792,59.22,60.651,63.021,64.496,53.193,57.606,63.05,59.185,58.884,51.404,62.219,60.638,62.56,62.526,65.183,68.595,76.697,71.074,89.088,72.943,100.329,80.778,93.369,94.822,101.495,98.355,98.103,99.86,105.623,102.06,92.457,105.305,104.515,99.391,105.011,104.057,101.967,96.802,97.918,100.378,102.828,102.275,115.365,101.177,106.338
"31","23","        Installation support","B911RA3",92.911,95.067,89.365,89.595,90.406,93.866,90.228,94.574,87.873,90.703,88.58,88.305,80.269,87.017,87.177,81.391,82.411,83.841,85.302,94.557,80.424,90.212,89.178,85.226,91.37,88.807,91.575,93.939,98.234,94.998,100.317,101.567,100.217,108.187,115.709,115.935,109.095,104.882,110.627,100.27,95.879,97.001,106.268,100.853,99.334,101.867,96.088,101.817,93.127,93.76,96.583,94.012,93.408,92.217,104.516,102.05,105.654,108.882
"32","24","        Weapons support","B912RA3",42.263,46.4,40.331,39.406,33.018,32.58,30.749,52.467,36.509,44.154,41.953,49.111,31.043,43.988,41.453,47.59,38.954,39.962,45.6,62.981,28.754,54.304,51.435,51.631,62.237,58.867,55.531,60.942,66.252,61.834,76.747,85.32,73.11,90.434,103.024,96.992,91.336,83.895,98.67,88.595,94.398,93.349,115.338,96.914,98.351,107.426,93.148,110.418,92.704,98.317,105.227,102.239,107.434,105.122,136.347,124.256,112.222,112.378
"33","25","        Personnel support","B913RA3",33.923,39.426,34.6,35.329,35.878,35.098,33.491,44.542,37.443,41.433,38.461,40.352,31.278,41.237,40.714,40.656,42.646,42.671,47.366,56.424,39.132,53.04,48.854,44.314,55.71,51.567,53.718,58.503,62.402,61.664,68.613,69.83,64.653,73.788,81.992,84.259,90.885,91.097,99.319,93.369,95.781,94.178,107.406,102.636,107.159,111.424,101.606,103.58,100.087,107.109,117.167,122.505,126.883,124.178,138.19,131.775,134.773,136.039
"34","26","        Transportation of material","B786RA3",72.238,81.689,80.291,84.793,91.294,87.957,75.513,76.782,67.923,68.329,67.487,68.206,69.017,71.259,70.859,70.532,79.746,73.36,69.834,72.139,72.598,70.957,69.898,64.798,66.694,70.339,73.973,88.297,89.489,84.243,74.136,54.144,128.282,198.731,121.528,113.303,127.862,129.64,120.532,111.193,133.133,121.659,95.45,49.758,105.778,63.281,121.791,93.152,119.476,135.067,161.855,161.399,152.975,131.874,109.54,87.563,96.28,98.065
"35","27","        Travel of persons","B785RA3",74.699,69.054,67.171,68.303,69.523,68.564,57.584,73.158,67.371,67.177,67.305,65.634,65.207,65.887,66.65,68.625,71.052,71.867,71.866,72.988,71.402,71.192,71.16,67.638,67.447,68.578,71.676,77.753,73.559,71.732,68.742,62.833,73.178,90.018,88.879,83.983,89.946,97.205,99.289,104.041,130.7,102.804,96.239,70.257,99.208,62.473,95.428,83.744,92.535,92.718,101.56,87.14,80.751,73.35,68.056,76.874,79.533,79.971
"36","28","  Less: Own-account investment \4\","W088RA3",119.663,111.282,112.999,102.476,102.213,102.797,107.28,101.681,112.849,105.426,92.236,84.248,96.746,107.879,96.191,74.719,55.795,100.943,94.349,85.675,67.506,69.188,69.919,72.131,88.801,81.645,84.243,100.837,114.725,118.429,119.696,123.024,116.074,116.347,110.739,115.635,101.966,106.053,106.767,107.998,98.775,99.664,100.226,101.335,96.489,97.158,97.938,99.847,95.654,93.79,92.571,91.32,97.075,97.741,98.745,96.965,108.739,110.796
"37","29","        Sales to other sectors","W089RA3",113.246,77.063,70.411,103.724,86.013,102.719,127.222,110.246,72.518,94.856,80.723,76.829,91.34,24.671,110.357,40.898,30.48,59.685,105.094,64.331,120.116,49.859,80.401,37.854,109.979,51.02,60.423,66.28,56.879,44.191,132.194,62.203,68.132,93.002,96.067,59.554,66.376,77.332,111.309,64.671,105.013,103.612,114.914,76.461,103.382,133.839,114.383,75.057,127.884,100.046,138.171,91.678,79.644,83.504,81.454,82.199,81.89,82.31
"38","30","Gross investment \5\","B788RA3",73.123,73.399,69.306,68.607,73.381,73.749,70.507,64.253,59.655,60.305,66.1,66.016,59.804,62.927,68.576,64.903,61.253,66.495,69.92,67.918,67.282,67.279,68.56,67.994,67.048,71.062,72.745,73.439,73.485,80.149,84.629,83.206,83.268,87.325,89.681,91.733,91.684,93.724,100.116,97.726,95.764,100.344,103.543,100.348,102.97,109.641,104.551,110.675,107.966,114.652,115.949,115.744,120.844,131.867,137.614,139.865,137.493,144.409
"39","31","  Structures","B808RA3",140.055,132.87,135.91,131.447,129.132,128.418,120.035,116.485,114.458,114.754,122.966,113.95,107.854,113.153,114.717,96.785,102.558,99.939,94.515,86.881,88.019,89.916,99.203,91.451,83.825,92.146,85.374,88.805,86.789,91.851,97.928,97.675,108.731,111.883,118.399,115.068,111.173,103.821,106.89,97.096,104.1,98.541,102.966,94.393,95.41,100.068,96.56,107.848,113.218,128.339,122.949,126.274,132.153,139.009,149.119,170.56,177.604,185.02
"40","32","  Equipment and software","B873RA3",67.268,68.077,63.531,63.12,68.334,68.784,65.965,59.577,54.829,55.496,61.045,61.666,55.493,58.416,64.358,61.87,57.464,63.321,67.468,65.959,65.186,65.025,65.602,65.673,65.324,68.931,71.387,71.822,72.067,78.875,83.193,81.659,80.646,84.786,86.725,89.309,89.645,92.635,99.369,97.767,94.845,100.532,103.598,101.025,103.84,110.752,105.479,110.981,107.282,112.92,115.052,114.403,119.402,130.947,136.145,136.004,132.443,139.299
"41","33","    Aircraft","B874RA3",63.579,59.506,52.226,58.47,74.478,66.071,51.124,35.834,28.788,24.069,47.353,57.975,29.88,34.362,47.202,47.787,35.179,39.564,51.693,39.4,56.283,42.918,51.14,42.944,44.203,45.007,69.977,66.672,51.157,66.205,70.393,72.63,65.678,63.606,59.392,69.781,61.442,71.604,86.128,99.689,91.084,99.57,104.41,104.937,97.412,113.578,87.435,107.925,91.754,106.992,97.809,85.136,75.949,109.032,107.724,108.361,106.968,121.516
"42","34","    Missiles","B875RA3",94.874,136.865,122.72,86.89,102.151,100.791,101.377,90.979,70.427,69.026,76.304,76.832,74.624,66.177,113.741,74.795,71.762,71.387,73.173,82.351,62.473,63.278,54.6,101.036,94.015,93.17,81.245,84.717,93.433,88.23,81.755,89.314,74.235,75.338,92.833,121.26,100.378,90.876,111.393,110.537,79.294,112.316,86.754,121.635,116.541,115.85,83.25,130.925,128.68,106.397,95.451,91.3,90.14,107.511,109.52,94.819,111.162,114.059
"43","35","    Ships","B876RA3",109.55,105.871,93.723,88.434,86.766,89.634,81.295,78.2,68.456,81.201,78.028,70.357,77.021,73.677,79.721,84.711,84.603,82.195,80.057,87.029,73.557,81.691,80.216,82.327,86.601,89.682,82.967,88.967,98.64,102.908,106.849,107.972,101.163,119.53,119.525,110.952,113.118,99.287,121.978,99.499,100.996,97.677,109.378,91.95,94.571,105.054,97.244,97.522,89.067,89.991,90.148,98.141,84.285,90.452,92.808,97.863,92.108,96.775
"44","36","    Vehicles","B877RA3",29.704,26.091,29.795,25.084,32.083,28.454,27.994,31.172,31.244,36.18,36.947,33.934,32.752,45.166,39.823,36.218,37.604,45.685,38.562,49.553,46.222,52.011,50.987,41.529,49.621,54.651,44.331,55.5,58.224,68.373,82.384,67.762,94.628,86.565,78.345,68.442,73.508,81.538,66.468,69.174,72.633,110.999,120.93,95.438,119.798,127.283,141.745,124.493,126.879,166.718,174.715,154.115,215.495,212.276,242.27,246.118,211.14,204.439
"45","37","    Electronics and software","B878RA3",54.517,50.308,53.976,51.177,52.471,57.435,58.781,56.761,58.873,59.166,59.819,58.816,61.111,63.877,63.348,62.684,60.714,71.735,73.502,69.987,69.958,72.636,69.832,73.223,70.513,70.685,69.885,71.204,72.342,74.036,76.453,74.2,78.247,77.616,84.244,81.561,82.687,92.907,90.281,92.214,91.165,97.776,106.688,104.37,107.737,110.843,118.264,118.296,124.378,130.599,139.569,138.289,156.461,166.012,175.629,176.241,165.288,176.758
"46","38","    Other equipment","B879RA3",63.625,66.019,60.508,66.989,66.917,71.314,75.013,69.54,65.308,64.905,65.492,64.475,60.68,65.425,65.519,63.887,60.701,67.762,71.789,72.774,66.692,70.264,70.084,66.796,64.579,72.913,69.735,67.751,72.465,79.484,85.34,81.507,81.116,89.268,92.166,94.687,102.206,104.54,106.443,101.44,102.961,99.967,98.964,98.108,104.523,107.826,110.555,109.222,108.336,109.512,116.696,123.291,130.375,134.39,138.894,137.176,139.123,143.196
"47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","1. National defense consumption expenditures are defense services produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","2. Consumption of fixed capital, or depreciation, is included in government gross output as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","a partial measure of the services of general government fixed assets; the use of depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","assumes a zero net return on these assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","3. Includes general government intermediate inputs for goods and services sold to other sectors and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","for own-account investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","4. Own-account investment is measured in current dollars by compensation of general government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","employees and related expenditures for goods and services and is classified as investment in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","structures and in software.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
