"","Table 7#2#5B# Motor Vehicle Output                              ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2009     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/10/2009 9:53:11 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","      Motor vehicle output","A953RC1",277.8,293.4,319.7,340.4,375.3,369.4,349.6,387.1,382.2,398.9,418.9,412.7,403.9,321.2
"9","2","        Auto output","A133RC1",138.6,143,144.6,148.2,152.9,154.4,145.1,152,130.9,133.1,150.3,155.4,152.4,139.1
"10","3","        Truck output","A716RC1",139.3,150.4,175.1,192.1,222.4,215,204.5,235.1,251.2,265.8,268.7,257.2,251.5,182.2
"11","4","Final sales of domestic product","AB60RC1",273.1,294,315,340.4,363.6,358.8,363.2,374,374.4,394.5,422.6,416.4,411.6,330
"12","5","  Personal consumption expenditures","AB61RC1",220.3,235.8,254,280.7,309.7,321.4,342,359.7,358.2,359.5,361.6,346.6,347.8,289.9
"13","6","    New motor vehicles","AB67RC1",147.5,153,162.2,179.4,200.1,210.7,230,243.6,251.6,252.4,248.9,233,233.3,184.5
"14","7","      Autos","A136RC1",82.1,81.8,82.3,86.9,95.4,100.3,98.8,96.1,91.3,91.9,97.4,100,95.9,85.4
"15","8","      Light trucks (including utility vehicles)","B704RC1",65.3,71.2,79.9,92.5,104.6,110.5,131.2,147.5,160.3,160.5,151.4,133.1,137.3,99.1
"16","9","    Net purchases of used autos and used light trucks","W240RC1",72.9,82.9,91.7,101.4,109.6,110.7,112,116.1,106.6,107.1,112.7,113.5,114.5,105.4
"17","10","      Used autos","A137RC1",50.5,54.2,57.1,59.4,60.5,60,58.7,59.2,53.3,52.9,55.7,54.2,51,46.6
"18","11","      Used light trucks (including utility vehicles)","W241RC1",22.4,28.7,34.7,41.9,49.1,50.7,53.3,56.9,53.3,54.2,57,59.3,63.6,58.7
"19","12","  Private fixed investment","AB62RC1",95.7,102.6,111.4,116.5,133,126.5,108.9,105.7,104.1,127.6,148,163.8,144.2,100.3
"20","13","    New motor vehicles","AB68RC1",141.6,156.9,167.8,182,205.5,201.5,181.8,177.2,169.4,190.7,213,230.1,215.3,169.9
"21","14","      Autos","B139RC1",70.1,74,74.8,75.8,82.2,83.6,79.6,78.8,71.4,72.5,77.8,82,83.1,71.3
"22","15","      Trucks","B705RC1",71.6,82.9,93,106.2,123.3,117.9,102.2,98.4,98.1,118.2,135.2,148.2,132.2,98.6
