"","Table 1#3#3# Real Gross Value Added by Sector, Quantity Indexes ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2009     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/10/2009 9:47:29 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","    Gross domestic product","B191RA3",71.953,74.645,77.972,81.367,85.295,88.825,89.783,91.412,93.688,97.036,100,102.673,104.872,105.331
"9","2","Business \1\","B195RA3",68.803,71.937,75.661,79.444,83.883,87.679,88.382,90.11,92.888,96.745,100,103.055,105.362,105.357
"10","3","  Nonfarm \2\","B358RA3",68.983,72.022,75.691,79.569,84.022,87.745,88.518,90.227,92.925,96.753,100,103.115,105.527,105.376
"11","4","  Farm","B359RA3",55.277,63.99,71.077,68.014,71.32,81.884,76.193,79.566,89.74,95.978,100,97.17,89.746,101.368
"12","5","Households and institutions","B193RA3",78.035,79.649,82.346,84.985,87.99,91.358,93.398,94.087,94.119,96.748,100,102.217,104.471,106.118
"13","6","  Households","B701RA3",75.353,76.976,79.545,81.416,85.647,89.553,91.747,91.379,91.057,95.056,100,103.885,106.381,107.745
"14","7","  Nonprofit institutions serving households \3\","B702RA3",81.742,83.335,86.213,90.001,91.164,93.736,95.545,97.765,98.303,99.038,100,100.002,101.94,103.952
"15","8","General government \4\","B765RA3",89.645,89.79,90.472,91.498,92.33,93.936,95.63,97.56,98.731,99.328,100,100.592,102.019,104.247
"16","9","  Federal","B766RA3",99.174,96.447,94.63,93.547,92.781,93.558,93.929,95.78,98.356,99.335,100,99.933,100.688,104.664
"17","10","  State and local","B767RA3",85.707,87.035,88.759,90.665,92.162,94.111,96.351,98.313,98.892,99.324,100,100.882,102.607,104.066
"18",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","11","  Gross housing value added","A2009A3",80.35,81.634,84.019,85.477,89.403,92.771,94.672,93.786,91.965,95.669,100,104.227,107.853,109.488
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","3. Equals compensation of employees of nonprofit institutions, the rental value of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","nonresidential fixed assets owned and used by nonprofit institutions serving households,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","and rental income of persons for tenant-occupied housing owned by nonprofit institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","4. Equals compensation of general government employees plus general government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
