"","Table 2#3#2# Contributions to Percent Change in Real Personal Co","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"1","; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1995 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2009     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/10/2009 9:49:22 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1995,1995,1995,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2
"9",NA,"Percent change at annual rate:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1","    Personal consumption expenditures","DPCERL1",0.5,3.3,3.6,2.8,3.7,4.6,2.4,3.3,4.1,1.6,7,4.7,4,7.1,5.4,6.3,4,6.4,4.9,5.8,6.2,3.8,4,3.6,1.6,1.5,1.8,6.4,1.4,2.1,2.7,1.4,2.1,3.8,5.7,2.2,3.9,2.2,3.5,4.7,3,3.9,2.9,1,4.5,2.2,2.5,4.1,3.7,1.1,1.9,1.2,-0.6,0.1,-3.5,-3.1,0.6,-1.2
"11",NA,"Percentage points at annual rates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2","Goods","DGDSRZ2",-0.73,1,1.78,1.38,1.18,2.86,1.04,1.77,1.97,-0.11,3.83,1.99,1.14,3.8,2.23,4.4,1.81,3.46,1.77,2.56,2.26,0.81,1.55,1.3,0.38,0.41,1.07,5.19,-0.28,0.67,1.81,0.4,1,2.43,3.84,0.7,1.42,0.6,1.66,1.78,1.36,1.97,1.07,-0.4,2.55,0.23,1.13,2.02,1.35,0.07,1.06,1.01,-1.78,-0.18,-2.67,-3.46,0.8,-1.3
"13","3","  Durable goods","DDURRZ2",-1.08,0.52,1.44,0.89,0.56,1.64,0.37,1,1.39,-0.16,2.3,1.33,0.45,2.65,1.54,3.15,0.15,2.59,1.33,0.69,3.03,-0.99,0.93,0.41,0.9,-0.02,0.63,4.41,-0.63,0.56,1.56,-0.7,0.05,2.01,2.11,0.34,0.58,0.36,1.01,0.85,0.34,1.42,0.6,-1.26,1.95,-0.12,0.55,0.67,0.66,0.25,0.6,0.63,-1.07,-0.66,-1.34,-2.34,0.4,-0.74
"14","4","    Motor vehicles and parts","DMOTRZ2",-0.95,-0.01,0.51,0.36,0.22,0.33,-0.04,0.18,0.93,-0.72,1.36,0.57,-0.62,1.6,0.32,2.02,-1.07,1.57,0.07,-0.66,1.83,-1.63,0.37,0.07,0.58,-0.35,0.25,3.17,-1.67,0.12,1.35,-1.32,0.02,0.88,0.63,-0.4,-0.01,-0.08,0.23,0.19,-0.34,0.7,0.18,-2.19,0.66,0,0.31,-0.02,0.12,0.07,-0.14,0.08,-0.72,-0.9,-0.9,-1.21,0.19,-0.38
"15","5","    Furnishings and durable household equipment","DFDHRZ2",-0.09,0.11,0.17,0.14,-0.09,0.42,0.01,0.25,0.04,0.04,0.26,0.15,0.31,0.19,0.27,0.39,0.35,0.29,0.4,0.38,0.31,0.23,0.16,0.07,0.18,0.11,0.12,0.37,0.38,0.11,-0.02,0.21,-0.05,0.43,0.48,0.2,0.16,0.16,0.27,0.12,0.1,0.19,0.2,0.3,0.32,-0.13,0.06,0.05,0.22,-0.12,0.09,0.08,-0.18,0.07,-0.31,-0.39,-0.19,-0.21
"16","6","    Recreational goods and vehicles","DREQRZ2",0.05,0.37,0.73,0.32,0.31,0.68,0.36,0.44,0.39,0.51,0.52,0.43,0.62,0.64,0.83,0.61,0.6,0.65,0.67,0.63,0.86,0.2,0.35,0.3,0.23,0.37,0.31,0.68,0.49,0.22,0.18,0.28,0.16,0.57,0.8,0.4,0.38,0.3,0.47,0.4,0.49,0.39,0.26,0.5,0.77,0.09,0.26,0.63,0.31,0.23,0.55,0.47,-0.06,0.35,-0.09,-0.44,0.29,-0.13
"17","7","    Other durable goods","DODGRZ2",-0.09,0.06,0.02,0.08,0.13,0.2,0.04,0.13,0.03,0,0.16,0.17,0.14,0.22,0.12,0.14,0.26,0.09,0.19,0.33,0.04,0.21,0.04,-0.04,-0.09,-0.15,-0.04,0.19,0.16,0.12,0.04,0.14,-0.07,0.13,0.19,0.14,0.05,-0.01,0.03,0.13,0.09,0.15,-0.03,0.13,0.2,-0.07,-0.08,0.01,0,0.07,0.1,-0.01,-0.11,-0.18,-0.04,-0.31,0.1,-0.02
"18","8","  Nondurable goods","DNDGRZ2",0.35,0.48,0.35,0.49,0.61,1.22,0.67,0.77,0.58,0.06,1.53,0.66,0.69,1.15,0.68,1.25,1.67,0.87,0.44,1.87,-0.77,1.8,0.62,0.9,-0.52,0.43,0.44,0.78,0.35,0.11,0.25,1.1,0.95,0.42,1.73,0.36,0.84,0.24,0.65,0.93,1.02,0.55,0.47,0.86,0.6,0.36,0.59,1.35,0.69,-0.18,0.46,0.39,-0.71,0.49,-1.33,-1.12,0.41,-0.56
"19","9","    Food and beverages purchased for off-premises consumption","DFXARZ2",-0.06,-0.17,0.01,0.16,0.16,0.17,-0.07,0.11,0.25,-0.18,0.21,0,-0.03,0.28,0.23,0.23,0.39,0.33,0.28,0.5,-0.32,0.47,0.04,0.31,-0.11,0.21,-0.11,0.06,-0.13,0.05,0.12,0.26,0.41,-0.27,0.46,-0.15,0.54,0.06,0.17,0.41,0.42,0.1,0.52,0.22,0.08,0.33,0.11,0.48,0.14,-0.2,0.13,0.32,0.06,0.04,-0.4,-0.59,0.05,0.35
"20","10","    Clothing and footwear","DCLORZ2",-0.06,0.2,0.33,0.02,0.13,0.45,0.3,0.11,0.01,-0.16,0.6,0.23,0.38,0.3,-0.13,0.41,0.62,0.15,0.12,0.04,0.27,0.36,0.18,0.14,-0.26,0.1,-0.02,0.27,0.17,0.01,-0.09,0.46,0.02,0.4,0.37,0,0.38,-0.18,0.2,0.3,0.21,0.34,0.02,0.44,0.2,-0.1,0.2,0.25,0.27,-0.02,0.16,0.07,-0.06,0.23,-0.39,-0.3,-0.06,-0.23
