"","Table 1#2#3# Real Gross Domestic Product by Major Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"11","3","       Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","4","Goods","A353RA3",64.919,64.544,65.046,66.256,66.482,68.282,69.831,70.418,71.481,73.67,75.277,76.028,77.399,76.778,78.374,81.079,82.046,82.785,84.184,86.616,85.862,88.918,88.486,88.749,86.722,87.027,85.921,86.657,87.547,87.993,88.87,87.946,88.894,89.07,92.453,94.013,94.419,95.004,96.173,97.515,99.102,99.168,100.233,101.496,104.367,104.828,104.84,106.682,106.466,108.075,109.965,111.986,111.475,111.884,109.865,105.044,102.693,101.618
"13","5","    Final sales","A325RA3",64.334,64.708,65.927,66.922,67.526,68.731,69.363,70.624,71.549,72.209,74.543,74.997,75.616,76.852,78.051,80.682,81.061,82.992,84.304,85.365,86.639,87.595,88.139,88.527,88.886,88.575,87.965,90.246,89.217,88.924,89.633,88.347,89.312,90.427,93.658,94.26,94.287,94.149,95.759,96.873,97.916,100.163,101.344,100.577,103.992,104.254,104.385,107.304,107.68,108.981,110.7,113.391,113.08,114.814,112.492,108.292,108.393,108.136
"14","6","    Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","7","  Durable goods","A354RA3",54.698,54.396,55.575,57.218,57.081,59.046,60.831,61.026,63.201,65.63,67.987,69.091,71.248,70.7,72.975,76.389,77.497,78.105,81.074,83.123,84.25,86.89,86.155,86.447,84.085,83.947,82.044,83.05,84.609,85.188,86.596,85.109,84.961,86.34,89.64,92.397,92.389,93.174,94.86,95.745,98.307,98.613,100.955,102.125,103.865,105.065,106.038,105.832,106.788,108.548,111.419,114.713,114.026,112.766,114.095,106.664,97.531,96.213
"16","8","    Final sales","A326RA3",53.686,54.07,55.687,57.036,57.809,59.427,60.33,61.856,63.207,64.439,67.706,68.186,69.217,70.921,72.809,76.182,76.341,78.988,81.273,81.617,84.933,85.516,86.078,86.282,87.828,86.63,85.171,88.379,85.921,85.854,87.487,84.872,85.057,87.818,91.815,92.288,92.232,92.379,94.657,95.84,96.871,100.021,102.214,100.894,104.737,105.278,105.738,107.638,108.286,111.174,112.999,116.003,115.375,116.215,114.296,108.169,106.357,104.654
"17","9","    Change in private inventories \1\","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","10","  Nondurable goods","A356RA3",79.719,79.234,78.641,79.136,79.931,81.435,82.581,83.769,83.072,84.854,85.296,85.502,85.678,84.952,85.532,87.179,87.932,88.852,88.03,90.99,87.626,91.247,91.237,91.46,89.901,90.794,90.735,91.116,91.13,91.4,91.584,91.376,93.715,92.355,95.835,95.928,96.847,97.195,97.748,99.636,100.054,99.83,99.37,100.745,104.972,104.555,103.439,107.652,106.073,107.503,108.286,108.875,108.564,110.866,105.088,103.152,108.081,107.264
"19","11","    Final sales","A334RA3",79.77,80.115,80.672,81.082,81.405,81.941,82.139,82.968,83.216,82.989,83.88,84.286,84.279,84.806,84.987,86.526,87.214,88.124,88.071,90.126,88.572,90.04,90.562,91.206,89.97,90.839,91.336,92.407,93.231,92.643,92.163,92.564,94.511,93.545,95.823,96.587,96.722,96.249,97.069,98.102,99.155,100.326,100.316,100.203,103.12,103.058,102.806,106.891,106.943,106.449,108.046,110.388,110.434,113.172,110.409,108.327,110.486,111.76
"20","12","    Change in private inventories \1\","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","13","Services \2\","A341RA3",74.896,75.478,76.086,76.149,76.691,77.415,77.499,78.325,78.58,79.268,79.897,80.544,81.01,82.093,82.68,83.448,84.108,84.832,85.824,86.866,87.462,88.654,88.936,89.658,90.28,90.768,91.127,91.592,92.432,93.109,93.537,93.928,94.06,94.917,95.362,95.867,96.75,97.199,97.781,98.579,99.223,99.683,100.445,100.649,101.492,101.995,102.493,103.398,104.08,104.626,105.418,105.898,106.28,106.675,106.575,106.756,106.527,106.907
"22","14","Structures","A755RA3",72.296,71.826,72.769,73.243,74.537,77.133,77.814,79.488,80.311,80.177,80.929,80.666,80.886,84.286,86.457,87.261,87.666,87.55,87.977,89.518,90.815,91.119,91.612,91.806,91.482,93.619,92.397,90.428,90.399,89.761,89.048,89.647,89.728,91.358,94.373,95.252,95.389,97.778,97.981,97.753,99.081,100.218,100.141,100.56,100.775,100.145,97.601,94.939,94.42,94.948,94.44,92.148,89.572,89.87,88.6,85.598,77.143,75.158
"23",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","15","  Motor vehicle output","A953RA3",67.289,65.51,64.769,68.91,62.272,70.459,70.726,67.734,70.474,70.147,74.887,78.363,76.917,76.8,77.133,87.22,84.931,85.476,88.201,89.969,91.325,87.847,83.589,80.672,77.343,83.19,81.915,85.767,89.684,91.027,94.165,91.082,88.607,93.309,93.466,94.444,95.186,93.716,98.085,97.783,98.115,99.667,105.077,97.14,100.471,98.498,99.465,96.827,96.641,98.094,98.937,96.295,90.613,80.999,79.624,66.784,51.533,53.321
"25","16","  Gross domestic product excluding motor vehicle output","A962RA3",71.572,71.808,72.466,72.815,73.617,74.586,75.249,76.231,76.723,77.918,78.733,79.215,80.055,80.808,81.903,82.96,83.825,84.485,85.493,87.022,87.206,89.119,89.366,90.029,89.849,90.23,90.022,90.203,90.858,91.308,91.663,91.798,92.274,92.865,94.471,95.316,95.985,96.743,97.325,98.21,99.212,99.596,100.194,100.999,102.255,102.702,102.698,103.558,103.884,104.687,105.617,106.274,106.254,106.947,106.25,105.145,103.833,103.51
"26","17","  Final sales of computers \3\","BB01RA3",7.645,8.596,9.49,11.087,12.615,13.745,15.218,16.594,18.872,21.203,23.988,24.894,27.215,29.951,33.416,36.628,40.894,45.086,48.343,47.857,53.674,59.24,60.952,64.038,69.825,67.357,64.18,67.344,66.744,66.835,70.697,72.742,74.733,74.631,84.747,88.063,82.642,82.449,83.604,89.258,90.925,97.706,101.725,109.645,117.805,123.074,126.754,133.311,134.334,142.994,161.06,173.179,177.292,188.986,187.25,188.585,193.669,190.446
"27","18","  Gross domestic product excluding final sales of computers","BB00RA3",73.124,73.197,73.744,74.142,74.552,75.784,76.365,77.132,77.618,78.675,79.557,80.137,80.817,81.462,82.446,83.804,84.457,85.031,86.055,87.626,87.747,89.379,89.427,89.915,89.534,90.164,89.956,90.237,91.023,91.506,91.925,91.922,92.278,93.02,94.502,95.331,96.053,96.742,97.448,98.256,99.229,99.608,100.344,100.818,102.104,102.445,102.453,103.173,103.478,104.265,105.118,105.628,105.421,105.764,105.051,103.599,101.866,101.614
"28","19","  Gross domestic purchases excluding final sales of computers to domestic purchasers","BB05RA3",70.481,70.504,70.712,71.071,71.659,72.876,73.644,74.054,74.735,75.706,76.676,77.429,78.335,79.26,80.379,81.649,82.554,83.299,84.443,85.981,86.451,88.093,88.32,88.865,88.471,88.998,88.964,89.301,90.123,90.754,91.284,91.595,91.843,92.734,94.08,94.908,95.683,96.695,97.477,98.382,99.226,99.546,100.308,100.92,102.018,102.329,102.478,102.704,103.015,103.618,104.101,103.98,103.667,103.404,102.791,101.37,99.119,98.522
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","1. Prior to 1959, inventories held by construction establishments are included in nondurable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","goods. Beginning with 1959, these inventories are included in durable goods.  Estimates for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","durable goods and nondurable goods for 1996 and earlier periods are based on the 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Standard Industrial Classification (SIC); later estimates for these industries are based on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2. Includes government consumption expenditures, which are for services (such as education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","and national defense) produced by government. In current dollars, these services are valued",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","at their cost of production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","3. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
