"","Table 5#3#5# Private Fixed Investment by Type                   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2009     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/10/2009 9:52:27 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","    Private fixed investment","A007RC1",1112.9,1209.4,1317.7,1447.1,1580.7,1717.7,1700.2,1634.9,1713.3,1903.6,2122.3,2267.2,2269.1,2170.8
"9","2","Nonresidential","A008RC1",810,875.4,968.6,1061.1,1154.9,1268.7,1227.8,1125.4,1135.7,1223,1347.3,1505.3,1640.2,1693.6
"10","3","  Structures","B009RC1",207.3,224.6,250.3,275.1,283.9,318.1,329.7,282.8,281.9,306.7,351.8,433.7,535.4,609.5
"11","4","    Commercial and health care","W001RC1",83.1,91.5,104.3,116,125.4,139.3,137.3,119.4,115.1,125.3,135.9,156.4,181.9,185.2
"12","5","    Manufacturing","C307RC1",35.5,38.2,37.6,40.5,35.1,37.6,37.8,22.7,21.4,23.7,29.9,35.1,45.3,60.8
"13","6","    Power and communication","W003RC1",33.1,29.2,28.8,34.2,40.4,48.1,51.1,51,48.1,42.8,45.2,53.3,74.8,94.4
"14","7","    Mining exploration, shafts, and wells","E318RC1",15,16.8,22.4,22.3,18.3,23.7,34.6,30.2,38.4,51.9,77.1,114.2,142.5,165.9
"15","8","    Other structures \1\","W004RC1",40.6,48.9,57.2,62.2,64.7,69.4,68.9,59.3,58.9,62.9,63.7,74.6,90.9,103.3
"16","9","  Equipment and software","B010RC1",602.8,650.8,718.3,786,871,950.5,898.1,842.7,853.8,916.4,995.6,1071.7,1104.8,1084.1
"17","10","    Information processing equipment and software","A679RC1",263,290.1,330.3,366.1,417.1,478.2,452.5,419.8,430.9,455.3,475.3,505.2,537.4,562.9
"18","11","      Computers and peripheral equipment","B935RC1",66.1,72.8,81.4,87.9,97.2,103.2,87.6,79.7,77.6,80.2,78.9,84.9,89.2,86.7
"19","12","      Software \2\","B985RC1",74.6,85.5,107.5,126,157.3,184.5,186.6,183,191.3,205.7,218,229.8,245.6,264.1
"20","13","      Other \3\","A937RC1",122.3,131.9,141.4,152.2,162.5,190.6,178.4,157,162,169.4,178.4,190.6,202.5,212.1
"21","14","    Industrial equipment","A680RC1",129,136.5,140.4,147.4,149.1,162.9,151.9,141.7,142.6,142,159.6,178.4,193.2,193.8
