"","Table 1#5#2# Contributions to Percent Change in Real Gross Domes","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","                                                                                                                                                                                                                                                          ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2009     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/10/2009 9:47:46 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8",NA,"Percent change at annual rate:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","    Gross domestic product","A191RL1",2.5,3.7,4.5,4.4,4.8,4.1,1.1,1.8,2.5,3.6,3.1,2.7,2.1,0.4
"10",NA,"Percentage points at annual rates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2","Personal consumption expenditures","DPCERY2",1.81,2.35,2.48,3.5,3.68,3.44,1.85,1.85,1.97,2.42,2.34,2.01,1.84,-0.17
"12","3","  Goods","DGDSRY2",0.73,1.09,1.16,1.61,1.9,1.29,0.77,0.99,1.11,1.08,0.97,0.78,0.75,-0.5
"13","4","    Durable goods","DDURRY2",0.34,0.63,0.69,1.03,1.13,0.79,0.49,0.69,0.55,0.59,0.45,0.35,0.36,-0.36
"14","5","      Motor vehicles and parts","DMOTRY2",-0.06,0.17,0.23,0.36,0.33,0.12,0.18,0.19,0.1,0.05,-0.01,-0.1,0.04,-0.38
"15","6","      Furnishings and durable household equipment","DFDHRY2",0.09,0.09,0.09,0.16,0.23,0.19,0.1,0.15,0.13,0.17,0.12,0.11,0.04,-0.06
"16","7","      Recreational goods and vehicles","DREQRY2",0.28,0.31,0.31,0.4,0.45,0.38,0.22,0.27,0.26,0.31,0.29,0.3,0.26,0.13
"17","8","      Other durable goods","DODGRY2",0.03,0.07,0.05,0.1,0.13,0.1,-0.02,0.07,0.05,0.06,0.06,0.04,0.01,-0.05
"18","9","    Nondurable goods","DNDGRY2",0.4,0.46,0.46,0.58,0.77,0.5,0.28,0.3,0.56,0.49,0.52,0.44,0.39,-0.13
"19","10","      Food and beverages purchased for off-premises consumption","DFXARY2",0.03,0.06,0.05,0.07,0.21,0.12,0.06,0.01,0.12,0.14,0.21,0.17,0.11,0
"20","11","      Clothing and footwear","DCLORY2",0.13,0.15,0.1,0.18,0.19,0.14,0.03,0.08,0.14,0.12,0.15,0.12,0.11,-0.01
"21","12","      Gasoline and other energy goods","DGOERY2",0.03,0.03,0.04,0.06,0.05,-0.03,0.01,0.03,0.05,0.03,-0.01,-0.05,0.02,-0.12
"22","13","      Other nondurable goods","DONGRY2",0.2,0.22,0.28,0.27,0.32,0.27,0.18,0.18,0.25,0.2,0.17,0.2,0.16,-0.01
"23","14","  Services","DSERRY2",1.08,1.26,1.33,1.9,1.78,2.15,1.09,0.86,0.86,1.34,1.37,1.22,1.09,0.32
"24","15","    Household consumption expenditures (for services)","DHCERY2",1.02,1.17,1.43,1.76,1.67,2.03,0.96,0.69,0.77,1.35,1.4,1.06,1.02,0.16
"25","16","      Housing and utilities","DHUTRY2",0.33,0.27,0.28,0.37,0.38,0.37,0.33,0.09,0.16,0.27,0.57,0.27,0.12,0.12
"26","17","      Health care","DHLCRY2",0.2,0.2,0.3,0.31,0.15,0.32,0.46,0.57,0.23,0.33,0.39,0.19,0.27,0.31
"27","18","      Transportation services","DTRSRY2",0.17,0.2,0.19,0.11,0.14,0.12,-0.02,-0.07,0.01,0.06,0.02,-0.01,0.03,-0.11
"28","19","      Recreation services","DRCARY2",0.18,0.11,0.08,0.08,0.12,0.08,0,0.02,0.08,0.13,0.05,0.08,0.1,0
"29","20","      Food services and accommodations","DFSARY2",0.01,0.03,0.09,0.11,0.1,0.19,-0.01,0.06,0.14,0.13,0.14,0.13,0.05,-0.02
