"","Table 1#6#4# Price Indexes for Gross Domestic Purchases         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2009     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/10/2009 9:48:21 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","  Gross domestic purchases","B712RG3",81.674,83.15,84.397,84.962,86.304,88.463,90.123,91.422,93.55,96.4,100,103.38,106.408,109.765
"9","2","Personal consumption expenditures","DPCERG3",82.041,83.826,85.395,86.207,87.596,89.777,91.488,92.736,94.622,97.098,100,102.746,105.502,109.031
"10","3","  Goods","DGDSRG3",95.625,96.676,96.563,95.106,95.603,97.52,97.429,96.43,96.38,97.867,100,101.508,102.789,106.15
"11","4","    Durable goods","DDURRG3",124.255,123.001,120.314,116.909,113.741,111.693,109.479,106.672,102.907,101.005,100,98.488,96.714,95.537
"12","5","      Motor vehicles and parts","DMOTRG3",100.038,102.043,102.428,101.314,101.618,101.994,102.394,101.855,99.074,98.399,100,100.126,99.483,98.523
"13","6","      Furnishings and durable household equipment","DFDHRG3",110.305,110.618,110.454,110.362,108.927,108.138,106.285,104.102,101.176,99.938,100,99.483,98.665,98.049
"14","7","      Recreational goods and vehicles","DREQRG3",203.327,188.915,173.104,158.493,144.658,135.567,126.318,118.15,110.805,105.521,100,94.23,88.301,84.337
"15","8","      Other durable goods","DODGRG3",113.307,112.631,111.051,109.02,106.275,104.869,105.203,103.257,101.604,101.383,100,101.938,106.078,111.534
"16","9","    Nondurable goods","DNDGRG3",82.055,83.913,84.789,84.16,86.259,90.006,90.952,90.878,92.791,96.12,100,103.215,106.25,112.188
"17","10","      Food and beverages purchased for off-premises consumption","DFXARG3",80.9,83.368,84.956,86.024,87.433,89.486,92.116,93.528,95.296,98.267,100,101.709,105.623,111.926
"18","11","      Clothing and footwear","DCLORG3",115.023,113.638,113.673,111.604,110.127,108.816,106.659,103.851,101.27,100.926,100,99.573,98.638,97.823
"19","12","      Gasoline and other energy goods","DGOERG3",50.47,53.908,53.906,46.996,50.883,65.768,63.48,59.378,69.37,81.537,100,112.926,122.378,143.694
"20","13","      Other nondurable goods","DONGRG3",83.839,85.425,86.318,87.942,91.377,93.38,95.548,97.125,97.307,98.479,100,102.161,103.539,106.098
"21","14","  Services","DSERRG3",75.37,77.479,79.817,81.695,83.515,85.824,88.428,90.807,93.692,96.687,100,103.411,106.964,110.582
"22","15","    Household consumption expenditures","DHCERG3",75.323,77.457,79.765,81.529,83.306,85.523,88.064,90.505,93.572,96.707,100,103.463,107.105,110.838
"23","16","      Housing and utilities","DHUTRG3",73.998,76.187,78.263,80.108,82.014,84.783,88.718,91.297,94.164,96.66,100,104.282,108.047,111.926
"24","17","      Health care","DHLCRG3",75.978,77.766,79.324,80.82,82.594,84.919,87.769,90.065,93.481,96.932,100,103.039,106.84,109.726
"25","18","      Transportation services","DTRSRG3",83.214,84.263,86.13,87.648,88.956,91.625,92.643,93.072,95.07,96.459,100,104.215,106.622,112.403
"26","19","      Recreation services","DRCARG3",73.839,76.299,78.766,80.716,83.311,86.536,89.372,91.943,94.761,97.27,100,103.37,106.213,109.517
"27","20","      Food services and accommodations","DFSARG3",76.128,78.179,80.497,82.654,84.79,87.16,89.644,91.818,93.773,96.889,100,103.35,107.348,111.599
"28","21","      Financial services and insurance","DIFSRG3",74.514,77.523,82.117,84.071,84.91,85.66,85.177,87.519,91.48,96.488,100,102.303,106.726,109.986
"29","22","      Other services","DOTSRG3",74.479,76.639,78.786,80.394,82.357,83.942,86.539,89.912,93.234,96.358,100,103.422,106.374,110.819
"30","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs)","DNPIRG3",75.316,76.668,79.859,85.104,88.129,92.985,97.282,98.066,96.567,96.198,100,102.104,103.525,104.531
"31","24","Gross private domestic investment","B006RG3",90.84,90.455,90.12,89.109,88.989,89.954,90.748,91.118,92.411,95.632,100,104.371,106.677,107.355
"32","25","  Fixed investment","B007RG3",90.06,89.817,89.589,88.756,88.7,89.751,90.553,90.924,92.301,95.541,100,104.419,106.718,107.551
"33","26","    Nonresidential","B008RG3",102.247,101.054,99.775,97.587,96.173,96.219,95.788,95.363,95.355,96.834,100,103.534,106.209,107.897
"34","27","      Structures","B009RG3",60.601,62.141,64.516,67.48,69.559,72.298,76.087,79.292,82.174,88.441,100,112.922,121.275,125.207
"35","28","      Equipment and software","B010RG3",122.265,119.323,115.788,110.641,107.406,106.114,103.603,101.494,100.287,99.897,100,100.194,100.715,101.455
"36","29","        Information processing equipment and software","B679RG3",175.93,161.998,149.57,135.058,125.622,122.047,115.986,110.658,106.399,102.759,100,98.149,96.698,95.6
"37","30","          Computers and peripheral equipment","B935RG3",640.569,488.486,376.572,279.774,217.847,190.64,157.838,137.092,122.55,113.617,100,87.395,78.065,69.96
"38","31","          Software \1\","B985RG3",111.535,108.87,105.729,102.572,103.851,106.967,107.432,105.534,103.069,100.519,100,101.17,101.7,102.748
"39","32","          Other","B937RG3",130.479,128.467,126.856,121.284,116.155,113.2,109.273,105.805,103.552,100.794,100,99.647,100.112,100.487
"40","33","        Industrial equipment","B680RG3",88.652,90.491,91.108,91.622,92.154,92.669,93.272,93.308,94.013,96.367,100,103.192,106.771,110.942
"41","34","        Transportation equipment","B681RG3",88.251,90.013,91.441,90.818,91.624,91.723,90.951,91.803,94.635,99.243,100,100.872,102.425,102.641
"42","35","        Other equipment","B862RG3",85.659,87.957,89.059,90.376,91.549,92.139,93.447,94.228,95.109,96.047,100,102.32,104.601,108.231
"43","36","    Residential","B011RG3",66.403,67.828,69.557,71.412,74.151,77.415,80.994,83.002,86.953,93.296,100,106.081,107.513,105.779
"44","37","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","38","    Farm","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
