"","Table 5#6#5B# Change in Private Inventories by Industry         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2009     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/10/2009 9:52:34 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","    Change in private inventories","A014RC1",71,63.7,60.8,54.5,-38.3,12,16.4,64.9,50,60,19.4,-34.8
"9","2","Farm","B018RC1",3.3,1.3,-2.7,-1.4,0,-2.5,0.1,8.8,0.1,-3.6,-0.6,-7.1
"10","3","Mining, utilities, and construction","N541RC1",1.5,5.4,-1.3,-2.2,8.2,-3.1,5.9,1.3,3.7,16.7,-0.4,-2.6
"11","4","Manufacturing","N150RC1",21.1,15.4,13.9,6.9,-23.5,-4.2,-7.4,5.7,21,17.7,4.2,-7
"12","5","  Durable goods industries","N624RC1",14.1,16,6.3,6.2,-19.5,-4.9,-4.8,4,16.6,12.1,0,12.6
"13","6","  Nondurable goods industries","N625RC1",6.9,-0.6,7.6,0.7,-4,0.8,-2.6,1.7,4.5,5.5,4.2,-19.7
"14","7","Wholesale trade","N658RC1",25.3,21.4,18.9,18.9,-12.3,-0.1,-0.6,19.8,18.1,13.7,6.9,-7.1
"15","8","  Durable goods industries","N661RC1",17.3,17,14.1,13.5,-16.7,0.4,0.8,17.8,13.4,9.4,2,7.7
"16","9","  Nondurable goods industries","N664RC1",8.1,4.4,4.8,5.3,4.3,-0.5,-1.4,2,4.8,4.3,4.9,-14.9
"17","10","Retail trade","N153RC1",14.5,14.6,24.9,20,-10.3,23,16.9,23.2,4.6,10.8,5.8,-13.4
"18","11","  Motor vehicle and parts dealers","N631RC1",5.1,1.8,12.4,11.9,-9.3,17.3,12.8,7.4,-2.8,-0.4,2.9,-0.5
"19","12","  Food and beverage stores","N542RC1",0.3,0.9,1.5,-0.6,0.4,0.2,-1.2,0.4,-0.1,0.9,0.9,0.3
"20","13","  General merchandise stores","N543RC1",0.1,0.4,2.7,1,0.2,1.4,1,4.5,2.2,1.7,-0.3,-3.4
"21","14","  Other retail stores","N558RC1",8.8,11.5,8.3,7.6,-1.6,4.2,4.3,10.9,5.3,8.6,2.3,-9.8
"22","15","Other industries","N154RC1",5.3,5.6,7.1,12.4,-0.4,-1.1,1.5,6.1,2.3,4.7,3.5,2.5
"23",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","16","  Change in private inventories","A014RC1",71,63.7,60.8,54.5,-38.3,12,16.4,64.9,50,60,19.4,-34.8
"25","17","    Durable goods industries","N355RC1",40,39.3,37.4,35.6,-44.4,17.7,13,37.3,35.2,25.9,7.6,10.3
"26","18","    Nondurable goods industries","N357RC1",31,24.4,23.4,19,6.2,-5.6,3.3,27.6,14.7,34,11.8,-45.1
"27","19","  Nonfarm industries","A015RC1",67.7,62.5,63.5,55.9,-38.3,14.5,16.3,56.1,49.8,63.6,20,-27.7
"28","20","    Nonfarm change in book value \1\","B016RC1",49,39.7,70.1,79,-55.4,18.5,32.6,109.3,98,101.5,73.4,17.6
"29","21","    Nonfarm inventory valuation adjustment \2\","B017RC1",18.7,22.8,-6.5,-23.1,17.1,-4,-16.4,-53.2,-48.1,-37.9,-53.4,-45.3
"30","22","  Wholesale trade","N658RC1",25.3,21.4,18.9,18.9,-12.3,-0.1,-0.6,19.8,18.1,13.7,6.9,-7.1
"31","23","    Merchant wholesale trade","N151RC1",22.7,19.5,16.3,14.8,-8,0.5,-0.2,17.8,14.3,15.2,7.9,0
"32","24","      Durable goods industries","N626RC1",15.2,15.1,12.4,10.4,-13.3,-0.2,0.9,16.8,11,10.5,0.8,10.8
"33","25","      Nondurable goods industries","N627RC1",7.4,4.4,3.9,4.3,5.3,0.7,-1.1,1.1,3.4,4.6,7.1,-10.7
"34","26","    Nonmerchant wholesale trade","N152RC1",2.7,2,2.6,4.1,-4.3,-0.6,-0.4,1.9,3.8,-1.5,-1.1,-7.1
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","1. This series is derived from the Census Bureau series ""current cost inventories.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2. The inventory valuation adjustment (IVA) shown in this table differs from the IVA that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","adjusts business incomes.  The IVA in this table reflects the mix of methods (such as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","first-in, first-out and last-in, first-out) underlying inventories derived primarily from",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Census Bureau statistics (see footnote 1).  This mix differs from that underlying business",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","income derived primarily from Internal Revenue Service statistics.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Note.  Estimates in this table are based on the North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
