"","Table 7#2#1B# Percent Change from Preceding Period in Real Motor","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Percent]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2009     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/10/2009 9:52:55 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","      Motor vehicle output","A953RL1",-0.1,1.8,8.4,8.2,9.6,-1.5,-4.4,11.5,1.1,4,4,-1.2,-1.3,-18.4
"9","2","        Auto output","A133RL1",-6.8,-2.3,1,4.7,3.7,1.1,-5.4,4.4,-10.4,1.3,11.3,2.4,-1.4,-6.9
"10","3","        Truck output","A716RL1",7.8,5.9,15.3,11.1,14.1,-3.3,-3.7,16.6,8.3,5.5,0.3,-3.2,-1.3,-25.4
"11","4","Final sales of domestic product","AB60RL1",-0.4,5.1,6.1,9.6,6.4,-1.2,2.2,3.7,2.6,5.1,6,-1.1,-0.3,-17.8
"12","5","  Personal consumption expenditures","AB61RL1",-2.5,4.6,7.1,11.8,9.9,3.4,6.3,6,2.9,1.2,-0.9,-3.8,1.6,-15
"13","6","    New motor vehicles","AB67RL1",-4.8,1.8,5.3,11.1,11.6,5.5,9.8,7.6,4.8,1,-1.9,-5.8,1.2,-19.7
"14","7","      Autos","A136RL1",-6.9,-2,0.6,6.3,10.8,5,-1,-1.6,-3.1,1.2,5,1.7,-3.6,-10.7
"15","8","      Light trucks (including utility vehicles)","B704RL1",-2.1,6.4,10.8,16.1,12.4,5.8,19.5,14.7,10,0.9,-5.9,-10.6,4.8,-26.1
"16","9","    Net purchases of used autos and used light trucks","W240RL1",2.9,10.2,10.4,13,6.8,-0.3,-0.3,2.7,-1.4,1.7,1.2,0.6,2.5,-5.3
"17","10","      Used autos","B137RL1",-1.3,3.8,4.7,6.9,0.6,-1.8,-3.3,-0.9,-3.1,-0.5,1.3,-2.6,-4.6,-5.5
"18","11","      Used light trucks (including utility vehicles)","W241RL1",13.6,24.8,21.2,22.9,15.5,1.6,3.1,6.6,0.4,3.9,1.1,3.7,9,-5.1
"19","12","  Private fixed investment","AB62RL1",5.3,5.3,6.8,5.5,13.2,-3.8,-11.5,-3.6,-4.2,17,16.7,10.6,-12.9,-30
"20","13","    New motor vehicles","AB68RL1",3.5,9.6,7.3,9.6,12.2,-2.1,-8.9,-0.8,-3.6,12.3,10.5,7.9,-6.2,-20.4
"21","14","      Autos","B139RL1",-3.9,4,0.9,2.2,9.4,1.7,-4.3,0.2,-7.7,2.2,6.2,4.5,1.8,-13.9
"22","15","      Trucks","B705RL1",11.9,15,13.1,15.7,14.1,-4.6,-12.2,-1.6,-0.4,19.6,13.1,9.9,-10.6,-24.6
"23","16","        Light trucks (including utility vehicles)","B196RL1",12.9,33.3,22,12.6,15.2,-0.9,-6.6,-2.1,0.2,15,10.9,10.4,-0.3,-24.9
"24","17","        Other","B197RL1",10.5,-11.9,-6.8,24.4,11.5,-14.3,-28.8,0.3,-2.5,36.4,19.7,8.5,-36.9,-23.5
"25","18","    Net purchases of used autos and used light trucks","W242RL1",-0.2,18.6,8.4,17.8,10.5,0.9,-4.6,3.5,-2.8,4.3,-1.6,1.7,10.8,-1.1
"26","19","      Used autos","B140RL1",-1.4,9.4,5.3,8.6,0.8,-1.4,-9.3,0.5,-2.5,4.3,0,-1.7,2.8,1.2
"27","20","      Used light trucks (including utility vehicles)","W243RL1",2.8,42.1,14.7,34.7,24.7,3.6,0.7,6.6,-3,4.3,-3.2,5,18.4,-3.1
"28","21","  Gross government investment","AB64RL1",2.5,-1.1,5.4,7.9,5,4.4,2.6,2.1,5.2,-1.6,5.9,9.7,-7.1,-0.4
"29","22","    Autos","B144RL1",6.1,-5.4,-10.1,4.4,2.7,-3,3.9,-6.6,-1.7,-2,8.9,8.6,0.2,-6.3
"30","23","    Trucks","B708RL1",0.4,1.5,14,9.5,6,7.4,2.1,5.3,7.5,-1.5,5,10,-9.3,1.6
"31","24","  Net exports","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","25","    Exports","AB69RL1",3.5,4.4,5.5,-5,-3.7,1.5,-3.4,12.3,10,10.8,18.6,10.9,22.7,6.4
"33","26","      Autos","B142RL1",-1.6,2.7,-2.2,-3.4,-2.9,2.1,7.3,12,4.5,3,23,16.4,31.9,16.6
"34","27","      Trucks","B706RL1",9.3,6.1,13.1,-6.3,-4.3,1,-12.8,12.7,15.9,18.1,15,6.1,14,-4.8
"35","28","    Imports","AB70RL1",1.9,2.7,9.9,6.2,22.2,9.2,-2.1,5.2,-0.2,5,1,9,-2.6,-11.7
"36","29","      Autos","B143RL1",7.2,-7.1,11.1,4,18.5,9,-2.5,6.2,-3.5,0.2,-3.6,10.7,-1.6,-0.6
"37","30","      Trucks","B707RL1",-6.1,19.6,8.3,9.2,26.9,9.4,-1.7,4.1,3.7,10.3,5.6,7.5,-3.6,-22.2
"38","31","Change in private inventories","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","32","  Autos","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","33","    New","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","34","      Domestic","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","35","      Foreign","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","36","    Used","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","37","  Trucks","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","38","    New","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","39","      Domestic","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","40","      Foreign","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","41","    Used \1\","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","42","  Final sales of motor vehicles to domestic purchasers","AB75RL1",-0.1,4.6,7,9.8,10.7,1.4,1.3,3.6,1.3,4.6,3.7,0.7,-3.2,-18.8
"51","43","  Private fixed investment in new autos and new light trucks","AB76RL1",1.9,15,10.1,7.2,12.3,0.3,-5.5,-1,-3.8,8.8,8.8,7.8,0.6,-20
"52","44","  Domestic output of new autos \2\","B148RL1",-5.4,-2.7,-0.7,0.4,4.1,1.8,-7.1,3.9,-11.6,0.1,11,0.5,-3.2,-4.6
"53","45","  Sales of imported new autos \3\","B149RL1",-3.6,-2.7,8.7,12.4,16.2,6.6,-2.1,7.9,-2.1,3.1,1.4,10.4,4,-10.4
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","1. Consists of used light trucks only.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
