"","Table 1#7#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Billions of chained (2005) dollars]                                                                                                                                                                                                                      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2009     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/10/2009 9:48:50 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","Gross domestic product","A191RX1",9093.7,9433.9,9854.3,10283.5,10779.8,11226,11347.2,11553,11840.7,12263.8,12638.4,12976.2,13254.1,13312.2
"9","2","Plus: Income receipts from the rest of the world","A645RX1",282.2,297.1,332.2,337.6,371,431.1,358.8,343.1,377.7,465.1,573,697.8,811.9,739.3
"10","3","Less: Income payments to the rest of the world","A655RX1",246.7,260,305.2,317.5,339.1,388.7,301.5,289.4,304.3,370.5,475.9,628,703.2,609.1
"11","4","Equals: Gross national product","A001RX1",9129.4,9471.1,9881.8,10304,10812.1,11268.8,11404.6,11606.9,11914.2,12358.5,12735.5,13046.1,13362.8,13442.6
"12","5","Less: Consumption of fixed capital","A262RX1",947,994.8,1051.4,1120.5,1199.4,1282.4,1350.8,1399.8,1441.3,1488.3,1541.4,1598.4,1660,1715.2
"13","6","        Private","A024RX1",753.7,797.6,850,913.9,986.2,1062.7,1125.5,1168.9,1204.5,1244.4,1290.8,1341,1394.8,1441.3
"14","7","        Government","A264RX1",195.8,199.2,202.9,207.6,213.8,220,225.4,231,236.8,243.9,250.6,257.4,265.3,274
"15","8","          General government","A265RX1",165.4,167.9,170.9,174.6,179.5,184.5,188.8,193.3,197.7,203.3,208.7,214.9,221.7,229.5
"16","9","          Government enterprises","A266RX1",30.4,31.2,31.9,32.9,34.2,35.5,36.6,37.7,39.1,40.6,41.9,42.6,43.6,44.5
"17","10","Equals: Net national product","A027RX1",8192.1,8484.8,8837.7,9189,9616.9,9989,10054.4,10207.1,10473,10870.2,11194.1,11447.6,11702.6,11727.5
"18",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","11","  Gross domestic income \1\","A261RX1",9029.3,9402.7,9870.9,10383.2,10861.8,11377.1,11461.1,11576.9,11823.1,12272,12718,13189.9,13268,13219
"20","12","  Gross national income \2\","A023RX1",9065,9439.9,9898.3,10403.7,10894.1,11419.9,11518.7,11630.8,11896.6,12366.6,12815.2,13259.6,13376.8,13349.5
"21","13","  Net domestic product","A362RX1",8156.4,8447.5,8810.4,9168.7,9584.7,9946.3,9996.9,10153.2,10399.4,10775.5,11097,11377.8,11593.9,11597.1
"22","14","  Net domestic income \3\","W256RX1",8091,8415.9,8827.1,9269.3,9667.2,10098.3,10111.4,10177.3,10381.8,10783.6,11176.7,11591.6,11607.9,11504.1
"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","1. Gross domestic income deflated by the implicit price deflator for gross domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2. Gross national income deflated by the implicit price deflator for gross national product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","3. Net domestic income deflated by the implicit price deflator for net domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Note. Except as noted in footnotes 1, 2 and 3, chained (2005) dollar series are calculated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","as the product of the chain-type quantity index and the 2005 current-dollar value of the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","more than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
