"","Table 4#2#2# Contributions to Percent Change in Real Exports and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"1","; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1995 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2009     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/10/2009 9:51:40 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1995,1995,1995,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2
"9",NA,"Percent change at annual rate:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1","    Exports of goods and services","A020RL1",7.6,5.6,18.6,5.9,5.1,6.9,3.3,27.5,7.8,16.8,9.6,-0.7,1.9,-4.5,-1.8,16,-3,4.7,10.9,10.4,7.1,11.9,10.1,-3.1,-5.1,-12.4,-19.1,-10.8,6.6,11.3,2.8,-4,-3.6,-1.3,11.2,20,9.8,6.4,3,9.4,7.6,8.8,0.1,10.5,16.5,6.9,0.6,17.8,3.5,5.2,18.5,14.5,-0.1,12.1,-3.6,-19.5,-29.9,-7
"11",NA,"Percentage points at annual rates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2","Exports of goods \1\","A253RZ2",6.78,4.9,11.9,4.08,6.11,3.22,5.34,17.19,9.96,14.07,8.68,0.4,0.76,-6.76,0.53,12.05,-5.5,3.26,9.46,9.54,6.45,9.3,12.39,-4.3,-3.75,-12.5,-14.32,-6.19,-0.11,10.12,1.3,-6.61,1.18,-0.14,5.65,13.57,4.72,4.73,3.51,4.53,5.77,9.27,-0.74,8.14,12.33,5.18,0.13,9.42,2.05,4.28,10.33,8.58,2.72,9.61,-1.24,-18.31,-25.76,-6.19
"13","3","  Foods, feeds, and beverages","B638RZ2",-0.16,0.09,0.65,-2.5,1.61,-0.93,-0.11,1.59,-0.62,-0.23,0.15,1.37,-0.23,-1.24,-1.06,1.99,-1.19,1.04,1.11,-0.4,0.03,0.39,1.31,-1.2,0.68,0.32,-0.53,0.4,-0.1,0.12,-0.51,-0.6,0.95,-0.23,0.66,-0.18,-1.71,-1.46,1.3,1.76,-0.6,0.6,-0.86,0.74,0.54,0.7,0.21,-0.2,-0.02,0.81,1.86,0.01,0.25,0.12,-0.6,-0.95,-1.01,1.19
"14","4","  Industrial supplies and materials","A639RZ2",1.52,0.24,2.87,0.83,0.48,-0.5,1.39,2.91,0.62,2.86,1.02,-0.47,-0.08,-1.58,-0.75,0.97,-1.5,1.36,0.77,3.12,1.37,0.12,2.74,-0.32,-1.57,-1.71,-0.71,-0.19,-0.18,2.47,-0.46,-0.14,1.44,-0.96,0.6,1.49,2.5,1.09,-0.43,1.02,0.7,2.11,-1.85,-1.44,5.03,2.38,-0.92,3.13,-0.74,1.32,1.88,2.63,3.24,4.63,0.12,-4.77,-6.34,0.38
"15","5","    Durable goods","B686RZ2",0.98,0.4,1.37,-0.78,0.22,0.87,0.63,0.46,0.4,1.01,0.21,0.32,0.68,-1.09,-0.39,0.65,-0.21,0.52,0.47,1.33,1.46,0.35,0.27,0.12,-0.89,-1.14,-0.81,-0.47,-1.16,1.28,-0.13,-0.16,0.24,0.39,-0.32,0.39,1.63,0.28,-0.29,0.24,0.35,1.09,0.99,0.63,0.85,0.27,-0.19,1.49,-0.29,0.25,0.96,0.91,0.4,2.38,0.01,-1.44,-3.52,-0.23
"16","6","    Nondurable goods","B687RZ2",0.53,-0.16,1.5,1.6,0.26,-1.37,0.77,2.45,0.23,1.85,0.81,-0.79,-0.76,-0.49,-0.35,0.32,-1.29,0.84,0.3,1.78,-0.1,-0.22,2.46,-0.44,-0.68,-0.56,0.11,0.28,0.98,1.19,-0.32,0.02,1.2,-1.34,0.92,1.11,0.88,0.82,-0.14,0.79,0.35,1.01,-2.84,-2.07,4.19,2.11,-0.73,1.64,-0.44,1.07,0.93,1.72,2.84,2.25,0.11,-3.32,-2.82,0.61
"17","7","  Capital goods, except automotive","A640RZ2",4.83,6.99,6.47,5.54,3.27,3.16,1.36,10.88,7.31,8.44,5.7,-0.68,0.66,-3.02,2.79,5.41,-2.01,0.12,6.77,4.36,1.82,10.34,6.13,-2.2,-1.54,-11.46,-10,-4.84,-1.36,4.04,1.69,-3.97,-0.91,0.3,4.74,9.45,2.14,1.51,1.29,0.65,2.95,5.12,-0.12,6.27,4.46,2.76,-0.33,3.49,0.95,1.15,4.85,3.05,0.64,2.41,0.68,-7.58,-6.81,-6
"18","8","    Civilian aircraft, engines, and parts","B688RZ2",-2.46,1.69,-0.88,-0.82,0.42,1.84,-0.31,3.11,1.08,1.13,0.25,-0.79,2.93,-0.24,3.59,2.33,-2.38,-2.86,1.05,-0.13,-3.57,2.64,-1.37,-0.5,2.71,-0.81,-1.61,-1.14,0.42,0.35,1.08,-2.32,-0.96,-1.07,0.6,2.28,-1.77,-0.96,0.46,-0.17,1.55,2.5,-2.1,1.32,1.04,0.24,-0.4,1.4,-0.14,-0.23,1.69,0.39,-0.64,-0.04,0.06,-3.18,3.58,-2.08
"19","9","    Computers, peripherals, and parts","B850RZ2",1.14,0.99,2.31,2.13,1.88,0.25,0.68,1.37,2.39,2.01,1.12,-0.48,-0.58,0.37,0.54,1.02,0.02,1.04,0.92,0.43,1.39,1.96,1.37,-0.6,-0.52,-2.06,-1.2,-1.01,-0.98,0.56,-0.23,0.45,-0.09,-0.2,1.18,0.88,-0.27,0.06,0.57,0.47,0.56,0.89,0.28,0.19,0.6,0.29,-0.33,0.58,0.34,-0.49,0.32,0,0.21,0.74,0.03,-1.05,-0.31,-0.33
