"","Table 3#11#4# Price Indexes for National Defense Consumption Exp","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"11","3","  Gross output of general government","W085RG3",69.529,69.622,69.959,70.68,71.928,72.176,72.554,73.057,73.769,73.751,73.815,74.134,74.62,74.723,74.928,75.16,76.161,76.591,77.007,77.433,79.212,79.208,80.062,80.313,81.175,81.322,81.94,82.524,84.557,85,85.237,86.83,89.396,89.693,90.066,90.49,93.011,94.235,94.932,95.765,99.026,99.645,100.482,100.847,103.678,104.892,105.205,105.307,107.71,108.917,109.201,110.186,111.799,113.461,114.128,112.122,112.47,112.655
"12","4","    Value added","W086RG3",64.261,64.097,64.408,65.308,66.997,67.243,67.609,68.031,69.014,69.021,68.985,69.216,70.101,70.178,70.341,70.538,72.152,72.529,72.726,72.951,75.195,74.987,75.824,75.743,76.931,77.086,77.87,78.896,82.09,82.247,82.122,84.309,87.603,87.928,88.185,88.595,92.383,93.68,94.092,94.639,99.615,99.757,100.261,100.367,104.975,105.754,105.474,106.1,110.138,111.227,110.993,111.425,113.329,113.856,113.596,113.179,115.819,115.709
"13","5","      Compensation of general government employees","B237RG3",56.753,56.484,56.875,57.921,60.128,60.411,60.864,61.403,62.743,62.728,62.721,62.911,64.16,64.141,64.31,64.466,66.509,66.838,66.944,67.074,69.746,69.481,70.492,70.377,71.954,72.054,73.054,74.519,78.77,78.97,78.749,81.424,85.747,86.098,86.354,86.875,91.55,92.845,93.109,93.474,99.654,99.783,100.35,100.213,105.977,106.519,105.791,106.638,111.756,113.026,112.549,112.907,115.31,115.499,114.92,114.521,118.253,118.232
"14","6","        Military","B4080G3",55.191,55.135,55.7,56.127,58.403,59.568,60.061,60.279,61.431,61.252,61.014,60.772,62.101,62.395,62.366,62.533,64.84,64.813,64.558,65.301,67.377,67.47,67.939,67.289,69.788,69.669,70.727,72.224,76.066,76.753,76.842,80.579,84.465,84.852,85.189,85.832,90.1,91.28,91.681,92.337,99.675,99.852,100.237,100.236,107.002,107.296,106.449,107.621,113.138,114.72,114.346,114.899,117.159,117.717,117.131,116.43,120.422,120.347
"15","7","        Civilian","W090RG3",60.172,59.53,59.624,61.777,63.886,62.606,62.993,64.109,65.8,66.078,66.492,67.486,68.6,68.002,68.544,68.683,70.246,71.25,72.046,70.988,74.831,73.863,75.952,76.934,76.621,77.189,78.083,79.496,84.625,83.785,82.899,83.31,88.559,88.807,88.866,89.109,94.692,96.245,96.213,95.95,99.608,99.633,100.592,100.167,103.815,104.875,104.394,104.564,108.853,109.476,108.786,108.741,111.435,110.857,110.293,110.53,113.71,113.805
"16","8","      Consumption of general government fixed capital \2\","B432RG3",87.695,87.871,87.908,88.321,88.357,88.478,88.563,88.619,88.496,88.573,88.448,88.808,88.585,88.951,89.1,89.419,89.759,90.28,90.751,91.262,92.246,92.208,92.529,92.552,92.578,92.9,93.029,92.716,92.659,92.675,92.844,93.496,93.532,93.771,94.028,94.08,95.015,96.322,97.213,98.353,99.484,99.676,99.986,100.854,101.917,103.414,104.481,104.448,105.286,105.848,106.319,106.962,107.436,108.925,109.579,109.114,108.546,108.174
"17","9","    Intermediate goods and services purchased \3\","W087RG3",77.798,78.437,78.822,79.14,79.407,79.663,80.058,80.711,80.851,80.786,81.046,81.533,81.209,81.37,81.657,81.954,81.782,82.306,83.111,83.871,84.8,85.156,86.016,86.847,87.112,87.237,87.571,87.439,87.657,88.546,89.336,90.087,91.618,91.879,92.396,92.829,93.773,94.905,95.944,97.133,98.295,99.512,100.753,101.44,102.13,103.859,104.883,104.379,104.875,106.23,107.105,108.706,109.984,112.907,114.584,110.876,108.693,109.208
"18","10","      Durable goods","B998RG3",96.37,96.543,96.529,97.004,97.331,96.983,96.28,96.567,96.735,96.796,96.684,96.273,96.275,96.293,95.973,96.202,96.205,96.006,95.861,96.215,96.763,96.575,96.601,96.599,96.563,96.817,96.628,96.575,96.758,96.692,96.651,96.906,97.426,97.595,97.464,97.515,97.873,98.343,98.63,99.062,99.773,100.035,100.115,100.077,100.82,102.129,103.011,103.435,103.057,102.523,102.262,102.338,102.672,103.109,103.728,104.288,104.139,104.031
"19","11","        Aircraft","B999RG3",94.741,94.845,95.041,95.246,95.629,95.458,95.224,95.289,95.393,95.015,94.595,94.114,94.331,94.42,94.162,94.322,94.542,94.352,94.272,94.675,94.944,95.193,95.548,95.627,95.991,96.016,95.793,95.826,95.969,95.927,95.94,96.138,97.229,97.591,97.836,97.888,98.378,98.799,99.156,99.538,99.938,99.906,100.234,99.922,101.051,102.855,103.494,104.013,103.234,102.11,101.285,100.958,101.068,101.424,101.858,102.454,102.733,102.223
"20","12","        Missiles","B277RG3",95.508,96.277,95.104,97.229,96.93,95.078,92.9,93.677,93.931,94.22,94.894,94.545,93.409,93.728,93.388,94.492,94.504,93.143,93.383,94.557,95.354,94.602,92.799,92.637,92.534,93.624,94.483,94.74,95.29,95.786,96.715,97.038,97.285,97.636,96.22,96.637,97.189,97.54,97.864,98.623,99.542,100.569,100.122,99.767,100.629,102.296,105.868,106.581,105.483,104.733,105.109,105.656,106.215,106.818,107.182,107.993,107.811,108.049
"21","13","        Ships","B278RG3",95.202,91.995,94.199,94.44,94.491,94.398,93.338,94.014,94.009,95.251,95.458,94.374,94.885,95.004,94.901,94.543,92.939,92.952,92.165,91.944,93.432,92.953,93.694,93.703,94.047,94.301,94.17,93.409,93.449,93.606,93.982,93.968,94.557,94.693,94.666,94.752,95.684,97.413,98.169,98.73,99.379,99.957,100.07,100.594,101.478,102.671,103.52,104.332,103.919,103.324,104.461,104.438,105.164,106.589,108.909,109.502,108.999,108.859
"22","14","        Vehicles","B288RG3",69.02,69.698,69.433,69.919,71.726,71.577,71.303,73.117,75.83,77.548,77.818,77.371,79.283,79.34,78.862,80.791,82.437,84.983,86.002,89.634,95.621,91.835,90.075,90.155,90.781,92.068,91.753,92.377,94.51,95.252,93.104,95.666,95.838,94.846,94.107,96.83,97.561,98.225,97.619,100.693,100.447,100.057,99.03,100.467,100.26,100.632,99.163,101.589,102.236,101.823,101.463,102.905,102.899,103.211,102.98,105.738,105.382,105.447
"23","15","        Electronics","B388RG3",120.344,120.437,120.2,119.789,118.728,117.294,116.55,115.789,114.993,114.575,113.41,112.902,112.175,110.937,109.771,109.219,108.302,107.55,107.103,106.819,106.43,106.279,106.141,105.662,104.794,104.446,103.784,103.328,103.128,102.757,102.167,101.82,101.174,100.813,100.436,100.032,99.7,99.951,99.799,99.946,100.231,100.083,99.895,99.79,100.313,101.526,102.317,102.635,102.281,101.939,101.612,101.63,101.824,102.018,102.357,102.315,101.63,101.423
"24","16","        Other durable goods","B389RG3",93.834,94.63,94.554,94.942,95.698,96.218,95.546,95.913,95.794,96.038,96.435,96.341,96.179,96.478,96.402,96.378,96.308,96.35,96.013,95.823,96.277,96.012,96.446,96.621,96.151,96.545,96.161,96.071,96.116,95.78,95.686,96.109,96.45,96.672,96.547,96.409,96.713,97.179,97.594,97.851,99.314,99.955,100.264,100.467,100.942,101.718,102.182,101.942,102.211,102.336,102.408,102.464,103.139,103.783,105.142,105.479,105.418,105.765
"25","17","      Nondurable goods","B725RG3",57.377,58.558,58.548,60.047,62.118,63.023,63.833,67.808,66.405,62.566,61.326,62.496,58.084,56.502,55.461,55.472,53.499,56.841,60.339,64.7,68.909,68.569,72.484,76.957,71.441,69.993,69.179,64.037,62.747,66.638,68.594,71.133,78.176,73.702,72.913,72.889,73.792,80.372,84.369,91.017,90.728,97.246,104.705,107.321,104.973,112.728,114.579,106.609,105.287,112.829,115.703,128.074,135.094,156.081,160.958,118.559,97.584,104.17
"26","18","        Petroleum products","B780RG3",30.811,32.144,32.025,33.744,36.248,37.446,38.615,44.308,42.18,36.632,34.765,36.674,29.681,27.274,25.664,25.735,22.688,27.794,32.551,39.751,47.347,46.609,53.465,61.174,51.107,48.092,46.928,39.001,36.574,42.48,45.94,50.233,61.621,55.07,53.081,52.898,53.115,63.854,70.9,83.328,81.212,94.725,109.653,114.41,107.462,121.639,124.156,107.639,104.385,118.954,124.21,148.031,161.492,204.298,212.57,125.251,81.715,95.075
"27","19","        Ammunition","B781RG3",92.978,93.429,93.367,92.736,92.792,92.029,91.049,91.431,91.707,91.552,91.491,90.978,90.617,90.028,89.407,89.033,88.582,88.786,89.752,89.846,90.036,89.223,89.553,89.602,89.971,89.692,89.056,88.734,89.199,89.157,89.115,89.25,89.349,89.766,90.451,91.196,93.024,95.033,95.741,97.623,99.599,99.971,99.851,100.579,103.567,107.539,109.645,109.925,109.843,111.036,111.438,113.756,115.546,118.697,121.795,120.332,116.845,117.199
"28","20","        Other nondurable goods","B783RG3",85.746,86.097,86.514,87.201,87.451,87.849,88.23,88.273,88.488,88.454,88.563,88.557,88.534,88.648,88.858,89.19,89.216,89.578,90.402,90.875,91.572,91.852,92.287,92.558,92.913,93.752,93.229,92.372,92.51,93.57,93.821,94.575,94.693,93.948,94.482,94.533,95.779,96.957,97.058,98.431,99.073,99.787,100.206,100.934,101.712,102.675,103.232,103.541,104.231,105.091,105.559,106.619,107.522,108.46,109.393,108.312,109.278,109.835
"29","21","      Services","B489RG3",76.708,77.389,77.898,78.064,78.134,78.436,79.017,79.383,79.686,80.012,80.506,81.089,81.171,81.568,82.142,82.5,82.515,82.863,83.52,83.889,84.45,85.026,85.677,86.254,87.269,87.573,88.16,88.628,89.022,89.7,90.501,91.143,92.158,93.024,93.795,94.354,95.404,96,96.812,97.515,98.906,99.689,100.407,100.999,102.007,103.184,104.141,104.293,105.143,106.135,106.985,107.723,108.594,110.127,111.673,111.144,110.548,110.532
"30","22","        Research and development","B784RG3",79.146,79.157,79.633,79.777,79.714,79.398,79.663,80.446,80.909,81.584,82.35,82.703,82.963,83.224,83.493,83.727,83.856,84.373,84.911,85.413,85.741,86.229,86.702,87.054,87.392,87.781,88.025,88.281,88.681,89.052,89.61,90.037,91.062,91.683,92.387,92.786,94.096,94.903,96.204,97.12,98.767,99.591,100.357,101.285,102.401,103.622,104.533,105.019,105.613,106.363,107.096,107.874,109.275,110.296,111.652,111.8,112.02,111.662
"31","23","        Installation support","B911RG3",77.298,78.722,78.963,78.84,78.709,78.992,79.73,79.752,79.416,79.471,79.765,79.964,79.636,80.346,81.135,81.619,81.448,81.451,82.418,82.049,82.262,82.474,83.251,83.311,84.833,84.809,85.546,85.66,85.824,86.845,88.345,88.721,90.036,91.031,91.546,92.497,94.029,94.709,95.861,97.345,99.342,99.297,100.216,101.146,102.528,103.657,104.868,105.093,105.995,107.496,108.571,109.346,110.307,112.208,113.37,112.805,110.458,111.147
"32","24","        Weapons support","B912RG3",79.558,79.84,80.147,80.813,81.44,82.067,82.26,82.873,83.41,83.862,84.064,84.417,84.854,85.352,85.548,86.014,86.492,86.824,87.053,87.693,88.48,89.131,89.583,90.101,91.035,91.224,91.844,92.283,92.541,92.989,93.188,93.618,94.458,94.887,95.51,96.167,96.507,96.969,97.766,98.289,99.041,99.88,100.413,100.665,101.46,102.255,102.52,103.24,103.894,103.924,104.827,105.268,106,106.657,107.607,107.679,108.263,107.937
"33","25","        Personnel support","B913RG3",72.884,74.298,74.578,75.48,75.681,76.392,76.972,77.305,77.47,77.905,78.173,78.839,78.758,79.507,80.529,81.521,81.578,82.184,82.784,83.929,84.769,85.494,86.174,86.753,88.1,88.708,89.415,90.409,91.17,91.915,92.622,93.165,94.254,94.843,95.475,95.978,96.89,97.198,97.832,98.308,99.392,99.765,100.223,100.619,101.546,102.373,103.44,104.087,105.423,106.368,107.025,107.72,107.826,108.481,109.391,109.701,110.094,110.329
"34","26","        Transportation of material","B786RG3",69.054,66.145,69.608,68.393,70.865,71.943,73.1,74.96,75.248,74.077,75.789,79.028,79.136,77.29,77.645,75.867,75.563,76.543,77.565,77.792,78.119,80.292,81.698,83.41,83.657,83.788,85.442,85.48,84.824,85.781,87.278,91.476,91.821,95.031,98.162,96.783,96.068,97.342,97.316,97.358,97.166,100.371,101.586,100.877,101.313,104.384,105.443,102.388,102.381,104.055,105.59,106.058,107.914,115.521,122.723,113.491,103.216,101.337
"35","27","        Travel of persons","B785RG3",71.404,73.291,73.379,73.432,71.131,72.468,74.096,71.937,75.039,75.499,75.662,77.444,78.544,78.768,78.964,78.686,78.272,77.79,78.122,77.507,79.751,80.39,80.846,84.503,85.946,86.402,86.345,87.548,88.439,88.892,88.777,91.084,91.182,91.724,91.879,93.935,96.24,96.655,95.088,93.91,96.629,99.944,101.543,101.884,102.117,105.927,107.354,102.448,102.751,105.745,106.881,109.037,112.062,119.033,126.586,117.167,113.25,112.629
"36","28","  Less: Own-account investment \4\","W088RG3",67.492,67.673,68.541,68.37,69.703,69.498,69.67,70.614,71.352,71.926,72.715,73.149,73.557,73.74,74.648,74.532,75.094,76.099,77.084,76.444,77.908,78.233,80.183,80.426,80.477,81.342,82.536,83.044,85.702,85.637,85.859,86.062,89.034,89.496,89.991,90.23,93.556,95.281,96.104,96.266,99.134,99.416,100.603,100.847,103.495,104.787,105.341,105.078,107.641,108.739,109.119,108.911,110.88,111.721,111.968,112.017,107.586,107.873
"37","29","        Sales to other sectors","W089RG3",69.994,70.2,70.655,70.85,72.657,73.243,73.623,73.852,74.663,75.064,75.277,75.752,76.533,76.965,77.394,77.858,79.132,79.216,79.556,79.974,80.989,81.344,82.08,82.876,84.987,85.274,86.477,87.309,88.628,89.162,89.686,89.82,91.895,92.412,92.727,93.093,95.06,95.713,96.431,96.644,99.27,99.88,100.358,100.491,102.644,103.149,103.866,104.276,106.783,107.72,108.121,109.402,110.775,109.013,112.964,113.128,110.005,109.298
"38","30","Gross investment \5\","B788RG3",97.031,98.026,98.174,99.583,102.312,97.852,97.493,97.383,97.184,97.235,96.701,96.586,96.071,96.344,96.049,96.552,97.665,97.785,97.665,97.981,98.101,97.617,97.81,97.801,96.992,97.101,96.747,95.473,95.446,95.472,95.649,96.012,96.069,96.151,96.103,96.069,96.657,97.66,98.115,98.98,99.896,99.83,99.809,100.464,100.987,101.789,102.663,102.618,102.942,103.229,103.792,104.131,104.723,105.485,106.17,106.14,105.65,105.489
"39","31","  Structures","B808RG3",65.66,66.285,66.843,67.31,67.559,67.978,68.753,68.923,69.452,70.076,70.723,71.509,71.56,71.897,72.775,73.381,73.889,75.016,75.757,76.573,77.086,78.291,79.146,79.802,80.7,81.267,82.113,82.933,83.016,83.653,84.116,84.721,86.033,86.191,86.503,87.108,88.087,89.954,92.873,95.232,96.619,98.506,101.445,103.43,105.03,107.476,108.949,111.089,112.859,114.017,115.064,116.06,116.818,117.228,117.337,116.775,119.518,118.672
"40","32","  Equipment and software","B873RG3",101.991,103.047,103.092,104.677,107.884,102.461,101.87,101.702,101.348,101.27,100.485,100.181,99.559,99.813,99.278,99.766,100.985,100.911,100.646,100.882,100.937,100.194,100.277,100.161,99.104,99.146,98.624,97.068,97.025,96.969,97.109,97.441,97.321,97.391,97.288,97.156,97.681,98.566,98.715,99.405,100.266,99.973,99.625,100.136,100.546,101.179,101.991,101.714,101.872,102.049,102.552,102.81,103.384,104.189,104.945,104.985,104.024,103.965
"41","33","    Aircraft","B874RG3",108.131,112.297,114.134,121.386,138.318,113.228,111.805,113.283,112.033,110.702,105.704,105.325,104.538,107.306,105.436,111.557,124.303,125.334,124.467,124.427,122.366,118.932,117.206,116.435,113.883,113.686,112.524,104.914,104.876,105.399,107.138,107.583,106.389,105.812,105.691,104.46,103.107,103.185,101.517,102.598,101.985,100.063,98.969,98.983,98.493,98.6,100.595,98.188,97.15,97.543,99.64,101.478,102.125,102.184,102.295,103.427,103.612,104.143
"42","34","    Missiles","B875RG3",107.01,106.24,104.726,106.731,105.331,103.931,102.843,98.203,97.015,97.216,97.101,98.043,97.558,99.944,100.467,97.738,95.952,94.72,95.227,94.874,94.892,94.626,94.352,93.929,93.436,93.446,93.428,93.124,92.63,91.984,91.981,92.869,94.223,95.252,95.545,96.37,96.885,97.987,97.856,98.371,99.06,99.907,100.008,101.026,101.297,100.574,100.736,100.884,101.752,101.586,102.48,104.217,103.956,104.719,105.01,106.266,104.912,104.609
"43","35","    Ships","B876RG3",81.302,82.057,82.397,82.403,82.21,82.271,82.195,82.276,82.976,83.663,83.924,83.674,83.561,83.471,83.223,82.416,81.812,82.085,82.705,83.11,84.032,84.347,84.879,84.53,84.354,84.591,84.462,84.041,84.157,84.595,85.331,85.388,85.568,85.716,85.742,86.584,89.734,93.435,95.616,97.682,99.582,99.469,98.972,101.977,104.782,107.927,111.365,111.342,111.877,115.033,114.977,115.021,117.944,123.726,128.162,122.342,116.208,114.525
"44","36","    Vehicles","B877RG3",103.358,102.999,99.202,101.355,102.115,102.428,104.848,103.45,103.548,102.852,102.667,104.461,101.898,101.804,100.963,103.079,102.113,101.777,101.774,105.699,104.467,100.509,98.448,100.257,99.157,98.953,99.137,99.674,99.415,100.023,97.254,98.557,97.817,99.072,99.76,101.284,100.421,99.571,98.013,101.331,101.028,100.401,98.947,99.624,98.75,98.257,96.532,100.977,103.435,101.175,103.969,103.818,104.217,103.881,103.131,107.795,107.52,107.552
"45","37","    Electronics and software","B878RG3",132.447,132.706,131.822,131.343,129.097,126.57,125.231,123.967,122.29,121.598,120.228,118.676,116.543,115.699,114.407,113.188,112.474,111.769,111.322,111.137,111.24,111.242,111.909,111.525,109.796,109.436,108.062,107.523,107.271,106.31,105.513,104.747,104.097,103.719,102.996,101.851,101.849,101.884,101.444,100.784,100.751,100.305,99.784,99.16,99.103,99.303,99.091,98.922,98.545,98.007,97.167,96.768,96.294,96.134,96.117,95.516,94.707,94.449
"46","38","    Other equipment","B879RG3",91.634,92.092,92.224,92.556,93.436,93.87,93.454,93.953,94.052,94.233,94.402,94.213,94.408,94.367,94.309,94.607,94.732,94.623,94.057,94.179,94.762,94.474,95.044,95.334,94.767,95.075,94.824,94.968,94.909,94.678,94.586,95.285,95.682,95.869,95.83,95.733,96.158,96.717,97.282,97.549,99.376,99.853,100.248,100.523,101.011,101.63,101.95,101.546,101.904,102.02,102.116,102.04,102.665,103.319,104.323,104.498,104.304,104.57
"47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","1. National defense consumption expenditures are defense services produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","2. Consumption of fixed capital, or depreciation, is included in government gross output as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","a partial measure of the services of general government fixed assets; the use of depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","assumes a zero net return on these assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","3. Includes general government intermediate inputs for goods and services sold to other sectors and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","for own-account investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","4. Own-account investment is measured in current dollars by compensation of general government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","employees and related expenditures for goods and services and is classified as investment in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","structures and in software.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
