"","Table 3#3# State and Local Government Current Receipts and Expen","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2009     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/10/2009 9:50:09 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","    Current receipts","W023RC1",991.9,1045.1,1099.5,1164.5,1240.4,1322.6,1374,1412.7,1496.3,1601,1730.4,1829.7,1927.3,1974.2
"9","2","Current tax receipts","W070RC1",672.1,709.6,749.9,794.9,840.4,893.2,914.3,928.7,977.7,1059.4,1163.1,1249,1313.4,1336.3
"10","3","  Personal current taxes","W071RC1",158.1,168.7,182,201.2,214.5,236.7,243,221.8,226.2,248.6,276.7,302.5,322.8,330
"11","4","    Income taxes","B245RC1",141.7,152.3,164.7,183,195.5,217.4,223.3,201.3,204.1,224.7,251.7,276.1,295.5,302.4
"12","5","    Other","B247RC1",16.4,16.3,17.3,18.2,19,19.4,19.7,20.5,22.1,23.8,25,26.4,27.3,27.6
"13","6","  Taxes on production and imports","W072RC1",482.4,507.9,533.8,558.8,590.2,621.3,642.4,676,717.5,769.1,831.4,887.4,934,955.3
"14","7","    Sales taxes","B248RC1",242.7,256.2,268.7,283.9,301.6,316.8,321.8,331.1,348.8,370.7,402.2,430.4,446.3,443.9
"15","8","    Property taxes","B249RC1",202.6,212.4,223.5,231,242.8,254.7,268,289.4,306.8,326.7,346.9,370.1,396.3,410.6
"16","9","    Other","W073RC1",37,39.4,41.6,43.9,45.8,49.8,52.6,55.5,61.9,71.7,82.3,86.9,91.5,100.9
"17","10","  Taxes on corporate income","B102RC1",31.7,33,34.1,34.9,35.8,35.2,28.9,30.9,34,41.7,54.9,59.2,56.5,51
"18","11","Contributions for government social insurance","B104RC1",13.6,12.5,10.8,10.4,9.8,10.8,13.7,15.9,20.1,24.1,24.8,21.8,19.8,21.1
"19","12","Income receipts on assets","W074RC1",68.5,73.4,78.2,81.5,85.8,94.3,90,79.6,74,77.1,88.3,103.5,114.2,113.9
"20","13","  Interest receipts \1\","B112RC1",63,67.5,71.9,75.2,79.1,86.7,82.1,71.5,64.6,66.7,76.4,90.9,101.2,100.1
"21","14","  Dividends","B081RC1",1,1.4,1.5,1.6,1.5,1.4,1.4,1.6,1.7,2,2.1,2.3,2.5,2.9
"22","15","  Rents and royalties","S230541",4.5,4.6,4.8,4.6,5.1,6.3,6.5,6.6,7.6,8.5,9.8,10.3,10.5,11
