"","Table 2#3#7# Percent Change from Preceding Period in Prices for ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"1","[Quarters seasonally adjusted at annual rates]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1995 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2009     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/10/2009 9:49:38 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1995,1995,1995,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2
"9","1","    Personal consumption expenditures","DPCERV1",2.2,2.4,1.7,1.7,2.4,2.6,1.8,2.8,2.1,1.1,1.1,1.5,0.2,0.9,1.3,1.2,1.3,2.3,2.1,2.2,3.6,1.8,2.3,2.2,2.8,1.9,0.1,0.2,0.9,3.2,2,1.9,2.9,0.3,2.6,1.9,3.4,3,2.5,3.3,2.4,2.5,4.6,3.6,1.7,3,3,-0.1,3.7,3.2,2.3,5.1,3.7,3.9,4.7,-5,-1.5,1.3
"10","2","Goods","DGDSRV1",0.5,0.8,0.1,0.1,2.7,1.8,-0.8,1.8,0.5,-2.1,-1.1,-0.5,-3.1,-1.6,-0.1,-0.7,-0.4,2.9,2,1.4,3.2,1.9,1.1,0.4,0,0.7,-2.1,-4.4,-1.8,2.8,-0.1,-0.1,2.6,-5.7,2.1,-0.1,3.6,2.3,0.4,5,-0.4,1,7.2,1.4,-0.3,2.6,2.2,-5.8,3.2,3.7,0.3,7,5.2,3.8,6.8,-16.1,-6,2.6
"11","3","  Durable goods","DDURRV1",1.6,-0.4,-1.3,-0.9,0.3,-2.6,-1,-1.7,-1.5,-3.8,-2.7,-2.2,-2.9,-3,-3,-3,-3.3,-2,-1.9,-2.4,-1.9,-0.8,-2.4,-1,-1.8,-2.8,-2.6,-2,-3.5,-2.1,-1.9,-2.7,-4.7,-4.1,-3.8,-3.5,-0.2,-0.3,-2.9,0.2,-0.4,-0.6,-3,-0.7,-1.2,-1.6,-1.9,-2,-1.6,-1.4,-2.8,-1.4,0,-0.9,-1.2,-3.3,-1.7,0.3
"12","4","    Motor vehicles and parts","DMOTRV1",4.6,2.8,-0.4,2.4,4.4,0.2,1.4,2.3,1.3,-2.3,-1.2,0.1,-2.5,-2.3,1.7,0.5,-1,0,2.9,0.6,-1.5,1.8,-1.2,1.6,1.2,-0.6,-1.1,1.3,-2,-0.7,1.2,-1.5,-5.9,-2.4,-2.8,-4.4,0.7,1.6,-1.1,5.1,2.6,1.6,-3.3,3,1.3,-1,-1.2,-1.7,-1.2,0,0.6,1.7,-1.1,-2.4,-1.6,-6.7,-0.9,5.1
