"","Table 3#9#2# Contributions to Percent Change in Real Government ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"1","; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1995 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2009     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/10/2009 9:50:17 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1995,1995,1995,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2
"9",NA,"Percent change at annual rate:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1","    Government consumption expenditures and gross investment","A822RL1",1.6,1.3,-0.9,-4.4,2.6,5.9,-0.4,3.4,0.7,3.5,0.4,0.7,-2.4,9,3.8,3.6,2.1,1.7,5.3,6.5,-3.2,5.4,-1.3,1.2,6,8.6,-0.7,7.3,6.3,3.9,3.3,2.7,-0.8,6.1,1.2,0.3,1.9,1.5,1.5,-2.4,0.4,0.4,3.7,-1.8,4.1,0.3,0.6,1.1,0,4.4,3.9,1.6,2.6,3.6,4.8,1.2,-2.6,5.6
"11",NA,"Percentage points at annual rates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2","      Consumption expenditures \1\","A955RZ2",0.87,0.67,0.47,-4.41,1.27,4.2,-1.26,2.56,-0.12,4.06,0.33,2.44,-2.03,5.69,0.18,3.88,1.51,0.27,4.12,4.25,-3.57,6.6,-1.8,1.06,5.04,4.57,2.98,3.82,4.94,3.55,2.21,2.49,-0.5,5.6,-0.68,0.62,2.28,0.58,1.83,-1.14,1.03,-0.35,3.13,-2.63,3.89,-1.32,1.39,0.94,-0.61,2.8,3.49,1.37,2.72,1.43,4.39,1.67,-1.04,3.33
"13","3","      Gross investment \2\","A782RZ2",0.73,0.67,-1.34,0.01,1.31,1.67,0.88,0.87,0.84,-0.56,0.12,-1.77,-0.36,3.29,3.57,-0.25,0.55,1.42,1.16,2.22,0.34,-1.16,0.55,0.17,1.01,4,-3.7,3.47,1.33,0.34,1.07,0.21,-0.33,0.48,1.87,-0.33,-0.37,0.89,-0.36,-1.28,-0.64,0.79,0.55,0.88,0.16,1.66,-0.78,0.18,0.62,1.57,0.43,0.23,-0.1,2.19,0.44,-0.51,-1.57,2.31
"14","4","        Structures","A760RZ2",0.17,0.43,-0.64,-0.24,-0.12,1.45,1.12,1.92,0.94,-1.02,-1.11,-2.13,-0.32,2.1,2.51,-0.26,0.73,-0.49,0.3,1.68,1.02,-1.43,0.28,0.09,0.87,3.46,-3.83,3.34,0.86,-0.58,0.35,0.61,-0.29,-0.26,1.42,-0.79,-0.36,0.32,-1.3,-1.5,-0.3,-0.13,-0.24,0.65,-0.7,1.15,-0.43,-0.28,0.89,0.8,0.1,0.12,-0.78,0.85,0.07,-0.95,-0.49,1.66
"15","5","        Equipment and software","A871RZ2",0.56,0.24,-0.71,0.25,1.43,0.22,-0.24,-1.05,-0.1,0.46,1.23,0.35,-0.04,1.19,1.06,0.01,-0.19,1.91,0.86,0.54,-0.68,0.27,0.26,0.08,0.14,0.54,0.12,0.13,0.47,0.92,0.72,-0.39,-0.04,0.74,0.44,0.46,0,0.57,0.93,0.22,-0.34,0.91,0.79,0.23,0.86,0.51,-0.35,0.46,-0.28,0.77,0.34,0.11,0.68,1.34,0.37,0.44,-1.08,0.64
"16","6","Federal","A823RZ2",-0.36,-0.61,-1.04,-5.66,3.07,2.24,-2.58,-0.28,-1.82,2.65,-0.43,-0.19,-4.51,3.99,-1.16,1.38,-0.89,0.01,2.9,3.12,-5.38,5.35,-2.62,-0.61,2.88,2.95,0.88,1.71,3.27,3.16,2.19,2.34,0.05,6.86,0.15,1.05,1.87,0.84,2.55,-1.82,0.6,0.13,3.48,-2.46,4.22,-1.27,-0.14,0.4,-1.91,2.66,3.32,0.99,2.91,2.84,4.74,2.4,-1.66,4.11
"17","7","    Consumption expenditures","A957RZ2",-0.8,-0.31,-0.34,-5.44,1.37,1.87,-1.98,1.34,-1.18,2.47,-1.59,0.45,-4.44,3.16,-2.06,2.1,-0.55,-1.39,2.36,2.69,-4.15,5.46,-2.8,-0.23,2.91,2.22,0.65,1.42,2.82,2.17,1.42,2.58,0.13,6.04,-0.16,0.89,1.96,0.37,1.84,-1.47,0.84,-0.44,2.62,-2.59,3.78,-1.74,0.42,-0.34,-1.55,1.69,3.01,1,2.36,1.35,3.99,1.5,-0.84,3.35
"18","8","    Gross investment","A787RZ2",0.44,-0.29,-0.7,-0.22,1.7,0.37,-0.61,-1.62,-0.64,0.18,1.16,-0.64,-0.07,0.83,0.9,-0.72,-0.35,1.4,0.54,0.42,-1.23,-0.1,0.18,-0.38,-0.03,0.73,0.23,0.29,0.45,0.99,0.77,-0.24,-0.08,0.82,0.3,0.16,-0.09,0.47,0.72,-0.35,-0.24,0.58,0.87,0.13,0.44,0.47,-0.56,0.74,-0.36,0.97,0.31,-0.01,0.55,1.49,0.75,0.9,-0.82,0.76
"19","9","      Structures","A801RZ2",0.06,-0.32,0.1,-0.32,0.26,0.2,-0.28,-0.47,0.03,-0.09,0.23,-0.73,0.51,0.01,0.14,-0.4,0.14,-0.16,-0.11,-0.04,-0.41,-0.15,0,-0.3,-0.03,0.13,0.02,0.15,0.16,0.06,0.11,0.05,0.1,0.11,0.07,-0.18,-0.14,-0.07,-0.09,-0.43,0.08,-0.18,0.21,0.09,-0.18,0.14,-0.06,0.36,-0.02,0.26,0.04,-0.04,-0.07,0.18,0.28,0.34,0.08,0.04
