"","Table 1#2#5# Gross Domestic Product by Major Type of Product    ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"11","3","       Change in private inventories","A014RC1",61.1,33.7,11.3,18.5,6.9,30.5,51.1,34.6,49.8,88.4,68,77.8,105.1,37.3,52.4,60,83.3,35.1,40.6,84.3,16.1,90.4,57.2,54.5,-30.7,-11.6,-30.1,-80.8,-13.4,13.2,18.3,30,28.6,-3.1,4.2,35.8,51.4,76,60.8,71.5,90.7,15.9,11,82.2,66,72.4,69.1,32.3,13.1,23.5,31,9.8,-8.2,-49.3,-37,-44.5,-127.4,-156
"12","4","Goods","A353RC1",2366.5,2353.2,2376.9,2421.2,2438.3,2507.9,2547.3,2571.6,2620.1,2686.2,2740.5,2758.1,2792.9,2760.7,2817.3,2906.2,2937.7,2955.2,2998.2,3069.5,3041.4,3161.6,3146.6,3148.5,3070.9,3102.1,3060.9,3076.4,3094.3,3099.9,3125.7,3084.8,3098.6,3093.9,3219.2,3268.7,3285.3,3313.6,3342.6,3394.3,3446.6,3440,3491.8,3513.1,3615,3646.9,3667.4,3713.5,3726.7,3796.5,3844.8,3888.3,3842.5,3825.2,3806.1,3661.4,3649.3,3617.3
"13","5","    Final sales","A325RC1",2305.4,2319.4,2365.6,2402.8,2431.5,2477.4,2496.2,2536.9,2570.3,2597.7,2672.5,2680.3,2687.8,2723.4,2764.8,2846.1,2854.4,2920.1,2957.7,2985.2,3025.4,3071.2,3089.4,3094,3101.6,3113.7,3091,3157.2,3107.6,3086.6,3107.4,3054.9,3070,3097.1,3215,3232.9,3233.9,3237.6,3281.9,3322.8,3355.9,3424.1,3480.8,3430.9,3549,3574.5,3598.3,3681.2,3713.6,3773.1,3813.7,3878.4,3850.7,3874.6,3843,3705.9,3776.7,3773.4
"14","6","    Change in private inventories","A014RC1",61.1,33.7,11.3,18.5,6.9,30.5,51.1,34.6,49.8,88.4,68,77.8,105.1,37.3,52.4,60,83.3,35.1,40.6,84.3,16.1,90.4,57.2,54.5,-30.7,-11.6,-30.1,-80.8,-13.4,13.2,18.3,30,28.6,-3.1,4.2,35.8,51.4,76,60.8,71.5,90.7,15.9,11,82.2,66,72.4,69.1,32.3,13.1,23.5,31,9.8,-8.2,-49.3,-37,-44.5,-127.4,-156
"15","7","  Durable goods","A354RC1",1248.4,1236.6,1258.2,1294.9,1293,1329.5,1368.4,1369.3,1414.6,1457,1498.1,1513.3,1546,1524,1562.5,1621.6,1632,1639.4,1689.9,1723.6,1740.1,1789.4,1773.4,1777.1,1714.2,1703.4,1657.2,1673.3,1696,1695,1714.6,1680.4,1662.5,1675.8,1724.5,1766.4,1759.9,1772.4,1795.5,1813.1,1863.9,1868.6,1905.1,1926.8,1959.8,1976.9,1989.9,1983,1997.5,2023.4,2058.4,2111.5,2093.2,2051.1,2078.2,1946.6,1782.4,1761.2
"16","8","    Final sales","A326RC1",1200.3,1204,1234.9,1264.5,1282.9,1310.7,1329.7,1360.7,1386.1,1404,1465.8,1467.1,1476.1,1501.3,1530.8,1588.8,1580.4,1627.8,1663.6,1663.4,1722.9,1731.4,1741.1,1742.3,1758.7,1728.3,1691,1747.9,1691.2,1677.6,1700.7,1645.9,1634.7,1673.9,1734.8,1733.5,1725.8,1725.7,1759.1,1781.3,1802.4,1860.1,1893,1868,1938.9,1943.2,1945.8,1977.9,1986.4,2032.5,2047.4,2094.2,2076.7,2073.1,2042.3,1935.7,1905.2,1877.3
"17","9","    Change in private inventories \1\","A355RC1",48,32.5,23.3,30.4,10.2,18.8,38.7,8.6,28.5,53,32.3,46.2,69.9,22.7,31.8,32.8,51.5,11.5,26.3,60.3,17.2,57.9,32.3,34.8,-44.5,-24.9,-33.8,-74.6,4.8,17.4,14,34.5,27.7,1.9,-10.3,32.9,34.1,46.7,36.5,31.8,61.5,8.5,12,58.8,20.9,33.7,44.1,5.1,11.2,-9.2,11,17.3,16.5,-22,35.9,10.8,-122.7,-116.1
"18","10","  Nondurable goods","A356RC1",1118.1,1116.6,1118.8,1126.4,1145.3,1178.4,1178.9,1202.3,1205.5,1229.2,1242.5,1244.8,1246.8,1236.7,1254.7,1284.6,1305.7,1315.8,1308.4,1345.9,1301.3,1372.3,1373.2,1371.3,1356.7,1398.7,1403.7,1403.1,1398.2,1404.9,1411.1,1404.4,1436.1,1418.1,1494.6,1502.3,1525.4,1541.1,1547.1,1581.2,1582.7,1571.3,1586.8,1586.3,1655.2,1670,1677.5,1730.5,1729.2,1773.2,1786.3,1776.7,1749.3,1774.1,1727.8,1714.8,1866.8,1856.2
"19","11","    Final sales","A334RC1",1105,1115.4,1130.7,1138.3,1148.6,1166.7,1166.5,1176.3,1184.2,1193.7,1206.8,1213.2,1211.7,1222.1,1234,1257.3,1273.9,1292.3,1294.1,1321.8,1302.5,1339.8,1348.3,1351.7,1342.9,1385.4,1400,1409.3,1416.4,1409.1,1406.8,1409,1435.2,1423.2,1480.2,1499.4,1508.1,1511.8,1522.8,1541.5,1553.5,1564,1587.8,1562.9,1610.1,1631.3,1652.5,1703.3,1727.3,1740.5,1766.3,1784.2,1774,1801.4,1800.7,1770.2,1871.5,1896.1
"20","12","    Change in private inventories \1\","A357RC1",13.1,1.2,-12,-11.9,-3.3,11.6,12.4,26,21.3,35.4,35.7,31.6,35.1,14.6,20.7,27.3,31.8,23.5,14.3,24.1,-1.1,32.5,24.9,19.6,13.9,13.3,3.7,-6.2,-18.2,-4.2,4.3,-4.5,0.9,-5,14.5,2.9,17.3,29.3,24.3,39.7,29.2,7.3,-1,23.4,45.1,38.7,25,27.3,1.9,32.6,20.1,-7.5,-24.7,-27.3,-72.9,-55.3,-4.6,-39.9
"21","13","Services \2\","A341RC1",4311.3,4372.9,4432.8,4469.7,4534.2,4600.3,4640.1,4727.3,4779.1,4849.2,4914.4,4987.5,5040.2,5132,5195.4,5271.3,5349.6,5428.8,5527.1,5635,5738.8,5845.2,5914.6,6013.4,6117.2,6187.6,6231.6,6298.2,6403,6500,6576.2,6662.8,6751.8,6856.2,6937,7021.7,7161.2,7259,7369.1,7487.7,7631,7732.6,7866.5,7978.4,8114.2,8229.7,8335.7,8462.4,8620.5,8738.5,8872.1,9012.2,9131.8,9263.3,9340.8,9325.7,9308.8,9356.8
"22","14","Structures","A755RC1",629.9,629.8,642.8,651.6,665.7,691.7,705.3,724.1,737.8,741.5,755,760.1,767.6,806,834.6,850,861.3,868.6,879.8,903.2,929.3,942.3,956.2,968,976.9,1011.5,1012.7,998.5,1001.5,1002.1,999.8,1019.3,1038,1058,1099.5,1126.1,1150.7,1205.7,1238.8,1263,1301.9,1344.3,1383.2,1424.2,1454.3,1471.3,1449.7,1435.6,1448.4,1462.2,1463,1437.4,1399.5,1409.3,1399.8,1360.2,1219.9,1175.6
"23",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","15","  Motor vehicle output","A953RC1",273.1,275.2,272.1,291,273,302.2,304.9,293.7,308.7,304.7,325.6,339.9,328.6,327.6,330.6,374.6,365.6,367.9,379.6,388,392.3,379.2,359.7,346.3,330.1,353.8,349.1,365.4,380.9,385.3,396.8,385.5,369.3,384,385.2,390.1,394,390.3,404.2,407,412.6,420.5,435.9,406.8,422.3,412.1,414.3,401.9,400.8,407.3,410.2,397.2,370.2,328.3,321.5,264.9,206.9,219.2
"25","16","  Gross domestic product excluding motor vehicle output","A962RC1",7034.6,7080.6,7180.5,7251.6,7365.2,7497.7,7587.8,7729.3,7828.3,7972.1,8084.3,8165.8,8272,8371,8516.6,8653,8782.9,8884.7,9025.5,9219.7,9317.2,9569.9,9657.8,9783.5,9835,9947.5,9956.1,10007.8,10117.8,10216.6,10304.9,10381.5,10519.1,10624,10870.5,11026.3,11203.2,11388.1,11546.4,11737.9,11966.9,12096.3,12305.7,12508.9,12761.1,12935.7,13038.6,13209.6,13394.8,13589.9,13769.7,13940.6,14003.7,14169.4,14225.3,14082.4,13971,13930.5
"26","17","  Final sales of computers \3\","BB01RC1",68.9,74,75.2,81.4,84.2,83.2,85.7,85.9,88.6,93,98.2,96.6,96.3,97.4,96.1,97.1,99.1,103.9,105.4,98.9,105.5,111.6,110.2,112.4,110.2,101.7,91.9,91.7,85.8,82.5,83.1,81.4,80.5,77.6,84.7,87,80.2,79.8,78.7,80,77.4,79.2,78.8,80.6,83.6,83,81.8,83.2,81.9,83.5,87.7,89.8,89.3,90.3,86.3,83.8,83.8,79
"27","18","  Gross domestic product excluding final sales of computers","BB00RC1",7238.8,7281.8,7377.3,7461.2,7554,7716.7,7807,7937.1,8048.4,8183.8,8311.7,8409.1,8504.3,8601.2,8751.1,8930.4,9049.4,9148.6,9299.7,9508.8,9604.1,9837.5,9907.3,10017.4,10054.9,10199.5,10213.3,10281.4,10412.9,10519.4,10618.6,10685.6,10807.9,10930.4,11171,11329.5,11517,11698.5,11871.8,12064.9,12302,12437.6,12662.8,12835,13099.8,13264.9,13371.1,13528.4,13713.6,13913.7,14092.2,14248.1,14284.6,14407.5,14460.4,14263.6,14094.2,14070.8
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","1. Prior to 1959, inventories held by construction establishments are included in nondurable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","goods. Beginning with 1959, these inventories are included in durable goods.  Estimates for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","durable goods and nondurable goods for 1996 and earlier periods are based on the 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Standard Industrial Classification (SIC); later estimates for these industries are based on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2. Includes government consumption expenditures, which are for services (such as education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","and national defense) produced by government. In current dollars, these services are valued",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","at their cost of production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","3. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
