"","Table 1#6#8# Contributions to Percent Change in the Gross Domest","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"1","; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1995 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2009     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/10/2009 9:48:37 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1995,1995,1995,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2
"9",NA,"Percent change at annual rate:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1","  Gross domestic purchases","A712RV1",2.3,2.1,1.5,1.8,2.1,1.4,1.8,2.3,1.8,0.7,0.9,1.3,-0.2,0.6,1.2,1.1,1.6,2.2,1.9,2.2,3.7,1.7,2.6,2.2,2.4,1.8,0.6,0.3,1.4,2.6,1.8,2.6,4,0.3,2.3,2.1,4.1,3.6,3.2,3.8,3.7,3.2,5,4.1,2.8,3.6,2.9,1,4.2,3.1,2.2,4.6,3.4,3.9,4.3,-3.8,-1.4,0.7
"11",NA,"Percentage points at annual rates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2","Personal consumption expenditures","DPCERS2",1.42,1.54,1.11,1.15,1.56,1.73,1.21,1.84,1.37,0.7,0.72,0.93,0.09,0.58,0.86,0.8,0.81,1.49,1.37,1.44,2.38,1.16,1.54,1.48,1.89,1.3,0.07,0.17,0.65,2.13,1.38,1.3,1.98,0.21,1.76,1.26,2.25,1.99,1.65,2.17,1.59,1.68,3.04,2.36,1.14,2.01,1.95,-0.04,2.49,2.11,1.51,3.33,2.38,2.58,3.08,-3.43,-1.01,0.9
"13","3","  Goods","DGDSRS2",0.11,0.2,0.02,0.02,0.64,0.43,-0.18,0.44,0.12,-0.52,-0.27,-0.13,-0.76,-0.39,-0.04,-0.19,-0.12,0.68,0.47,0.33,0.77,0.46,0.26,0.11,0,0.17,-0.49,-1.06,-0.44,0.65,-0.02,0,0.63,-1.36,0.5,-0.03,0.83,0.52,0.09,1.14,-0.09,0.24,1.65,0.34,-0.07,0.6,0.51,-1.35,0.72,0.83,0.06,1.54,1.13,0.85,1.51,-3.86,-1.35,0.57
"14","4","    Durable goods","DDURRS2",0.14,-0.04,-0.11,-0.08,0.03,-0.23,-0.09,-0.14,-0.13,-0.33,-0.23,-0.19,-0.25,-0.26,-0.27,-0.27,-0.3,-0.18,-0.17,-0.21,-0.17,-0.07,-0.21,-0.09,-0.16,-0.25,-0.23,-0.18,-0.32,-0.18,-0.17,-0.24,-0.41,-0.36,-0.34,-0.31,-0.02,-0.03,-0.25,0.02,-0.03,-0.05,-0.25,-0.05,-0.1,-0.13,-0.15,-0.16,-0.13,-0.11,-0.22,-0.11,0,-0.07,-0.09,-0.23,-0.12,0.02
"15","5","      Motor vehicles and parts","DMOTRS2",0.15,0.09,-0.02,0.08,0.15,0.01,0.05,0.08,0.05,-0.08,-0.04,0,-0.09,-0.08,0.06,0.02,-0.04,0,0.11,0.02,-0.06,0.06,-0.04,0.06,0.05,-0.02,-0.04,0.05,-0.07,-0.02,0.04,-0.05,-0.21,-0.08,-0.1,-0.15,0.02,0.05,-0.04,0.16,0.08,0.05,-0.11,0.09,0.04,-0.03,-0.03,-0.05,-0.03,0,0.02,0.04,-0.03,-0.06,-0.04,-0.14,-0.02,0.1
"16","6","      Furnishings and durable household equipment","DFDHRS2",0.01,-0.02,0.05,-0.01,0.02,-0.01,0.02,-0.03,0.01,0.02,-0.03,-0.02,0.01,0.04,-0.03,-0.04,-0.01,-0.03,-0.03,-0.05,0.03,-0.01,-0.01,-0.04,-0.03,-0.05,-0.03,-0.05,-0.06,-0.01,-0.05,-0.05,-0.05,-0.09,-0.08,-0.03,0.02,-0.02,-0.05,0.04,0.02,0.03,-0.06,-0.01,0,0,-0.01,-0.01,-0.01,0,-0.06,-0.05,0.03,-0.03,0.04,-0.01,0.03,0.02
"17","7","      Recreational goods and vehicles","DREQRS2",-0.05,-0.11,-0.18,-0.16,-0.12,-0.19,-0.15,-0.15,-0.18,-0.25,-0.15,-0.14,-0.18,-0.18,-0.26,-0.23,-0.19,-0.16,-0.22,-0.18,-0.15,-0.07,-0.13,-0.14,-0.2,-0.17,-0.16,-0.16,-0.17,-0.13,-0.14,-0.12,-0.15,-0.18,-0.16,-0.08,-0.09,-0.08,-0.15,-0.14,-0.13,-0.08,-0.11,-0.16,-0.14,-0.13,-0.15,-0.16,-0.15,-0.12,-0.18,-0.13,-0.06,-0.1,-0.09,-0.09,-0.13,-0.12
"18","8","      Other durable goods","DODGRS2",0.03,0.01,0.04,0.01,-0.02,-0.03,0,-0.04,0,-0.02,0,-0.04,0,-0.03,-0.04,-0.02,-0.06,0.02,-0.03,-0.01,0,-0.05,-0.03,0.04,0.03,-0.01,0,-0.02,-0.02,-0.02,-0.03,-0.02,-0.01,-0.01,0,-0.04,0.03,0.02,-0.02,-0.03,0,-0.05,0.03,0.03,0,0.03,0.05,0.05,0.07,0.01,0,0.03,0.06,0.13,0,0.02,0,0.02
"19","9","    Nondurable goods","DNDGRS2",-0.02,0.23,0.13,0.1,0.62,0.65,-0.09,0.58,0.25,-0.19,-0.04,0.06,-0.5,-0.13,0.23,0.08,0.19,0.86,0.64,0.55,0.94,0.53,0.48,0.2,0.16,0.42,-0.26,-0.88,-0.12,0.84,0.16,0.24,1.04,-1,0.85,0.28,0.85,0.55,0.34,1.12,-0.06,0.3,1.91,0.39,0.03,0.73,0.66,-1.19,0.85,0.95,0.28,1.65,1.13,0.91,1.6,-3.63,-1.23,0.55
