"","Table 1#3#1# Percent Change From Preceding Period in Real Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Percent]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2009     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/10/2009 9:47:27 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","    Gross domestic product","A191RL1",2.5,3.7,4.5,4.4,4.8,4.1,1.1,1.8,2.5,3.6,3.1,2.7,2.1,0.4
"9","2","Business \1\","A195RL1",2.8,4.6,5.2,5,5.6,4.5,0.8,2,3.1,4.2,3.4,3.1,2.2,0
"10","3","  Nonfarm \2\","A358RL1",3.2,4.4,5.1,5.1,5.6,4.4,0.9,1.9,3,4.1,3.4,3.1,2.3,-0.1
"11","4","  Farm","B359RL1",-20,15.8,11.1,-4.3,4.9,14.8,-7,4.4,12.8,7,4.2,-2.8,-7.6,12.9
"12","5","Households and institutions","A193RL1",3.1,2.1,3.4,3.2,3.5,3.8,2.2,0.7,0,2.8,3.4,2.2,2.2,1.6
"13","6","  Households","B701RL1",3.1,2.2,3.3,2.4,5.2,4.6,2.4,-0.4,-0.4,4.4,5.2,3.9,2.4,1.3
"14","7","  Nonprofit institutions serving households \3\","B702RL1",3.2,1.9,3.5,4.4,1.3,2.8,1.9,2.3,0.6,0.7,1,0,1.9,2
"15","8","General government \4\","A765RL1",0.1,0.2,0.8,1.1,0.9,1.7,1.8,2,1.2,0.6,0.7,0.6,1.4,2.2
"16","9","  Federal","A766RL1",-3.8,-2.7,-1.9,-1.1,-0.8,0.8,0.4,2,2.7,1,0.7,-0.1,0.8,3.9
"17","10","  State and local","A767RL1",2,1.5,2,2.1,1.7,2.1,2.4,2,0.6,0.4,0.7,0.9,1.7,1.4
"18",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","11","  Gross housing value added","A2009L1",3.1,1.6,2.9,1.7,4.6,3.8,2,-0.9,-1.9,4,4.5,4.2,3.5,1.5
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","3. Equals compensation of employees of nonprofit institutions, the rental value of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","nonresidential fixed assets owned and used by nonprofit institutions serving households,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","and rental income of persons for tenant-occupied housing owned by nonprofit institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","4. Equals compensation of general government employees plus general government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
