"","Table 1#12# National Income by Type of Income                   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2009     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/10/2009 9:48:57 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","    National income","A032RC1",6522.3,6931.7,7406,7875.6,8358,8938.9,9185.2,9408.5,9840.2,10534,11273.8,12031.2,12448.2,12635.2
"9","2","Compensation of employees","A033RC1",4195.2,4391.4,4665.6,5023.2,5353.9,5788.8,5979.3,6110.8,6382.6,6693.4,7065,7477,7856.5,8037.4
"10","3","  Wage and salary accruals","A034RC1",3434.4,3620,3873.6,4180.9,4465.2,4827.7,4952.2,4997.3,5154.6,5410.7,5706,6070.1,6402.6,6540.8
"11","4","    Government","A553RC1",629,648.1,671.8,701.2,733.7,779.7,821.9,873.1,913.3,952.8,991.5,1035.2,1089.1,1141.3
"12","5","    Other","B203RC1",2805.4,2971.9,3201.8,3479.7,3731.5,4048,4130.3,4124.2,4241.3,4457.9,4714.5,5035,5313.5,5399.6
"13","6","  Supplements to wages and salaries","A038RC1",760.8,771.4,792,842.3,888.8,961.2,1027.1,1113.5,1228,1282.7,1359.1,1406.9,1453.8,1496.6
"14","7","    Employer contributions for employee pension and insurance funds","B040RC1",496.7,496.6,502.4,535.1,565.4,615.9,669.1,747.4,845.6,874.6,931.6,960.1,993,1023.9
"15","8","    Employer contributions for government social insurance","B039RC1",264.1,274.8,289.6,307.2,323.3,345.2,358,366.1,382.4,408.1,427.5,446.7,460.8,472.7
"16","9","Proprietors' income with IVA and CCAdj","A041RC1",516,583.7,628.2,687.5,746.8,817.5,870.7,890.3,930.6,1033.8,1069.8,1133,1096.4,1106.3
"17","10","  Farm","B042RC1",23.4,38.4,32.6,28.9,28.5,29.6,30.5,18.5,36.5,49.7,43.9,29.3,39.4,48.7
"18","11","  Nonfarm","A045RC1",492.6,545.2,595.6,658.7,718.3,787.8,840.2,871.8,894.1,984.1,1025.9,1103.6,1056.9,1057.5
"19","12","Rental income of persons with CCAdj","A048RC1",154.6,170.4,176.5,191.5,208.2,215.3,232.4,218.7,204.2,198.4,178.2,146.5,144.9,210.4
"20","13","Corporate profits with IVA and CCAdj","A051RC1",716.2,801.5,884.8,812.4,856.3,819.2,784.2,872.2,977.8,1246.9,1456.1,1608.3,1541.7,1360.4
